
[00:00:00.000 --> 00:00:04.720]  我想這個星期我們每一個香港人心裡頭都很沉重
[00:00:04.720 --> 00:00:08.960]  當星期三那天
[00:00:08.960 --> 00:00:12.000]  我回到家裡頭
[00:00:12.000 --> 00:00:18.600]  晚上吃晚飯之前看到那個新聞的時候
[00:00:18.600 --> 00:00:21.400]  才知道發生很大件事
[00:00:21.400 --> 00:00:24.520]  而這個照片
[00:00:24.520 --> 00:00:28.000]  其實正正是星期三那晚
[00:00:28.000 --> 00:00:32.400]  燒得很厲害
[00:00:32.400 --> 00:00:39.000]  已經7座大廈在大埔雲福縣發生
[00:00:39.000 --> 00:00:46.000]  直到星期五早上來救濟那場火的時候
[00:00:46.000 --> 00:00:51.200]  直到昨天的數字至少死了128人
[00:00:51.200 --> 00:00:53.600]  79人受傷
[00:00:53.600 --> 00:00:56.400]  不只是這些數字
[00:00:56.400 --> 00:01:01.000]  我想這些數字背後每一個受災的災民
[00:01:01.000 --> 00:01:04.000]  他們不單止是失去他們的家園
[00:01:04.000 --> 00:01:05.800]  他們失去他們的至親
[00:01:05.800 --> 00:01:11.200]  這種這麼突然的巨變
[00:01:11.200 --> 00:01:18.600]  帶來他們內心非常非常的傷痛
[00:01:18.600 --> 00:01:21.200]  我當晚看到這個片段的時候
[00:01:21.200 --> 00:01:28.200]  我心裡其實有一個很大的疑問在這裡
[00:01:28.200 --> 00:01:33.600]  我相信不只是天氣的問題
[00:01:33.600 --> 00:01:35.800]  是背後一定有人禍
[00:01:35.800 --> 00:01:42.200]  也都在這個所謂網絡世界裡面
[00:01:42.200 --> 00:01:46.800]  都有人做過一些所謂資料分析等等
[00:01:46.800 --> 00:01:53.400]  我同樣是看見其實是每一次有這些大型的災難的時候
[00:01:53.400 --> 00:01:58.400]  我們看見是反映一些雙面的東西
[00:01:58.400 --> 00:02:00.400]  一個就是人性的黑暗
[00:02:00.400 --> 00:02:03.200]  但另一方面就是人性的光輝
[00:02:03.200 --> 00:02:09.000]  在一方面我們有人會質疑就是業主立案法團
[00:02:09.000 --> 00:02:12.000]  那個角色他們的責任和缺失
[00:02:12.000 --> 00:02:18.000]  廉政公署也都已經很迅速的做事
[00:02:18.000 --> 00:02:23.000]  也都先後已經拘捕了有十多人
[00:02:23.000 --> 00:02:27.600]  有人涉嫌這個圍標貪污等等的事情
[00:02:27.600 --> 00:02:32.200]  另外是承建商和分判商的操作不當
[00:02:32.200 --> 00:02:36.400]  昨天鄧炳強我們的保安局長
[00:02:36.400 --> 00:02:41.600]  他已經澄清了關於這個保護網和盤網
[00:02:41.600 --> 00:02:46.400]  初步發現是發覺是達到阻延的要求
[00:02:46.400 --> 00:02:52.200]  但是包圍大廈窗戶的發佈膠板是高度易延的
[00:02:52.200 --> 00:02:55.200]  根據他們現在初步掌握的資料
[00:02:55.200 --> 00:03:00.400]  他們相信最初起火的位置是文昌的低層外面的這些圍網
[00:03:00.400 --> 00:03:02.800]  因為燃燒了這些發佈膠板
[00:03:02.800 --> 00:03:05.400]  火勢迅速向上蔓延
[00:03:05.400 --> 00:03:07.400]  伸延到多個樓層
[00:03:07.400 --> 00:03:12.000]  而且很短時間之內波及宏福縣其他六座樓宇
[00:03:12.000 --> 00:03:16.400]  大火引燃到貼在窗戶上的發佈膠板
[00:03:16.400 --> 00:03:20.000]  令到玻璃爆破導致火勢急速增強
[00:03:20.000 --> 00:03:22.400]  而且迅速蔓延到室內
[00:03:22.400 --> 00:03:26.800]  短時間之內室內室外大面積同時起火
[00:03:26.800 --> 00:03:29.800]  最終釀成這一次的大災難
[00:03:29.800 --> 00:03:34.800]  高溫令到竹棚和盤網都燃燒
[00:03:34.800 --> 00:03:39.000]  甚至一些竹枝都飛墜引致很多樓層著火
[00:03:39.000 --> 00:03:44.600]  正式起火原因仍然要等待進一步的調查
[00:03:44.600 --> 00:03:48.600]  但這件事情關於這個圍封
[00:03:48.600 --> 00:03:52.200]  這個發佈膠這件事很肯定
[00:03:52.200 --> 00:03:55.600]  就是有人明知故犯
[00:03:55.600 --> 00:03:58.400]  是為了省錢的緣故
