
[00:00:00.000 --> 00:00:01.400]  上一次跟大家講到的時候
[00:00:01.400 --> 00:00:04.280]  我們就看過《路加福音》第六章
[00:00:04.280 --> 00:00:08.240]  第六章那裡有很長的經文
[00:00:08.240 --> 00:00:10.880]  我也是將它分為兩次
[00:00:10.880 --> 00:00:12.160]  跟大家分享
[00:00:12.160 --> 00:00:13.280]  這個是主要講到
[00:00:13.280 --> 00:00:17.320]  耶穌基督在開始祂的地上的使命的時候
[00:00:17.320 --> 00:00:20.240]  祂就建立了一個新的角度
[00:00:20.240 --> 00:00:22.000]  這個新的角度是
[00:00:22.000 --> 00:00:25.080]  來呼召一群新的子民
[00:00:25.080 --> 00:00:27.720]  來進入這個榮耀的角度裡面
[00:00:27.720 --> 00:00:29.960]  叫我們能夠成為上帝的兒女
[00:00:29.960 --> 00:00:31.680]  成為天國的子民
[00:00:31.680 --> 00:00:35.080]  我們能夠有神的恩寵
[00:00:35.080 --> 00:00:37.800]  以及祂自己的使用
[00:00:37.800 --> 00:00:39.480]  所以在教會的建立
[00:00:39.480 --> 00:00:43.520]  就是一個新的角度的反映
[00:00:43.520 --> 00:00:45.000]  叫我們知道
[00:00:45.000 --> 00:00:46.160]  耶穌基督來到這個世界
[00:00:46.160 --> 00:00:48.040]  開始一個新的時代
[00:00:48.040 --> 00:00:49.160]  舊的過去
[00:00:49.160 --> 00:00:51.480]  新的更新
[00:00:51.480 --> 00:00:53.040]  也有新的著重
[00:00:53.040 --> 00:00:54.920]  叫我們能夠在我們人生當中
[00:00:54.920 --> 00:00:57.840]  有新的價值觀、有新的人生目標
[00:00:57.840 --> 00:01:00.200]  有新的一些屬靈的追求
[00:01:00.200 --> 00:01:02.400]  生命的、性情的
[00:01:02.400 --> 00:01:04.480]  更加學校主
[00:01:04.480 --> 00:01:06.520]  以致我們能夠過一個
[00:01:06.520 --> 00:01:11.600]  更加在地上為祂作見證的人生
[00:01:11.600 --> 00:01:15.080]  上一次跟大家講到新的屬靈祝福
[00:01:15.080 --> 00:01:16.400]  不知道大家還有沒有記得
[00:01:16.400 --> 00:01:19.480]  有四方面新的屬靈祝福
[00:01:19.480 --> 00:01:23.480]  就是原來上帝叫我們成為祂的子民之後
[00:01:23.480 --> 00:01:25.720]  讓我們有新的著重
[00:01:25.720 --> 00:01:29.200]  就是祂將這些新的屬靈祝福賜給我們
[00:01:29.200 --> 00:01:32.160]  這個著重就是我們過一個信心的生活
[00:01:32.160 --> 00:01:34.640]  和這個世界的價值觀可能有些不同
[00:01:34.640 --> 00:01:38.120]  我們可能會面對有些甚至是逼迫
[00:01:38.120 --> 00:01:41.160]  或者在我們選取人生什麼是重要
[00:01:41.160 --> 00:01:43.600]  物質還是屬靈的事
[00:01:43.600 --> 00:01:49.600]  我們怎樣去面對一些人與人之間的
[00:01:49.600 --> 00:01:51.920]  甚至可能是一些仇恨
[00:01:51.920 --> 00:01:54.600]  我們怎樣用愛來回應等等
[00:01:54.600 --> 00:01:58.120]  所以這個就是講到信心的生活
[00:01:58.120 --> 00:02:00.240]  亦都講到愛的實踐
[00:02:00.240 --> 00:02:01.920]  就是因為這樣
[00:02:01.920 --> 00:02:05.440]  我們相信上帝有天上的賞賜給我們
[00:02:05.440 --> 00:02:07.560]  有永恆的祝福等著我們
[00:02:07.560 --> 00:02:11.680]  所以在地上我們要過一個愛心的生活和實踐
[00:02:11.680 --> 00:02:13.920]  甚至面對這些衝擊
[00:02:13.920 --> 00:02:17.720]  或者是反對和我們基督徒的價值觀有些不同
[00:02:17.720 --> 00:02:19.920]  我們自己內心可能有掙扎
[00:02:19.920 --> 00:02:23.120]  但是我們要用神的愛去面對這一切
[00:02:23.120 --> 00:02:25.560]  去勝過這些的試探
