
[00:00:00.000 --> 00:00:06.060]  如果頂智慧有留意這段時間的新聞
[00:00:06.060 --> 00:00:07.200]  特別是家長
[00:00:07.200 --> 00:00:08.160]  你會發現
[00:00:08.160 --> 00:00:09.660]  TSA
[00:00:09.660 --> 00:00:13.640]  這個全港性系統評估
[00:00:13.640 --> 00:00:14.920]  我沒有小朋友
[00:00:14.920 --> 00:00:17.100]  但是我留意到有時候
[00:00:17.100 --> 00:00:19.680]  這些很多的考試
[00:00:19.680 --> 00:00:21.680]  很多發生的事情
[00:00:21.680 --> 00:00:25.640]  其實都是令父母很不容易的
[00:00:25.640 --> 00:00:30.560]  所以我覺得要在這裡向當中的每一個父母致敬
[00:00:30.560 --> 00:00:32.560]  不單是TSA
[00:00:32.560 --> 00:00:34.900]  現在準備很多入學試
[00:00:34.900 --> 00:00:38.540]  到處去問他們究竟會考甚麼
[00:00:38.540 --> 00:00:41.720]  好像聽說要考如何沖柯華田
[00:00:41.720 --> 00:00:46.400]  不是叫菲傭沖就合格
[00:00:46.400 --> 00:00:48.480]  要懂得自己怎樣加糖加奶
[00:00:48.480 --> 00:00:50.980]  加甚麼最好味
[00:00:50.980 --> 00:00:52.580]  他們的健康
[00:00:52.580 --> 00:00:54.580]  孩子的品格
[00:00:54.580 --> 00:00:55.880]  慢慢成長
[00:00:55.880 --> 00:00:58.660]  他們的交友
[00:00:58.660 --> 00:01:00.660]  和他們的信仰
[00:01:00.660 --> 00:01:06.000]  如何能夠傳承我們對神的信仰
[00:01:06.000 --> 00:01:08.000]  那份倚靠
[00:01:08.000 --> 00:01:14.060]  這也是我們父母最關心的
[00:01:14.060 --> 00:01:15.440]  所以我一方承認
[00:01:15.440 --> 00:01:17.360]  我們在育養
[00:01:17.360 --> 00:01:18.760]  教養孩童的時候
[00:01:18.760 --> 00:01:20.940]  是一個很重的負擔
[00:01:20.940 --> 00:01:22.300]  但是我們也要反問我們自己
[00:01:22.300 --> 00:01:24.780]  為甚麼我們要有小朋友呢
[00:01:24.780 --> 00:01:28.740]  因為今天似乎不要小朋友
[00:01:28.740 --> 00:01:31.400]  相對於要有小朋友
[00:01:31.400 --> 00:01:33.820]  來得容易很多
[00:01:33.820 --> 00:01:37.140]  但為甚麼我們要有小朋友呢
[00:01:37.140 --> 00:01:38.380]  如果我們真的相信
[00:01:38.380 --> 00:01:40.660]  這個不是為了我們自己
[00:01:40.660 --> 00:01:44.740]  為了他們要滿足我們自己的夢想的時候
[00:01:44.740 --> 00:01:45.700]  我們就深深相信
[00:01:45.700 --> 00:01:48.100]  這個是神給我們的恩賜
[00:01:48.100 --> 00:01:49.700]  神給我們的禮物
[00:01:49.700 --> 00:01:51.540]  神給我們的產業
[00:01:51.540 --> 00:01:54.740]  如果我們真正相信的時候
[00:01:54.740 --> 00:01:56.220]  我們就很樂意地
[00:01:56.220 --> 00:01:58.980]  來好好地按照神的教導
[00:01:58.980 --> 00:02:01.860]  神的恩典來去養育他們
[00:02:01.860 --> 00:02:06.220]  我們願意回應神給我們這份責任
[00:02:06.220 --> 00:02:07.420]  這份托付
[00:02:07.420 --> 00:02:09.980]  是不是這樣
[00:02:09.980 --> 00:02:13.140]  所以神賜給孩子
[00:02:13.140 --> 00:02:14.700]  給基督徒
[00:02:14.700 --> 00:02:16.700]  不單單是賜給家庭
[00:02:16.700 --> 00:02:22.180]  更加是交託給信仰群體的教會
[00:02:22.180 --> 00:02:26.500]  讓當中整個群體
[00:02:26.500 --> 00:02:29.580]  他們成為基督的身體一部份
[00:02:29.580 --> 00:02:32.700]  讓這個孩童在基督的身體裏面
[00:02:32.700 --> 00:02:34.580]  來好好地成長
[00:02:34.580 --> 00:02:37.540]  有很多其他的家庭成員
[00:02:37.540 --> 00:02:38.940]  有其他的成年人
[00:02:38.940 --> 00:02:41.860]  來陪伴他們成長
[00:02:41.860 --> 00:02:44.180]  可能在我們群體當中
[00:02:44.180 --> 00:02:45.900]  一些夫婦是沒有小朋友的
[00:02:45.900 --> 00:02:47.100]  好像我自己
[00:02:47.100 --> 00:02:50.860]  他們就好像其他單身的基督徒一樣
