
[00:00:00.000 --> 00:00:01.240]  第一位朋友早晨
[00:00:01.240 --> 00:00:04.440]  好像隔了很久沒跟大家在這裡見面
[00:00:04.440 --> 00:00:08.840]  今天的題目是
[00:00:08.840 --> 00:00:12.720]  活出天國在人間的生活智慧
[00:00:12.720 --> 00:00:18.520]  有沒有人還記得
[00:00:18.520 --> 00:00:22.000]  桃花源記這個故事
[00:00:22.000 --> 00:00:25.400]  沒聽過的就是因為你太年輕
[00:00:25.400 --> 00:00:27.560]  今天第一次聽到這個
[00:00:27.560 --> 00:00:29.880]  古古老的故事
[00:00:31.000 --> 00:00:33.000]  桃花源記的故事是由
[00:00:33.000 --> 00:00:34.680]  陶淵明在
[00:00:34.680 --> 00:00:38.200]  大約是主俄四百年左右的
[00:00:38.200 --> 00:00:40.520]  晉朝的一個文士
[00:00:40.520 --> 00:00:42.080]  寫了一個故事
[00:00:42.080 --> 00:00:44.120]  他說這個故事裏面
[00:00:44.120 --> 00:00:46.360]  有一個漁夫
[00:00:46.360 --> 00:00:49.800]  撐著艇原來是去捉魚
[00:00:49.800 --> 00:00:51.240]  在那裏游來游去
[00:00:51.240 --> 00:00:53.400]  游到一個位置就見到
[00:00:53.400 --> 00:00:55.400]  這裏有很多桃花很漂亮
[00:00:55.400 --> 00:00:57.920]  只有桃花在兩邊的樹林裏面
[00:00:57.920 --> 00:00:59.840]  只見到很美麗的桃花
[00:01:00.480 --> 00:01:02.000]  他就很好奇繼續向前
[00:01:02.000 --> 00:01:03.280]  走著走著走著
[00:01:03.280 --> 00:01:05.320]  他想去桃花
[00:01:05.320 --> 00:01:07.800]  和水流的盡頭
[00:01:07.800 --> 00:01:09.160]  看看水源在哪裏
[00:01:09.160 --> 00:01:12.480]  一人去到水的盡頭
[00:01:12.480 --> 00:01:14.600]  兩邊包圍著很多桃花很美麗的時候
[00:01:14.600 --> 00:01:16.720]  見到岸上有一個小的山
[00:01:16.720 --> 00:01:19.000]  山上有一個
[00:01:19.000 --> 00:01:20.800]  很窄的入口
