
[00:00:00.000 --> 00:00:05.000]  今日要講一個題目,兩代情意結
[00:00:05.000 --> 00:00:10.000]  甚麼叫情意結呢?
[00:00:10.000 --> 00:00:19.000]  情意結有人說是一種情緒加上一種意念互相糾纏
[00:00:19.000 --> 00:00:25.000]  又好似一些情結一樣糾纏不清的一種狀況
[00:00:25.000 --> 00:00:30.000]  好似一種難以解開的一種結
[00:00:30.000 --> 00:00:36.000]  在人生的一些情懷,人際的關係裏面
[00:00:36.000 --> 00:00:43.000]  好似比較難放下的一些情懷,一些情結在裏面
[00:00:43.000 --> 00:00:50.000]  當然如果用心理學的源於這個字眼出現
[00:00:50.000 --> 00:00:56.000]  英文就是compass這個字,這個字會影響到人的行為
[00:00:56.000 --> 00:01:02.000]  或者影響到人的態度的一種潛意識,這是一種情意結
[00:01:02.000 --> 00:01:08.000]  在心理學裏面講到一種比較出名的情意結,大家有沒有聽過?
[00:01:08.000 --> 00:01:14.000]  就是戀母情結,戀父情結,有沒有聽過?
[00:01:14.000 --> 00:01:25.000]  Elibus compass就是戀母情結,話說這個王子在一個不知情的底下
[00:01:25.000 --> 00:01:32.000]  殺死了自己的父親,一個國王,娶了一個皇后
[00:01:32.000 --> 00:01:41.000]  這個當然是一個希臘古時的史詩,一個文學作品
[00:01:41.000 --> 00:01:48.000]  但是很多時候用了這種心情,成為了戀母情結
[00:01:48.000 --> 00:01:53.000]  後來當然又發展到戀父情結,又是講一些希臘神話裏面的故事
[00:01:53.000 --> 00:01:59.000]  如果在華人中間裏面有人講,華人有長女的情意
[00:01:59.000 --> 00:02:07.000]  作為一個大女裏面,在家庭裏面一些關係,糾纏不清的情況
[00:02:07.000 --> 00:02:13.000]  今天跟大家去看,也不是在心理學的角度去看
[00:02:13.000 --> 00:02:18.000]  耶穌基督和瑪利亞或約瑟的關係
[00:02:18.000 --> 00:02:29.000]  會體會當耶穌基督在一生裏面都有不少的衝突
[00:02:29.000 --> 00:02:41.000]  你會看到他與法利塞人,薩都該人,這些宗教人士有很多的衝突
[00:02:41.000 --> 00:02:46.000]  就算是跟他的門徒,有時在對話裏面也有些衝突
[00:02:46.000 --> 00:02:52.000]  大家不諒解不明白的時候,就引來一些誤解和衝突
[00:02:52.000 --> 00:03:04.000]  剛才我們讀了一段經文,講到耶穌在十二歲與父母發生衝突
