
[00:00:00.000 --> 00:00:06.720]  以色列人究竟有多少個支派,十二個,為何九個半呢?
[00:00:06.720 --> 00:00:14.080]  原來你看文數記第32章,如果你看以色列人抗野的歷史
[00:00:14.080 --> 00:00:21.720]  是有兩個半支派在河外,所謂河外,即是約旦河外那裡
[00:00:21.720 --> 00:00:30.120]  就覺得那地好,於是他和摩西申請我們可不可以留在約旦河外那邊
[00:00:30.120 --> 00:00:37.200]  當時你看這個故事是挺有趣的,有些人就說怎麼可以,那你即是和耶和華沒份
[00:00:37.200 --> 00:00:42.640]  因為耶和華的應許之地在裡面,他說不是,我們都是要敬拜耶和華的
[00:00:42.640 --> 00:00:48.240]  那你怎麼可以呢?你在外面安定了,然後他們最後的決議是說
[00:00:48.240 --> 00:00:54.480]  我們會和我們的兄弟,其他九點五支派一起去打仗,直至打完了
[00:00:54.480 --> 00:00:59.960]  接著我們會回去,不過我們的老婆子女暫時已經安定在河外那裡
[00:00:59.960 --> 00:01:06.880]  耶和華和我們是有份的,於是摩西就說OK,好事,你有空回去看
[00:01:06.880 --> 00:01:14.240]  總之就是九點五支派是在河內,二點五支派是在河外
[00:01:14.240 --> 00:01:20.000]  摩西把亞摩利王西弘的國和巴山王岳的國
[00:01:20.000 --> 00:01:29.280]  就是他們的國土和周圍的城鎮都給了加德子孫和裡面子孫
[00:01:29.280 --> 00:01:33.080]  加德是get,裡面是rubin,兩個支派
[00:01:33.080 --> 00:01:44.400]  還有約瑟的兒子,馬拿西半個支派,所以馬拿西有半個支派是在外面的,然後其他半個支派在裡面,OK?
[00:01:44.400 --> 00:01:48.880]  加起來有十二個,分了,分了就要自己去打
[00:01:48.880 --> 00:01:54.960]  最後,最後那一段,二十三至二十四章是說侍奉
[00:01:54.960 --> 00:01:58.720]  我想大家都很熟悉的,但我想和你讀完之後,稍後再想一下
[00:01:58.720 --> 00:02:02.560]  究竟這個,其實這個是整本書的高潮來的
[00:02:02.560 --> 00:02:07.280]  我想最後和你一起看看侍奉的重要性
[00:02:07.280 --> 00:02:09.880]  約瑟記第二十四章第十五節這樣說
[00:02:09.880 --> 00:02:21.920]  「若你們認為侍奉要的話,不好今日就可以選擇所要侍奉的,是你們列祖在大河那邊所侍奉的神明」
[00:02:21.920 --> 00:02:32.720]  這個在說,我相信是在說阿巴拉罕,因為阿巴拉罕以前未被呼召之前是在大河的另外一邊吾爾那裡的
[00:02:32.720 --> 00:02:39.880]  而在他那篇道裡面是說他在吾爾的另外一邊是敬拜其他的假神,OK?
[00:02:39.880 --> 00:02:47.320]  他說「是你們列祖阿巴拉罕在大河那邊所侍奉的神明,或是你們所住這地」
[00:02:47.320 --> 00:02:55.800]  現在是教南帝了,「阿摩利人的神明,至於我和我家,我必定侍奉而和華」
