
[00:00:00.000 --> 00:00:05.760]  在我們日常的生活中
[00:00:05.760 --> 00:00:09.320]  往往都充滿了很多很多的威脅
[00:00:09.320 --> 00:00:11.520]  可能是來自身體的檢查
[00:00:11.520 --> 00:00:12.560]  突然間看一個醫生
[00:00:12.560 --> 00:00:15.400]  醫生告訴你報告不是很靚仔
[00:00:15.400 --> 00:00:18.440]  你的心情馬上跌了下來
[00:00:18.440 --> 00:00:20.880]  可能是公司裁員
[00:00:20.880 --> 00:00:24.840]  又或者是你學校裏面被人排擠
[00:00:24.840 --> 00:00:26.760]  很多不開心的事
[00:00:26.760 --> 00:00:28.600]  甚至家庭裏面關係
[00:00:28.600 --> 00:00:31.360]  是有一些的衝突
[00:00:31.360 --> 00:00:34.600]  當我們陷入了這些困難的處境的時候
[00:00:34.600 --> 00:00:35.520]  我們的眼睛
[00:00:35.520 --> 00:00:39.320]  我們的眼目看到的是些什麼東西呢
[00:00:39.320 --> 00:00:41.720]  是現實裏面的殘酷
[00:00:41.720 --> 00:00:44.800]  還是看到上帝的同在呢
[00:00:44.800 --> 00:00:47.040]  今天想和大家看一段比較長的經文
[00:00:47.040 --> 00:00:48.720]  不過不會全部照讀的
[00:00:48.720 --> 00:00:54.200]  就是來自獵王幾下第六章第八節到第二十三節
[00:00:54.200 --> 00:00:57.400]  這裡提到一個故事
[00:00:57.400 --> 00:00:58.960]  這個故事在開始的時候
[00:00:58.960 --> 00:01:02.360]  就提到亞蘭王和以色列人在爭戰
[00:01:02.360 --> 00:01:06.840]  故事的結束就是亞蘭王不再犯境了
[00:01:06.840 --> 00:01:10.040]  就是說這個故事叫做Happy Ending
[00:01:10.040 --> 00:01:14.000]  這個故事裏面大概可以分為三個部分
[00:01:14.000 --> 00:01:17.000]  第一個部分就和亞蘭王有關的
[00:01:17.000 --> 00:01:19.640]  就說到他見到一件事件
[00:01:19.640 --> 00:01:22.560]  但是他完全沒有敬畏上帝
[00:01:22.560 --> 00:01:24.000]  第二個事件是
