
[00:00:00.000 --> 00:00:04.480]  第一季裡,我們也有一個很重要的季題
[00:00:04.480 --> 00:00:08.000]  這個不是隨便訂出來的,是非常非常重要
[00:00:08.000 --> 00:00:11.560]  因為也配合了我們教會一個很重要的核心價值
[00:00:11.560 --> 00:00:14.320]  就是什麼?我們一起讀,1、2、3
[00:00:14.320 --> 00:00:17.760]  重視全人敬拜,沒錯
[00:00:17.760 --> 00:00:19.800]  我們要在這三個月裡
[00:00:19.800 --> 00:00:23.200]  很聚焦地在敬拜的生活當中
[00:00:23.200 --> 00:00:26.080]  不單單是每個星期,大家做得很好
[00:00:26.080 --> 00:00:29.040]  今天開始,正如王永強執事剛才也分享
[00:00:29.040 --> 00:00:32.320]  我們用敬拜開始了我們今年的生活
[00:00:32.320 --> 00:00:35.400]  但是敬拜不單單是在十一點至十二點半
[00:00:35.400 --> 00:00:37.800]  一個半小時坐在禮堂的當中
[00:00:37.800 --> 00:00:39.960]  而是一個全人的敬拜
[00:00:39.960 --> 00:00:43.880]  我們整個生命都以上帝為尊為首
[00:00:43.880 --> 00:00:46.120]  這就是我們全人敬拜的意思
[00:00:46.120 --> 00:00:48.200]  願上帝在這三個月,透過講壇
[00:00:48.200 --> 00:00:51.800]  透過不同的講員都能夠去建立我們
[00:00:51.800 --> 00:00:57.760]  今天我用什麼經文跟大家開始1月1日的敬拜呢?
[00:00:57.760 --> 00:00:59.840]  我不單單會用《尼希米記》
[00:00:59.840 --> 00:01:03.160]  我會在接下來每個月的第一個主日
[00:01:03.160 --> 00:01:06.720]  都會用《尼希米記》全卷書
[00:01:06.720 --> 00:01:11.040]  去建立一個港獨的系列
[00:01:11.040 --> 00:01:13.200]  重建城牆系列
[00:01:13.200 --> 00:01:14.960]  我們要重建什麼呢?
[00:01:14.960 --> 00:01:21.720]  在今年裡,我們需要重建教會的淑女氣氛
[00:01:21.720 --> 00:01:25.040]  我們很多弟兄姊妹的淑女氣氛
[00:01:25.040 --> 00:01:26.920]  可能低沉了
[00:01:26.920 --> 00:01:28.640]  正如在敬拜的時候
[00:01:28.640 --> 00:01:30.560]  我們說是很重要的
[00:01:30.560 --> 00:01:33.120]  但可能我們有時會遲到
[00:01:33.120 --> 00:01:35.480]  可能甚至乎現在應該沒有了,看不到了
[00:01:35.480 --> 00:01:36.760]  可能在玩手機
[00:01:36.760 --> 00:01:38.560]  可能你不是在玩手機
[00:01:38.560 --> 00:01:42.160]  而是在上網查看《聖經》的資料是否正確
[00:01:42.160 --> 00:01:44.800]  非常好,這樣也沒問題
[00:01:44.800 --> 00:01:47.160]  但不要在回覆人家的WhatsApp
[00:01:47.160 --> 00:01:50.920]  或者在吃開餐時想一想待會去哪裡吃飯
[00:01:50.920 --> 00:01:52.800]  我們專心在敬拜裡面
[00:01:52.800 --> 00:01:55.320]  或者我們很重視《聖經》
[00:01:55.320 --> 00:01:58.640]  但當我們有機會問弟兄姊妹
[00:01:58.640 --> 00:02:03.640]  你每個星期有多少天看《聖經》呢?
[00:02:03.640 --> 00:02:07.440]  可能一個星期也未必有一兩次
[00:02:07.440 --> 00:02:10.640]  我們很重視雙生雙愛的關係
[00:02:10.640 --> 00:02:13.280]  但在過去一年我們看到
[00:02:13.280 --> 00:02:16.160]  外面的撕裂文化也在影響我們弟兄姊妹
[00:02:16.160 --> 00:02:18.520]  我們的關係是表面化
[00:02:18.520 --> 00:02:21.080]  正如剛才施班長所說
[00:02:21.080 --> 00:02:23.920]  我們要忠心侍奉
[00:02:23.920 --> 00:02:27.280]  但很多弟兄姊妹在侍奉裡都疲乏
[00:02:27.280 --> 00:02:29.400]  都需要加力
[00:02:29.400 --> 00:02:33.360]  所以在接下來的重建城牆系列
[00:02:33.360 --> 00:02:36.760]  我很盼望上帝使用尼西米基幫助我們
[00:02:36.760 --> 00:02:39.840]  能夠建立我們教會的淑寧氣氛
[00:02:39.840 --> 00:02:44.080]  也能夠建立我們教會的淑寧領袖
[00:02:44.080 --> 00:02:46.520]  侍奉人員、淑寧的生命
[00:02:46.520 --> 00:02:49.920]  這就是我揀選尼西米基的原因
[00:02:49.920 --> 00:02:51.320]  你可能還會問
[00:02:51.320 --> 00:02:54.920]  為什麼選擇尼西米基做重建呢?
[00:02:54.920 --> 00:02:59.120]  不如我們先讀第一章的尼西米基頭三節
[00:02:59.120 --> 00:03:00.400]  其實我鼓勵大家
[00:03:00.400 --> 00:03:02.560]  這也是我們失落了的地方
[00:03:02.560 --> 00:03:04.600]  以前我們打聖經的時候
[00:03:04.600 --> 00:03:06.840]  有些弟兄姊妹幫助隔壁的弟兄姊妹
[00:03:06.840 --> 00:03:08.080]  去遣聖經
[00:03:08.080 --> 00:03:10.360]  現在不用看PowerPoint了
[00:03:10.360 --> 00:03:12.800]  但我一會兒PowerPoint也不會再出現經文了
[00:03:12.800 --> 00:03:15.920]  所以我鼓勵大家打尼西米基
[00:03:15.920 --> 00:03:18.560]  然後你就知道問題出現了
[00:03:18.560 --> 00:03:23.840]  尼西米基在哪裏呢?
[00:03:23.840 --> 00:03:27.640]  原來就在以斯帖記和以斯拉記的中間
[00:03:27.640 --> 00:03:30.400]  以斯帖記和以斯拉記在哪裏呢?
[00:03:30.400 --> 00:03:33.160]  以斯帖記就在約伯書的前面
[00:03:33.160 --> 00:03:35.400]  你詩篇就最容易看到的了
[00:03:35.400 --> 00:03:37.000]  詩篇前一卷是約伯記
[00:03:37.000 --> 00:03:38.000]  再前一卷是以斯帖記
[00:03:38.000 --> 00:03:39.880]  再前一卷是尼西米記
[00:03:39.880 --> 00:03:41.560]  在舊約歷史書裏面
[00:03:41.560 --> 00:03:43.480]  差不多是最後那兩卷
[00:03:43.480 --> 00:03:45.520]  由尼西米記的第一章
[00:03:45.520 --> 00:03:48.800]  我鼓勵你們,我們的聖經很好的
[00:03:48.800 --> 00:03:50.960]  有條紅帶貼在這裏
[00:03:50.960 --> 00:03:52.880]  因為接下來每個月都會看的了
[00:03:52.880 --> 00:03:54.600]  當然我不知道下個星期
[00:03:54.600 --> 00:03:56.600]  其實我們已經知道了
[00:03:56.600 --> 00:03:59.840]  其實我已經吩咐了我們的講員
[00:03:59.840 --> 00:04:03.280]  接下來每個星期之前
[00:04:03.280 --> 00:04:05.520]  就要出一個講題和經文給我們
[00:04:05.520 --> 00:04:07.840]  大家可以在一個星期之前去溫習
[00:04:07.840 --> 00:04:10.320]  所以你想知道下個星期是哪個講員呢?
[00:04:10.320 --> 00:04:12.880]  你看周刊的第
[00:04:12.880 --> 00:04:14.960]  我沒有帶周刊,第六還是第七頁呢?
[00:04:14.960 --> 00:04:16.320]  就是葉姑娘講道
[00:04:16.320 --> 00:04:17.200]  葉應鳳傳道
[00:04:17.200 --> 00:04:20.320]  她會講羅馬書第十二章一至二節
[00:04:20.320 --> 00:04:21.360]  就是全人敬拜
[00:04:21.360 --> 00:04:23.400]  配合了我們的貴題
[00:04:23.400 --> 00:04:25.040]  Side check了,不好意思
[00:04:25.040 --> 00:04:26.840]  回到尼西米記
[00:04:26.840 --> 00:04:28.840]  我們現在會看完整個第一章
[00:04:28.840 --> 00:04:31.240]  一章一至十一節
[00:04:31.240 --> 00:04:34.280]  那你可能會想下個月就講第二章
[00:04:34.280 --> 00:04:35.520]  逐章講
[00:04:35.520 --> 00:04:36.600]  但有十三章的
[00:04:36.600 --> 00:04:38.080]  難道我們講到一百年
[00:04:38.080 --> 00:04:40.320]  這個到時候就要看神怎樣帶領了
[00:04:40.320 --> 00:04:41.840]  我們先看頭三節
[00:04:41.840 --> 00:04:44.160]  我們一起讀,一二三
[00:04:44.160 --> 00:04:48.160]  哈加利亞的兒子尼西米的言語如下
[00:04:48.160 --> 00:04:51.520]  亞達舍西王二十年基斯留月
[00:04:51.520 --> 00:04:53.800]  我在書山城的宮中
[00:04:53.800 --> 00:04:56.680]  那時有我一個弟兄哈拿尼
[00:04:56.680 --> 00:04:59.240]  同著幾個人從猶大來
[00:04:59.240 --> 00:05:01.880]  我問他們那些被老歸回
[00:05:01.880 --> 00:05:03.920]  剩下逃脫的猶大人
[00:05:03.920 --> 00:05:06.480]  和耶穌撒冷的光景
[00:05:06.480 --> 00:05:07.760]  他們對我說
