
[00:00:00.000 --> 00:00:02.000]  近日我看了一套電影
[00:00:02.000 --> 00:00:04.680]  叫做《打死不離三婦女》
[00:00:04.680 --> 00:00:07.120]  是一套印度的勵志電影
[00:00:07.120 --> 00:00:09.920]  不知道在哪裏有看過這套電影呢
[00:00:09.920 --> 00:00:12.080]  都有不少電影姐妹看過
[00:00:12.080 --> 00:00:13.680]  這套電影我看了兩次
[00:00:13.680 --> 00:00:16.040]  是一套非常勵志的電影
[00:00:16.040 --> 00:00:19.280]  如果你覺得生命裏面好像沒有什麼鬥志
[00:00:19.280 --> 00:00:20.680]  沒有什麼朝氣的話
[00:00:20.680 --> 00:00:22.320]  鼓勵你看看這套電影
[00:00:22.320 --> 00:00:24.400]  我們生命裏面有一點激情
[00:00:24.400 --> 00:00:26.000]  有一點熱情
[00:00:26.000 --> 00:00:29.680]  這套電影其實講述的是一個男主角
[00:00:29.680 --> 00:00:33.480]  他曾經是一個國家級的摔跤運動員
[00:00:33.480 --> 00:00:38.080]  不過因為自己未能夠為國家出戰奧運
[00:00:38.080 --> 00:00:39.960]  去奪金牌、爭光
[00:00:39.960 --> 00:00:43.040]  所以他心裏面一直的緊緊於懷
[00:00:43.040 --> 00:00:47.160]  於是很希望自己能夠和太太生一個兒子
[00:00:47.160 --> 00:00:49.320]  讓自己能夠好好培育他
[00:00:49.320 --> 00:00:51.680]  為國家奪金
[00:00:51.680 --> 00:00:53.960]  去一嘗他的心願
[00:00:53.960 --> 00:00:59.560]  不過他卻一年生了四個女兒
[00:00:59.560 --> 00:01:02.400]  迫不得已他就放棄他的夢想
[00:01:02.400 --> 00:01:03.440]  有一天
[00:01:03.440 --> 00:01:04.840]  他隔壁屋的一對夫婦
[00:01:04.840 --> 00:01:08.280]  帶著他們兩個兒子來到這個男主角的家裏
[00:01:08.280 --> 00:01:11.120]  要向這個男主角討回公道
[00:01:11.120 --> 00:01:11.640]  為什麼呢?
[00:01:11.640 --> 00:01:15.040]  因為這兩個兒子被人打得口腫臉腫
[00:01:15.040 --> 00:01:17.480]  全身都是血
[00:01:17.480 --> 00:01:18.840]  這個男主角才知道
[00:01:18.840 --> 00:01:21.400]  原來打這兩個兒子的不是其他人
[00:01:21.400 --> 00:01:24.280]  就是他家裏面的那兩個女兒
[00:01:24.280 --> 00:01:27.000]  他才發現這兩個女兒很厲害
[00:01:27.000 --> 00:01:29.480]  打架還凶狠過任何一個男子
[00:01:29.480 --> 00:01:32.640]  原來他們非常有摔跤天份
[00:01:32.640 --> 00:01:35.880]  於是他就用地獄式的方法去訓練這兩個女兒
[00:01:35.880 --> 00:01:39.920]  希望他們能夠成為第一名的摔跤手
[00:01:39.920 --> 00:01:43.440]  很記得當這個爸爸帶著這兩個女兒
[00:01:43.440 --> 00:01:47.440]  去到隔壁村的摔跤錦標賽
[00:01:47.440 --> 00:01:49.680]  進行第一場比賽的時候
[00:01:49.680 --> 00:01:52.520]  他的大女兒要打第一場比賽
[00:01:52.520 --> 00:01:55.280]  原本冷清清的整個場地
[00:01:55.280 --> 00:01:56.440]  一個人都沒有
[00:01:56.440 --> 00:01:58.320]  很少人在
[00:01:58.320 --> 00:02:00.120]  突然之間當聽到
[00:02:00.120 --> 00:02:03.800]  接下來是一個男女對戰
[00:02:03.800 --> 00:02:04.880]  整個場地
[00:02:04.880 --> 00:02:08.480]  煞時之間就充滿了幾百個印度的男觀眾
[00:02:08.480 --> 00:02:10.320]  入場觀看
