
[00:00:00.000 --> 00:00:06.800]  免我門嘅債 如同我門免了人嘅債
[00:00:06.800 --> 00:00:11.040]  《曼哈福音》六章十二節
[00:00:11.040 --> 00:00:13.040]  是我們今天的經文
[00:00:13.040 --> 00:00:15.680]  我可以證實給大家看
[00:00:15.680 --> 00:00:18.800]  今天這一節的經文在《主禱文》裡面
[00:00:18.800 --> 00:00:22.160]  其實是最重要的一節經文
[00:00:22.160 --> 00:00:24.960]  有兩個原因我是這麼說的
[00:00:24.960 --> 00:00:26.960]  為什麼這一節的經文是最重要的呢?
[00:00:26.960 --> 00:00:30.800]  第一個原因其實以前都跟大家分享過
[00:00:30.800 --> 00:00:34.240]  整個《主禱文》其實都有一個首尾的結構
[00:00:34.240 --> 00:00:35.920]  非常精彩
[00:00:35.920 --> 00:00:41.360]  一頭一尾六章九節和六章十三節的尾
[00:00:41.360 --> 00:00:45.520]  都是教我們如何進入禱告
[00:00:45.520 --> 00:00:47.520]  是一些讚美的說話
[00:00:47.520 --> 00:00:50.320]  幫助我們能夠去到神的面前
[00:00:50.320 --> 00:00:53.200]  來祈求禱告
[00:00:53.200 --> 00:00:54.960]  六章九節說
[00:00:54.960 --> 00:00:59.680]  「我們在天上的父、怨人都尊祢的名為聖」
[00:00:59.680 --> 00:01:02.160]  而六章十三節的尾
[00:01:02.160 --> 00:01:06.720]  說「權並永要傳示祢的直到永遠」
[00:01:06.720 --> 00:01:11.600]  接著在我們為自己的需要祈求之前
[00:01:11.600 --> 00:01:16.880]  我們需要先調整一下我們自己的思想
[00:01:16.880 --> 00:01:19.360]  調整一下我們自己的意志
[00:01:19.360 --> 00:01:21.600]  來符合神的意志
[00:01:21.600 --> 00:01:23.360]  所以在六章十節
[00:01:23.360 --> 00:01:25.920]  我們要「願神的國降臨
[00:01:25.920 --> 00:01:28.320]  願神的旨意行在地上
[00:01:28.320 --> 00:01:30.160]  如同行在天上」
[00:01:30.160 --> 00:01:31.680]  我們先求神的國
[00:01:31.680 --> 00:01:33.760]  先求神的旨意
[00:01:33.760 --> 00:01:36.480]  然後才為自己祈求
[00:01:36.480 --> 00:01:38.640]  下星期會跟大家說
[00:01:38.640 --> 00:01:41.520]  六章十三節的頭
[00:01:41.520 --> 00:01:43.920]  是「不叫我們遇見試探
[00:01:43.920 --> 00:01:46.800]  救我們脫離凶惡」
[00:01:46.800 --> 00:01:50.960]  這首經文看起來好像是求神保護我們
[00:01:50.960 --> 00:01:54.160]  但如果我們細細著墨會發覺
[00:01:54.160 --> 00:01:56.000]  當我們遇見試探
[00:01:56.000 --> 00:01:57.520]  遇見試驗的時候
[00:01:57.520 --> 00:02:00.560]  很多時候我們會犯罪
[00:02:00.560 --> 00:02:03.520]  我們仍然要調整我們的意志
[00:02:03.520 --> 00:02:07.520]  以致我們能夠遇見試探、試驗都不犯罪
[00:02:07.520 --> 00:02:10.320]  來符合神的旨意
[00:02:10.320 --> 00:02:12.640]  而今天我們要說的
[00:02:12.640 --> 00:02:17.040]  是經文當中最重要、最中心的地方
[00:02:17.040 --> 00:02:20.000]  感謝神將我們的需要
[00:02:20.000 --> 00:02:22.880]  擺在整個主禱文的中間
[00:02:22.880 --> 00:02:24.720]  非常感謝神
[00:02:24.720 --> 00:02:26.880]  上次跟大家說了
[00:02:26.880 --> 00:02:28.240]  我們日用的飲食
[00:02:28.240 --> 00:02:31.440]  今日賜給我們六章十一節
[00:02:31.440 --> 00:02:36.240]  是祈求神給我們最基本的物質上的需要
[00:02:36.240 --> 00:02:38.400]  以致我們可以將我們的注意力
[00:02:38.400 --> 00:02:40.960]  放在屬靈的事上
[00:02:40.960 --> 00:02:47.120]  神來照顧所有基本上物質的需要
[00:02:47.120 --> 00:02:48.720]  今天要跟大家說
[00:02:48.720 --> 00:02:49.920]  不再是物質的需要
[00:02:49.920 --> 00:02:51.040]  是另一方面
[00:02:51.040 --> 00:02:53.360]  是靈裡面的需要
