
[00:00:00.000 --> 00:00:04.900]  離開了香港已經三十年有多了
[00:00:04.900 --> 00:00:09.580]  但是我對於這個土生土長的地方所發生的事
[00:00:09.580 --> 00:00:12.600]  仍然是極之關心
[00:00:12.600 --> 00:00:17.600]  除了還有很多家人、朋友、同學仍然留在香港
[00:00:17.600 --> 00:00:24.580]  畢竟我很多個成長階段都在香港度過
[00:00:24.580 --> 00:00:30.660]  小學、中學、大學以至第一份工作
[00:00:30.660 --> 00:00:35.980]  所以我們仍然是每天都在看6點半新聞報導
[00:00:35.980 --> 00:00:39.280]  香港現在的疫情、特首選舉
[00:00:39.280 --> 00:00:45.420]  我們仍然是天天緊貼地去追
[00:00:45.420 --> 00:00:49.980]  為了避免拒絕很多年輕人的電視節目
[00:00:49.980 --> 00:00:51.640]  我都有看
[00:00:51.640 --> 00:00:56.760]  結論是「唔到我唔認路」
[00:00:56.760 --> 00:01:03.320]  同時下的年輕人不知道隔了多少重的代溝
[00:01:03.320 --> 00:01:07.000]  大家連三觀都大聲敬聽
[00:01:07.000 --> 00:01:12.420]  三觀包括人生觀、價值觀和世界觀
[00:01:12.420 --> 00:01:14.520]  這個失落感
[00:01:14.520 --> 00:01:21.580]  以及在回憶之中的獅子山下所產生的碰撞
[00:01:21.580 --> 00:01:29.460]  有一種無名的陌生和一份淡淡的傷感
[00:01:29.460 --> 00:01:31.760]  最近看了一個電視節目
[00:01:31.760 --> 00:01:38.680]  見到一些粉絲對偶像的瘋狂簡直是難以置信
[00:01:38.680 --> 00:01:41.900]  完全不能夠想像
[00:01:41.900 --> 00:01:47.840]  節目講到近期隻手可熱的一個男團的其中一個成員
[00:01:47.840 --> 00:01:52.380]  他要選拔一個MV視頻的女主角
[00:01:52.380 --> 00:01:58.700]  於是參賽者的全家都勤讀偶像的資料
[00:01:58.700 --> 00:02:01.560]  努力學習偶像的舞步
[00:02:01.560 --> 00:02:08.400]  連偶像的起居飲食一言一行都如數家鎮
[00:02:08.400 --> 00:02:13.420]  我心想 如果我們追求耶穌追求到這個地步
[00:02:13.420 --> 00:02:17.760]  背聖經好像他們一樣滾瓜爛熟
[00:02:17.760 --> 00:02:24.000]  就真的是一個極美好的一件美事
[00:02:24.000 --> 00:02:26.640]  其中一個參賽者的女兒
[00:02:26.640 --> 00:02:32.520]  因為可以這麼近距離的親身目睹偶像的面貌
[00:02:32.520 --> 00:02:37.640]  還有一帆之緣反覆多次地說
[00:02:37.640 --> 00:02:43.240]  這次真是死而無憾
[00:02:43.240 --> 00:02:49.040]  死而無憾 是不是就是這麼低層次
[00:02:49.040 --> 00:02:57.120]  究竟怎樣才是真是死而無憾呢
[00:02:57.120 --> 00:03:02.480]  二千多年前的那一個星期五下午
[00:03:02.480 --> 00:03:08.120]  在葛國他山上 特別熱鬧
[00:03:08.120 --> 00:03:10.820]  這不是觀光聖地
[00:03:10.820 --> 00:03:17.320]  但是在耶路撒冷被判定十字架的死囚都在這裡行刑
[00:03:17.320 --> 00:03:19.300]  人們充滿著好奇
[00:03:19.300 --> 00:03:25.960]  跟著隊伍走去城外登上葛國他山
[00:03:25.960 --> 00:03:33.560]  一面議論紛紛 一面看著十惡不赦的罪犯被釘十字架
[00:03:33.560 --> 00:03:37.480]  但是這一天的節目有一點不同
[00:03:37.480 --> 00:03:44.240]  要被釘的這個拿撒立人耶穌不是一般人
[00:03:44.240 --> 00:03:47.960]  這個人行過很多神蹟
[00:03:47.960 --> 00:03:50.280]  看來好像先知
[00:03:50.280 --> 00:03:55.400]  他又自稱是神的兒子 神差遣的基督
[00:03:55.400 --> 00:03:59.480]  如果真是這樣 他為甚麼又會被捉拿
[00:03:59.480 --> 00:04:04.600]  又怎樣會被判釘十字架呢
[00:04:04.600 --> 00:04:09.480]  他會不會到時可以及時顯出他的神蹟
[00:04:09.480 --> 00:04:13.840]  而逃出生天 去證明他自己
[00:04:13.840 --> 00:04:18.320]  群眾一面想 一面跟著去葛國他
[00:04:18.320 --> 00:04:22.040]  為了要一探究竟
[00:04:22.040 --> 00:04:25.880]  還有一群人 他們是耶穌的門徒
[00:04:25.880 --> 00:04:31.320]  很多都是女性 一路跟隨去到十字架下邊
[00:04:31.320 --> 00:04:39.800]  十二門徒就只有主所愛的那個門徒在場
[00:04:39.800 --> 00:04:43.080]  他們沒有能力拯救耶穌
[00:04:43.080 --> 00:04:49.400]  只能夠遠遠地觀望 在這裡肝焦急
[00:04:49.400 --> 00:04:57.560]  用一個廣角鏡來看這個時候的葛國他
[00:04:57.560 --> 00:05:00.120]  觸目驚心的十字架
[00:05:00.120 --> 00:05:04.440]  耶穌被釘在上面血流不止
[00:05:04.440 --> 00:05:08.840]  十字架旁邊有很多人在圍觀
[00:05:08.840 --> 00:05:16.680]  迫害他 戲弄他 嘲笑他 好奇地觀察他
[00:05:16.680 --> 00:05:22.520]  還有是跟隨過耶穌的門徒 想知道他的狀況
[00:05:22.520 --> 00:05:27.640]  站在周圍的每一個人都懷抱著不同的心情
[00:05:27.640 --> 00:05:31.640]  有人支持 有人反對耶穌
[00:05:31.640 --> 00:05:36.040]  有人擔心 有人狂妄地戲弄耶穌
[00:05:36.040 --> 00:05:39.720]  這些人都被迫在同一個地方
[00:05:39.720 --> 00:05:44.600]  真是一個很奇特的場景
[00:05:44.600 --> 00:05:48.200]  現在我們要撇開人群
[00:05:48.200 --> 00:05:56.360]  將鏡頭對準在耶穌和祂左右兩個人
[00:05:56.360 --> 00:06:02.760]  這個鏡頭由路加的筆下所描述
[00:06:02.760 --> 00:06:06.360]  畫面非常單純而且奇妙
