
[00:00:00.000 --> 00:00:06.000]  上個星期我講了傳道書五章一至七節
[00:00:06.000 --> 00:00:10.000]  我定的題目和今天相同
[00:00:10.000 --> 00:00:12.000]  奪取幸福與抓緊幸福
[00:00:12.000 --> 00:00:15.000]  上次是第一講 今次是第二講
[00:00:15.000 --> 00:00:16.000]  繼續講下去
[00:00:16.000 --> 00:00:21.000]  講完下半章 由第八節至二十節
[00:00:21.000 --> 00:00:25.000]  第五章這一章的聖經提醒我們
[00:00:25.000 --> 00:00:28.000]  如果我們想抓緊神賜給我們的福氣
[00:00:28.000 --> 00:00:31.000]  我們需要留心四件事
[00:00:31.000 --> 00:00:34.000]  上個星期講了第一件事
[00:00:34.000 --> 00:00:39.000]  我們不要搶奪神應得的一份榮耀
[00:00:39.000 --> 00:00:40.000]  什麼意思呢
[00:00:40.000 --> 00:00:45.000]  我們不要忘記在任何的惡劣環境裡
[00:00:45.000 --> 00:00:50.000]  我們都不要忘記歸榮耀給神
[00:00:50.000 --> 00:00:54.000]  神當得的一份榮耀 尊重 崇敬
[00:00:54.000 --> 00:00:56.000]  我們是需要給祂的
[00:00:56.000 --> 00:00:59.000]  這樣我們才能在逆境裡
[00:00:59.000 --> 00:01:03.000]  仍然可以抓緊神的福氣
[00:01:03.000 --> 00:01:05.000]  今天我繼續講
[00:01:05.000 --> 00:01:13.000]  其餘三件要留心的事是什麼呢
[00:01:13.000 --> 00:01:14.000]  第二件事
[00:01:14.000 --> 00:01:16.000]  今天從第二件事開始講
[00:01:16.000 --> 00:01:19.000]  想要抓緊神賜給我們的福氣的
[00:01:19.000 --> 00:01:22.000]  第二件要留心的事就是
[00:01:22.000 --> 00:01:28.000]  我們要尊重別人應得的一份
[00:01:28.000 --> 00:01:32.000]  或者我們反過來講
[00:01:32.000 --> 00:01:38.000]  我們不要去搶賣別人應得的一份
[00:01:38.000 --> 00:01:39.000]  我們看今天的經文
[00:01:52.000 --> 00:02:01.000]  傳道者在這裡說
[00:02:01.000 --> 00:02:04.000]  很可能是反映當時的社會現象
[00:02:04.000 --> 00:02:11.000]  或者他只是一個對社會的一個通識
[00:02:11.000 --> 00:02:15.000]  他就說他看到窮人受欺壓
[00:02:15.000 --> 00:02:19.000]  這種事情是非常之普遍的
