
[00:00:00.000 --> 00:00:03.360]  《釋讀大衛第30 重掌皇權》
[00:00:03.360 --> 00:00:07.160]  今天是我講大衛尾二的一次
[00:00:07.160 --> 00:00:10.040]  其實今天已經講完大衛的一生了
[00:00:10.040 --> 00:00:12.600]  但是我們會在下一次裡面
[00:00:12.600 --> 00:00:15.400]  透過大衛自己所寫的一篇詩篇
[00:00:15.400 --> 00:00:18.000]  為他作出一個蓋棺定論
[00:00:18.000 --> 00:00:19.520]  大家知道
[00:00:19.520 --> 00:00:21.200]  「鴨沙龍」背叛大衛
[00:00:21.200 --> 00:00:24.400]  但是後來「藥鴨」將「鴨沙龍」又殺了
[00:00:24.400 --> 00:00:27.200]  動亂平息之後
[00:00:27.200 --> 00:00:29.880]  大衛可以重掌皇權
[00:00:29.880 --> 00:00:34.400]  可以回到自己的京城裡面去作王
[00:00:34.400 --> 00:00:37.320]  但是原來之前這個過程裡面
[00:00:37.320 --> 00:00:39.840]  也有很多的事情值得我們去反思
[00:00:39.840 --> 00:00:43.000]  第一方面我特別來探討的就是
[00:00:43.000 --> 00:00:45.200]  究竟正情重要
[00:00:45.200 --> 00:00:47.840]  還是親情重要呢?
[00:00:47.840 --> 00:00:55.280]  當「鴨沙龍」被殺之後
[00:00:55.280 --> 00:00:57.400]  殺毒的兒子
[00:00:57.400 --> 00:00:59.280]  阿希瑪斯
[00:00:59.560 --> 00:01:00.880]  他自薦
[00:01:00.880 --> 00:01:02.280]  跟「藥鴨」說
[00:01:02.280 --> 00:01:04.920]  「我想去報信給王知道
[00:01:04.920 --> 00:01:07.160]  我們已經打贏了這場仗」
[00:01:07.160 --> 00:01:09.760]  阿希瑪斯是誰呢?
[00:01:09.760 --> 00:01:12.160]  這個原來經常都是做信差的
[00:01:12.160 --> 00:01:13.520]  大家記不記得
[00:01:13.520 --> 00:01:15.960]  當大衛的謀臣
[00:01:15.960 --> 00:01:19.920]  阿希多佛投靠了「鴨沙龍」之後
[00:01:19.920 --> 00:01:21.880]  他立刻建議「鴨沙龍」
[00:01:21.880 --> 00:01:24.240]  趁著他病,要他命
[00:01:24.240 --> 00:01:26.160]  現在去追殺大衛
[00:01:26.160 --> 00:01:28.440]  如果「鴨沙龍」真的這麼做的時候
[00:01:28.440 --> 00:01:29.640]  大衛死定了
[00:01:29.640 --> 00:01:31.800]  但幸好有人有反間計
[00:01:31.800 --> 00:01:33.520]  提議另一個建議
[00:01:33.520 --> 00:01:35.440]  暫時不要這樣去追殺他
[00:01:35.440 --> 00:01:36.880]  其實你父親是很兇猛的
[00:01:36.880 --> 00:01:38.880]  去反撲你就死定了
[00:01:38.880 --> 00:01:41.600]  就拖慢了這個計劃
[00:01:41.600 --> 00:01:44.480]  然後就是阿希瑪斯
[00:01:44.480 --> 00:01:47.400]  去報信給大衛知道
[00:01:47.400 --> 00:01:48.880]  你兒子會追殺你
[00:01:48.880 --> 00:01:50.040]  快點逃亡
[00:01:50.040 --> 00:01:52.840]  所以阿希瑪斯很喜歡去報信
[00:01:52.840 --> 00:01:54.320]  這次他又說了
[00:01:54.320 --> 00:01:55.840]  「我很想去報信」
[00:01:56.200 --> 00:01:59.200]  但約翰是一個很懂得分析的人
[00:01:59.200 --> 00:02:00.720]  在第十八章的二十節
[00:02:00.720 --> 00:02:01.840]  約翰跟他說
[00:02:01.840 --> 00:02:03.520]  「你不要去啊」
[00:02:03.520 --> 00:02:07.040]  「因為這是對『鴨沙龍』的死訊來的」
[00:02:07.040 --> 00:02:09.840]  「對大衛來說絕對不是一個喜訊」
[00:02:09.840 --> 00:02:11.560]  「因為他兒子被殺」
[00:02:11.560 --> 00:02:13.000]  「是一個噩耗來的」
[00:02:13.000 --> 00:02:14.000]  「所以你不要去」
[00:02:14.000 --> 00:02:16.560]  但是他很有堅持
[00:02:16.560 --> 00:02:17.920]  他仍然要去
[00:02:17.920 --> 00:02:20.120]  但約翰說「我會派另一個人去」
[00:02:20.120 --> 00:02:22.000]  「我會派一個埃及人」
[00:02:22.000 --> 00:02:23.760]  「古時是一個地方來的」
[00:02:23.760 --> 00:02:25.360]  「這個是一個黑人來的」
[00:02:25.360 --> 00:02:27.120]  「我會派一個埃及人去報信」
[00:02:27.120 --> 00:02:27.920]  「為什麼呢?」
[00:02:27.920 --> 00:02:30.320]  「因為是跟他的民族沒有關係」
[00:02:30.320 --> 00:02:32.560]  「他報出來的時候好像跟他沒有什麼關係」
[00:02:32.560 --> 00:02:33.800]  「只是真的報信而已」
[00:02:33.800 --> 00:02:35.560]  「就不會有這麼多的衝擊」
[00:02:35.560 --> 00:02:37.200]  但是
[00:02:37.200 --> 00:02:38.760]  阿希瑪斯
[00:02:38.760 --> 00:02:41.000]  他心裡面很想做這件事情
[00:02:41.000 --> 00:02:42.600]  他繼續求
[00:02:42.600 --> 00:02:44.080]  再三的堅持
[00:02:44.080 --> 00:02:44.960]  「可不可以讓我去?」
[00:02:44.960 --> 00:02:47.760]  《撒慕爾記下》第十八章的第二十二節
[00:02:47.760 --> 00:02:48.920]  我們一起來讀出
[00:02:48.920 --> 00:02:49.960]  十八章二十二節
[00:02:49.960 --> 00:02:50.960]  我們一起來讀出
[00:02:51.400 --> 00:02:55.560]  「撒慕爾記下 希瑪斯有句約翰說」
[00:02:55.560 --> 00:03:00.240]  「無論怎樣 求你讓我去約古斯人跑去」
