
[00:00:00.000 --> 00:00:03.400]  那今天我要跟各位分享的信息是
[00:00:03.400 --> 00:00:07.680]  強盜 故宮 還有牧人
[00:00:07.680 --> 00:00:11.200]  當我在寫這個講章的時候呢
[00:00:11.200 --> 00:00:13.280]  忽然間我心裡面
[00:00:13.280 --> 00:00:17.360]  我腦海裡面就浮現了一幅圖畫
[00:00:17.360 --> 00:00:20.120]  就是在我許多年前
[00:00:20.120 --> 00:00:22.520]  我看了一部電影
[00:00:22.520 --> 00:00:25.280]  叫做《The Good, The Bad, The Ugly》
[00:00:25.280 --> 00:00:30.640]  這是Clint Eastwood他演的《荒野大鏢客》
[00:00:30.640 --> 00:00:33.160]  這牧人就是The Good
[00:00:33.160 --> 00:00:34.680]  那是好牧人
[00:00:34.680 --> 00:00:37.400]  好牧人為羊捨命
[00:00:37.400 --> 00:00:40.200]  好牧人認識他的羊
[00:00:40.200 --> 00:00:43.360]  The Bad就是那個強盜
[00:00:43.360 --> 00:00:48.760]  他是要來毀壞 殘害 殺害的
[00:00:48.760 --> 00:00:52.320]  那個故宮就是The Ugly
[00:00:52.320 --> 00:00:54.760]  他是不忠心的傳道人
[00:00:54.760 --> 00:01:01.120]  他是會把羊帶入那死衚衕裡面的牧人
[00:01:01.120 --> 00:01:05.960]  所以今天我們來看看這三種人
[00:01:05.960 --> 00:01:08.080]  讓我們能夠再一次
[00:01:08.080 --> 00:01:11.880]  能夠有更多的認識 更瞭解
[00:01:11.880 --> 00:01:12.880]  讓我們低頭禱告
[00:01:12.880 --> 00:01:15.280]  阿爸 父王們感謝你 我們贊美你
[00:01:15.280 --> 00:01:17.520]  因為你是偉大奇妙神
[00:01:17.520 --> 00:01:20.640]  再次說 求你的智慧的眼影
[00:01:20.640 --> 00:01:22.760]  知識的眼影領導我們
[00:01:22.760 --> 00:01:28.080]  讓我們能夠講的 聽的都同則造就
[00:01:28.080 --> 00:01:30.360]  你是偉大奇妙神
[00:01:30.360 --> 00:01:33.480]  哈雷洛亞來我們中間做那奇妙的工作
[00:01:33.480 --> 00:01:37.280]  求你的寶血在我們每一位弟兄姐妹朋友身上
[00:01:37.280 --> 00:01:39.840]  能夠來遮蓋 能夠來塗抹
[00:01:39.840 --> 00:01:41.120]  哈雷洛亞 是的
[00:01:41.120 --> 00:01:42.880]  願把一切榮耀歸給你
[00:01:42.880 --> 00:01:46.840]  感謝禱告贊美是奉主耶穌基督的名
[00:01:46.840 --> 00:01:47.840]  Amen
[00:01:47.840 --> 00:01:51.080]  我剛才說The Bad就是那個強盜
[00:01:51.080 --> 00:01:56.440]  我們看了約翰福音的第十章的一五八十節
[00:01:56.440 --> 00:01:59.840]  他都講到強盜到底是什麼樣子
[00:01:59.840 --> 00:02:03.200]  他說你如果一個人進了羊圈
[00:02:03.200 --> 00:02:05.480]  但是不從門進去
[00:02:05.480 --> 00:02:08.080]  倒是從別的地方爬進去
[00:02:08.080 --> 00:02:11.560]  那個就是賊 那個就是強盜
[00:02:11.560 --> 00:02:13.040]  但是您知道嗎
[00:02:13.040 --> 00:02:16.760]  主耶穌就說我就是羊的門
[00:02:16.760 --> 00:02:18.880]  所以他的含義是說
[00:02:18.880 --> 00:02:22.360]  如果不從主耶穌那裡進來的話
[00:02:22.360 --> 00:02:24.680]  就是賊 就是強盜
[00:02:24.680 --> 00:02:27.320]  而他進來沒有好事情做
[00:02:27.320 --> 00:02:30.080]  他是來毀壞 他是來殺害
[00:02:30.080 --> 00:02:32.120]  他是來偷竊的
[00:02:32.120 --> 00:02:34.120]  所以他又說
[00:02:34.120 --> 00:02:37.200]  羊呢 實際上他要帶著羊
[00:02:37.200 --> 00:02:40.360]  但是因為羊知道他是強盜
[00:02:40.360 --> 00:02:43.600]  所以羊就不跟著他的走
[00:02:43.600 --> 00:02:44.920]  主耶穌甚至說
[00:02:44.920 --> 00:02:49.160]  凡在我以前來的都是強盜
[00:02:49.160 --> 00:02:52.640]  所以說那個自稱為是神的
[00:02:52.640 --> 00:02:54.600]  或者自稱為是耶穌的
