
[00:00:00.000 --> 00:00:03.540]  我猜錯了,我們總有機會錯的
[00:00:03.540 --> 00:00:05.920]  無端端為甚麼要說這段東西呢?
[00:00:05.920 --> 00:00:08.020]  一開始剛剛才說
[00:00:08.020 --> 00:00:10.280]  寫優秀寫很多個字的嘛
[00:00:10.280 --> 00:00:12.780]  你留意一件事
[00:00:12.780 --> 00:00:15.220]  有一個查經法叫OIA
[00:00:15.220 --> 00:00:16.800]  歸納釋賢經
[00:00:16.800 --> 00:00:17.880]  很好用的
[00:00:17.880 --> 00:00:20.240]  我記得我也教過,我也教過人的
[00:00:20.240 --> 00:00:22.060]  其中一個原則
[00:00:22.060 --> 00:00:24.880]  就會說,其中一個不是唯一
[00:00:24.880 --> 00:00:26.320]  就是說看聖經的時候
[00:00:26.320 --> 00:00:30.400]  你留意那些重複出現的字
[00:00:30.400 --> 00:00:32.540]  剛剛我說的,優秀出現很多次的嘛
[00:00:32.540 --> 00:00:33.480]  不過呢
[00:00:33.480 --> 00:00:35.840]  不好意思,不是要拆OIA招牌
[00:00:35.840 --> 00:00:38.680]  但是如果你以為這段聖經是說優秀的話
[00:00:38.680 --> 00:00:40.080]  那就中計了
[00:00:40.080 --> 00:00:41.840]  你看回上文、下理
[00:00:41.840 --> 00:00:43.400]  整個敘述結局
[00:00:43.400 --> 00:00:45.240]  其實是開心的
[00:00:45.240 --> 00:00:47.880]  也不是要說優秀這個主題
[00:00:47.880 --> 00:00:48.720]  真的不是的
[00:00:48.720 --> 00:00:53.240]  所以一本通書不要讀到腦子
[00:00:53.240 --> 00:00:54.760]  一個解經的方法
[00:00:54.760 --> 00:00:56.560]  不要永遠都是只有一個招
[00:00:56.560 --> 00:00:59.920]  所以就先交代一下剛剛提到的優秀的東西
[00:00:59.920 --> 00:01:01.120]  為什麼要這麼說
[00:01:01.120 --> 00:01:04.600]  但是反過來,有一件事要承認的就是
[00:01:04.600 --> 00:01:07.560]  其實哥倫多後書的第七章
[00:01:07.560 --> 00:01:09.720]  不論你剛剛看和本
[00:01:09.720 --> 00:01:12.800]  或者看其他我們叫淺白一點的譯本
[00:01:12.800 --> 00:01:15.200]  都叫人很煩惱的
[00:01:15.200 --> 00:01:17.160]  因為究竟想說什麼
[00:01:17.160 --> 00:01:19.600]  好像不清不楚的
[00:01:19.600 --> 00:01:21.280]  好像不清不楚的
[00:01:21.280 --> 00:01:23.480]  甚至保羅的語氣
[00:01:23.480 --> 00:01:28.120]  用字都說得吞吞吐吐的
[00:01:28.120 --> 00:01:30.280]  一時又叫你接納我
[00:01:30.280 --> 00:01:31.400]  一時又告訴你
[00:01:31.400 --> 00:01:33.800]  我沒有拿過別人便宜的
[00:01:33.800 --> 00:01:35.360]  一時又告訴別人
[00:01:35.360 --> 00:01:38.800]  哇,我這封信寫過來你們是優秀的
[00:01:38.800 --> 00:01:39.960]  我又後悔了
[00:01:39.960 --> 00:01:42.880]  回頭你看回第八、第九節
[00:01:42.880 --> 00:01:45.680]  那些懊悔和憂愁轉來轉去的
[00:01:45.680 --> 00:01:47.440]  總之想說什麼
[00:01:47.440 --> 00:01:51.520]  容許在這裡交代多一點
[00:01:51.520 --> 00:01:56.040]  那麼就一來我們過去那段日子
[00:01:56.040 --> 00:01:57.200]  就順著次序
[00:01:57.200 --> 00:02:00.440]  由哥倫多前書到哥倫多後書一直讀下去
[00:02:00.440 --> 00:02:02.360]  一本《聖經研究》都指出
[00:02:02.360 --> 00:02:05.760]  保羅一定是不止寫過兩卷的
[00:02:05.760 --> 00:02:06.960]  有人說三卷
[00:02:06.960 --> 00:02:07.760]  有人說四卷
[00:02:07.760 --> 00:02:09.000]  甚至更多
[00:02:09.000 --> 00:02:11.520]  因為至少在哥倫多後書裡面
[00:02:11.520 --> 00:02:13.680]  都提到有一封叫《嚴厲的信》
[00:02:13.680 --> 00:02:16.200]  今天我們反而要探討這件問題
[00:02:16.200 --> 00:02:17.560]  《嚴厲的信》是哪一卷呢?
[00:02:17.560 --> 00:02:18.240]  沒有人知道的
[00:02:18.240 --> 00:02:19.880]  因為在《聖經》沒有收錄
[00:02:19.880 --> 00:02:21.320]  但是保羅提過
[00:02:21.320 --> 00:02:25.840]  有一封真是他寫過去
[00:02:25.840 --> 00:02:29.160]  講出哥倫多教會錯誤的一封信
[00:02:29.160 --> 00:02:30.920]  在這個過程裡面
[00:02:30.920 --> 00:02:32.720]  來來往往裡面
[00:02:32.720 --> 00:02:35.360]  哥倫多教會和保羅的關係
[00:02:35.360 --> 00:02:36.640]  其實是很深的
[00:02:36.640 --> 00:02:38.360]  因為教會是他建立的
[00:02:38.360 --> 00:02:39.960]  教會是他牧養的
[00:02:39.960 --> 00:02:42.800]  但是有很多緣故他不能夠一直伴隨他們
[00:02:42.800 --> 00:02:45.200]  而哥倫多教會有很多的麻煩、紛爭
[00:02:45.200 --> 00:02:47.240]  各樣的出現
[00:02:47.240 --> 00:02:48.800]  大致上一件事就是
[00:02:48.800 --> 00:02:50.440]  保羅要寫一封信
[00:02:50.440 --> 00:02:53.760]  保羅在哥倫多教會說得很厚道
[00:02:53.760 --> 00:02:55.840]  他沒有說過究竟
[00:02:55.840 --> 00:02:58.640]  是哥倫多全教會有問題
[00:02:58.640 --> 00:03:00.640]  教會部份人有
[00:03:00.640 --> 00:03:02.440]  大還是小部份都不知道
[00:03:02.440 --> 00:03:04.560]  還是教會只是一個人有問題
[00:03:04.560 --> 00:03:05.640]  都不清楚
[00:03:05.640 --> 00:03:08.800]  因為他沒有再將這件事說出來
[00:03:08.800 --> 00:03:10.040]  但姑勿論如何呢
[00:03:10.040 --> 00:03:12.800]  就是保羅曾經寫過一封信
[00:03:12.800 --> 00:03:18.800]  去指證哥倫多教會有人做錯事
[00:03:18.800 --> 00:03:21.040]  哥倫多教會有人做錯事
[00:03:21.040 --> 00:03:22.960]  如果你聽到這裡你明白
[00:03:22.960 --> 00:03:25.840]  知道為甚麼剛才我們邀請你討論
[00:03:25.840 --> 00:03:27.280]  那個問題
[00:03:27.280 --> 00:03:29.600]  當人說你做錯事
[00:03:29.600 --> 00:03:31.520]  你會有甚麼反應
[00:03:31.520 --> 00:03:32.960]  哥倫多教會的反應
[00:03:32.960 --> 00:03:34.800]  我能夠說一件事就是
[00:03:34.800 --> 00:03:37.480]  可能和我們以往的反應都有點相似
[00:03:37.480 --> 00:03:39.520]  因為那些叫人性
[00:03:39.520 --> 00:03:40.800]  就是否認
[00:03:40.800 --> 00:03:41.840]  甚至
[00:03:41.840 --> 00:03:43.200]  哥倫多教會的反應
[00:03:43.200 --> 00:03:47.880]  按著我們看回第七章第二節
[00:03:47.880 --> 00:03:48.880]  是對的
[00:03:48.880 --> 00:03:50.320]  第七章第二節
[00:03:50.320 --> 00:03:51.560]  很有機會
[00:03:51.560 --> 00:03:53.840]  哥倫多教會很快
[00:03:53.840 --> 00:03:54.400]  有人
[00:03:54.400 --> 00:03:56.200]  我相信不是全部
