
[00:00:00.000 --> 00:00:09.000]  大家午安,多謝楊牧師邀請今天安排《詩篇》一百二十一篇
[00:00:09.000 --> 00:00:14.000]  當楊牧師定了這個題目的時候,我都覺得很感恩
[00:00:14.000 --> 00:00:20.000]  因為這首詩篇跟我自己初信的時候家裡的故事都有些少牽連
[00:00:20.000 --> 00:00:23.000]  我自己港大畢業幾年之後就信耶穌
[00:00:23.000 --> 00:00:29.000]  後來很短時間,受咒不夠一年,又去了十日院
[00:00:29.000 --> 00:00:32.000]  那時候我媽媽就很反對我讀神學
[00:00:32.000 --> 00:00:37.000]  但是那時候我爸爸剛剛中風,我爸爸做製衣生意
[00:00:37.000 --> 00:00:39.000]  有機會就帶回教會
[00:00:39.000 --> 00:00:44.000]  那時候因為他中風之後,言語或者行路都普通
[00:00:44.000 --> 00:00:47.000]  我就教他唱一些短詩
[00:00:47.000 --> 00:00:51.000]  其中一首短詩就是舊的版本《詩篇》一百二十一篇
[00:00:51.000 --> 00:00:54.000]  我要向高山的仔吃下午飯
[00:00:54.000 --> 00:00:56.000]  我走音免得唱那麼多
[00:00:56.000 --> 00:01:03.000]  所以人生裡面有時好像詩篇一樣,我們有很多挑戰
[00:01:03.000 --> 00:01:07.000]  我自己通常講到,喜歡一些短句去終結
[00:01:07.000 --> 00:01:10.000]  或者將講題可以清楚一點
[00:01:10.000 --> 00:01:13.000]  開始先送大家一句說話
[00:01:13.000 --> 00:01:16.000]  只要有神,我們必定得勝
[00:01:16.000 --> 00:01:18.000]  不如跟隔壁說說好嗎?
[00:01:18.000 --> 00:01:22.000]  只要有神,我們必定得勝
[00:01:22.000 --> 00:01:27.000]  《詩篇》一百二十一篇沒有講到處境
[00:01:27.000 --> 00:01:31.000]  但是《詩篇》一百二十一篇講的很明顯,它叫《上行之詩》
[00:01:31.000 --> 00:01:35.000]  《上行之詩》有十五首,大概有三個講法
[00:01:35.000 --> 00:01:39.000]  一個講法就是說,有些人去耶律山節期的時候
[00:01:39.000 --> 00:01:44.000]  好像要望上山一樣,要一路上山
[00:01:44.000 --> 00:01:49.000]  舉例說,昨晚我坐扶手電梯從中環上來
[00:01:49.000 --> 00:01:53.000]  望了一陣子,原來星期天早上是坐不到的
[00:01:53.000 --> 00:01:57.000]  所以醒目了,今天早上我寧願去金鐘坐的士上來
[00:01:57.000 --> 00:02:01.000]  要不然上山舉步是有些困難的
[00:02:01.000 --> 00:02:07.000]  昨天早上黃泉道從山下走上來,滿身都是汗
[00:02:07.000 --> 00:02:12.000]  有些人朝見神的時候,望著山的一個講法
[00:02:12.000 --> 00:02:19.000]  第二個講法就是說,祭師從山下上聖殿的樓梯級
[00:02:19.000 --> 00:02:21.000]  可能一級級唱一首歌
[00:02:21.000 --> 00:02:24.000]  不過我想一級級唱一首詩歌也挺慢的
[00:02:24.000 --> 00:02:26.000]  是不是這個版本就不清楚了
[00:02:26.000 --> 00:02:31.000]  但是如果看《上行之詩》在他們七六的時候
[00:02:31.000 --> 00:02:34.000]  我想是多數秘魯詩期的七六
[00:02:34.000 --> 00:02:37.000]  《上行之詩》第一首是120詩
[00:02:37.000 --> 00:02:40.000]  120的首間著最高的一行一起讀
[00:02:40.000 --> 00:02:44.000]  我在急難中求告耶和華
[00:02:44.000 --> 00:02:48.000]  就是說爭戰的時候,艱難的時候
[00:02:48.000 --> 00:02:52.000]  可能《上行之詩》在七六的時候是秘魯的時代
[00:02:52.000 --> 00:02:56.000]  特別去到126的詩篇很清楚,一起讀
[00:02:56.000 --> 00:03:01.000]  耶和華,求祢使我們秘魯的人歸回
[00:03:01.000 --> 00:03:08.000]  好像南地的河水伏流,流淚殺腫的,必歡呼收國
[00:03:08.000 --> 00:03:10.000]  特別強調秘魯
