
[00:00:00.000 --> 00:00:01.680]  弟姐妹早上好
[00:00:01.680 --> 00:00:07.600]  讓我們為了我們講道和聽道的服事一同禱告
[00:00:07.600 --> 00:00:10.080]  賜人天國的主我們感謝你
[00:00:10.080 --> 00:00:12.520]  因為你讓天國來臨之先
[00:00:12.520 --> 00:00:14.800]  應許聖靈在我們的當中
[00:00:14.800 --> 00:00:16.280]  叫你看見異象
[00:00:16.280 --> 00:00:20.040]  看見從你而來的那個新的生命
[00:00:20.040 --> 00:00:22.360]  又同樣你讓我們去看見
[00:00:22.360 --> 00:00:24.560]  我們能夠藉著聖經
[00:00:24.560 --> 00:00:26.080]  藉著聖靈的引導
[00:00:26.080 --> 00:00:28.560]  我們能夠明白上帝你的話語
[00:00:28.560 --> 00:00:30.480]  看見上帝你的真實
[00:00:30.480 --> 00:00:35.920]  看見天國就是如同你所說的來臨當中
[00:00:35.920 --> 00:00:38.280]  求你今天也讓我們去看見
[00:00:38.280 --> 00:00:39.840]  從主你藉著聖靈
[00:00:39.840 --> 00:00:42.320]  我們去明白這些話語
[00:00:42.320 --> 00:00:45.400]  讓我們去學習如何成為聖潔
[00:00:45.400 --> 00:00:47.680]  去建立基督的群體
[00:00:47.680 --> 00:00:49.480]  求你保守和帶領我們
[00:00:49.480 --> 00:00:51.160]  奉著耶穌的聖名祈求
[00:00:51.160 --> 00:00:53.200]  阿們
[00:00:53.200 --> 00:00:54.000]  好
[00:00:54.000 --> 00:00:55.760]  今天想考考你們
[00:00:55.760 --> 00:01:02.880]  究竟記不記得今年是靈福堂第幾周年呢
[00:01:02.880 --> 00:01:03.760]  我聽到了
[00:01:03.760 --> 00:01:05.960]  三十六周年沒錯
[00:01:05.960 --> 00:01:07.880]  在這三十六年間
[00:01:07.880 --> 00:01:10.360]  可能大家都是在不同的時期
[00:01:10.360 --> 00:01:12.160]  加入靈福堂的
[00:01:12.160 --> 00:01:16.280]  有些人可能是你由靈福堂一開始的時候
[00:01:16.280 --> 00:01:17.760]  你有份一起建立
[00:01:17.760 --> 00:01:19.680]  去建立這個靈福堂
[00:01:19.680 --> 00:01:21.880]  有些人可能來了二十多年
[00:01:21.880 --> 00:01:23.560]  有些人來了十多年
[00:01:23.560 --> 00:01:27.680]  有些人好像我一樣只是來了這個地方兩年多
[00:01:27.680 --> 00:01:30.480]  又甚至會不會今天有新朋友在
[00:01:30.480 --> 00:01:34.120]  會不會今天是你第一次來到靈福堂的當中
[00:01:34.120 --> 00:01:36.760]  待會我們的主席會來歡迎你
[00:01:36.760 --> 00:01:38.720]  我們的同工會歡迎你
[00:01:38.720 --> 00:01:42.600]  但是可能我們來了靈福堂不同的時間
[00:01:42.600 --> 00:01:46.240]  很多來自不同的地方
[00:01:46.240 --> 00:01:50.280]  但是我猜你都會能夠認同或者理解就是
[00:01:50.280 --> 00:01:52.880]  其實建立一個教會的群體
[00:01:52.880 --> 00:01:54.720]  一個這麼多人的地方
[00:01:54.720 --> 00:01:57.240]  其實一點都不容易
[00:01:57.240 --> 00:02:00.480]  可能開始的時候要建立一個群體
[00:02:00.480 --> 00:02:03.600]  就要想究竟要怎樣建立這個群體呢
[00:02:03.600 --> 00:02:05.520]  然後要找地方
[00:02:05.520 --> 00:02:09.200]  接著又要可能去設立一些的規矩
[00:02:09.200 --> 00:02:13.440]  怎樣在這裡讓這個群體能夠運作
[00:02:13.440 --> 00:02:18.240]  接著當中可能也都要經歷很多牧者的來來去去
[00:02:18.240 --> 00:02:21.520]  有很多釋放人員的人士的變動
[00:02:21.520 --> 00:02:24.200]  都有很多新的重新的適應
[00:02:24.200 --> 00:02:27.560]  甚至在很多大大小小的決定的時候
[00:02:27.560 --> 00:02:29.840]  少不免都會有一些的紛爭
[00:02:29.840 --> 00:02:31.720]  有一些的爭執在裡面
[00:02:31.720 --> 00:02:34.600]  又需要有一段很長很長的時間
[00:02:34.600 --> 00:02:37.000]  去慢慢修復去復活
[00:02:37.000 --> 00:02:40.200]  就算可能你說我剛剛來到
