
[00:00:00.000 --> 00:00:02.000]  諸位領主們,主內平安!
[00:00:02.000 --> 00:00:07.080]  上星期,方牧師帶領我們透過詩篇三十四篇
[00:00:07.080 --> 00:00:10.640]  去思想敬畏上主,蒙神的保守
[00:00:10.640 --> 00:00:14.000]  當他講到求神打開我們熟練的眼睛
[00:00:14.000 --> 00:00:17.000]  以致我們能夠看見神的保守
[00:00:17.000 --> 00:00:20.000]  否則的話,我們很容易視若不見
[00:00:20.000 --> 00:00:22.000]  我心裏面深感認同
[00:00:22.000 --> 00:00:24.000]  今天是關顧主日
[00:00:24.000 --> 00:00:26.500]  當我們彼此互相提醒
[00:00:26.500 --> 00:00:28.500]  我們要彼此關顧
[00:00:28.500 --> 00:00:30.500]  互相關心的時候
[00:00:30.500 --> 00:00:33.500]  我們一起透過詩篇一百零三篇
[00:00:33.500 --> 00:00:35.500]  六次到十四節
[00:00:35.500 --> 00:00:39.500]  一起思想敬畏上主,得蒙年恤
[00:00:39.500 --> 00:00:43.500]  原來,積著敬畏上主
[00:00:43.500 --> 00:00:47.000]  我們不單止是擴闊我們熟練的視野
[00:00:47.000 --> 00:00:50.500]  更加調整我們的心態和行動
[00:00:50.500 --> 00:00:54.500]  讓我們能夠更多的體會和經歷
[00:00:54.500 --> 00:00:57.500]  上帝早已年恤
[00:00:57.500 --> 00:01:02.000]  並且引導我們離開我們的困境
[00:01:02.000 --> 00:01:06.500]  只是我們常常欣賞我們自己心中的想法
[00:01:06.500 --> 00:01:10.500]  以致我們視若無睹,不以為然
[00:01:10.500 --> 00:01:14.500]  詩篇一百零三篇是我們熟悉的詩篇
[00:01:14.500 --> 00:01:18.500]  這篇詩篇由一零三到一零五三篇
[00:01:18.500 --> 00:01:21.500]  其實全部都是用感謝眾贊為主題
[00:01:21.500 --> 00:01:23.500]  曾經有識經學家這樣說
[00:01:23.500 --> 00:01:27.500]  如果詩篇二十三篇是詩篇中的君王
[00:01:27.500 --> 00:01:30.500]  那一零三就一定是他的皇后
[00:01:30.500 --> 00:01:34.500]  如果一百零三篇有人這樣說
[00:01:34.500 --> 00:01:37.500]  可能他是贊美詩的總綱
[00:01:37.500 --> 00:01:43.500]  但亦有學者更加推崇他新舊約聖經的撮要
[00:01:43.500 --> 00:01:45.500]  既然說得這麼重要
[00:01:45.500 --> 00:01:47.500]  我們今天只講第六至第十四節
[00:01:47.500 --> 00:01:49.500]  是否很可惜呢?
[00:01:49.500 --> 00:01:51.500]  不過時間的關係不可能講完
[00:01:51.500 --> 00:01:54.500]  所以我簡略地跟大家講講它的結構
[00:01:54.500 --> 00:02:00.500]  它的結構是影響著我中間的詮釋和演繹
[00:02:00.500 --> 00:02:04.500]  這篇詩篇分為三個段落
[00:02:04.500 --> 00:02:08.500]  但頭和尾的經文已經很清楚地告訴我們
[00:02:08.500 --> 00:02:10.500]  這篇詩篇的重點
[00:02:10.500 --> 00:02:12.500]  我的心你要稱重耶華
[00:02:12.500 --> 00:02:15.500]  私人從個人、從以色列民
[00:02:15.500 --> 00:02:20.500]  從向、呼籲、萬有都應該稱重上帝
[00:02:20.500 --> 00:02:23.500]  我們先從第一個段落開始講
[00:02:23.500 --> 00:02:36.500]  頭三點是甚麼呢?
[00:02:36.500 --> 00:02:41.500]  前面五節其實有六個上帝的賜予
[00:02:41.500 --> 00:02:43.500]  前三個其實是我們所熟悉的
[00:02:43.500 --> 00:02:46.500]  就是神會八百賜予恩典給我們
[00:02:46.500 --> 00:02:49.500]  只要全感恩的心領受就可以了
[00:02:49.500 --> 00:02:50.500]  什麼都不用做
[00:02:50.500 --> 00:02:52.500]  赦免、醫治和救贖
[00:02:52.500 --> 00:02:55.500]  但後三點其實有一點背景
[00:02:55.500 --> 00:03:00.500]  是私人經歷了人生、動悉人生、有智慧
[00:03:00.500 --> 00:03:04.500]  以致他看見世人追逐名利情愛
[00:03:04.500 --> 00:03:06.500]  往往令人黯然神傷
[00:03:06.500 --> 00:03:08.500]  生命枯乾枯竭
[00:03:08.500 --> 00:03:11.500]  唯有神使人得真自由
[00:03:11.500 --> 00:03:15.500]  重新有選擇順服上帝的能力
[00:03:15.500 --> 00:03:17.500]  以致我們屬於生命成長
[00:03:17.500 --> 00:03:21.500]  又得到上帝公義上帝的加冕
[00:03:21.500 --> 00:03:25.500]  以致這份加冕幫助我們肯定
[00:03:25.500 --> 00:03:30.500]  我們生命是重新願意得著上帝的寶貴
[00:03:30.500 --> 00:03:33.500]  然後這份生命的寶貴改變我們
[00:03:33.500 --> 00:03:36.500]  以致我們價值觀重新以神為樂
[00:03:36.500 --> 00:03:39.500]  以致我們心中滿有得著滿足
[00:03:39.500 --> 00:03:44.500]  而這份滿足的確驅使我們生命作出改變
[00:03:44.500 --> 00:03:48.500]  這份改變讓我們滿有活力、滿發青春
[00:03:48.500 --> 00:03:52.500]  所以後面這三樣其實講就簡單了
[00:03:52.500 --> 00:03:56.500]  但事實上是有很多我們順服上帝、回應上帝
[00:03:56.500 --> 00:03:59.500]  以致活出青春活力的一個行動
[00:03:59.500 --> 00:04:05.500]  然後後面中間第六至十八節
[00:04:05.500 --> 00:04:09.500]  其實這一段落本身是有歷史背景的
[00:04:09.500 --> 00:04:15.500]  它引述的是以色列民出埃及去到曠野拜金牛毒的事件
[00:04:15.500 --> 00:04:18.500]  引致上帝震怒要滅他們族
[00:04:18.500 --> 00:04:20.500]  後來判緩刑
[00:04:20.500 --> 00:04:23.500]  而這個緩刑迫使他們回應上帝
[00:04:23.500 --> 00:04:27.500]  但是呈現的是人反復無常
[00:04:27.500 --> 00:04:29.500]  但是神仍然大師憐憫
[00:04:29.500 --> 00:04:31.500]  所以主要是公義的
[00:04:31.500 --> 00:04:35.500]  講的是神不以有罪為無罪
[00:04:35.500 --> 00:04:40.500]  指出百姓的叛逆才導致人墮落在罪惡困苦之中
[00:04:40.500 --> 00:04:44.500]  所以迴轉歸於上帝才是出路
[00:04:44.500 --> 00:04:46.500]  然後主要是慈愛的
[00:04:46.500 --> 00:04:52.500]  是在講神幫助我們迴歸上主的時候
[00:04:52.500 --> 00:04:55.500]  其實祂不是無視罪惡的存在
[00:04:55.500 --> 00:04:57.500]  祂是提供喚迎
[00:04:57.500 --> 00:05:00.500]  祂提供給我們迴轉的機會
[00:05:00.500 --> 00:05:03.500]  以致我們最終能夠離棄罪惡
[00:05:03.500 --> 00:05:05.500]  回到上帝的當中
[00:05:05.500 --> 00:05:06.500]  主要是延續的
[00:05:06.500 --> 00:05:09.500]  今天我們中間會更主力講這件事
[00:05:09.500 --> 00:05:11.500]  所以我就不在這裡解釋
[00:05:11.500 --> 00:05:12.500]  主要是信實的
