
[00:00:00.000 --> 00:00:02.840]  首先想先講的是敬拜的定義
[00:00:02.840 --> 00:00:07.160]  其實聖經並沒有清楚講了怎樣才算是敬拜
[00:00:07.160 --> 00:00:11.080]  我們的中派牧師陳弘安牧師曾經這樣說過
[00:00:11.080 --> 00:00:16.000]  他說「講義而言,敬拜與價值是同一個字根
[00:00:16.000 --> 00:00:21.000]  敬拜代表將神應得的價值(榮耀)歸還給他
[00:00:21.000 --> 00:00:24.280]  是信徒全人生命對神的尊崇
[00:00:24.280 --> 00:00:27.200]  將新心靈全然獻上
[00:00:27.200 --> 00:00:30.280]  無論在教會裡面 教會外面
[00:00:30.280 --> 00:00:33.080]  你所想的 所講的 所行的
[00:00:33.080 --> 00:00:36.040]  都是以神為尊 都是敬拜
[00:00:36.040 --> 00:00:39.200]  所以敬拜講義來說是講生命
[00:00:39.200 --> 00:00:42.440]  我們敬拜神 信主就是一個敬拜的生命
[00:00:42.440 --> 00:00:45.160]  是講不只是單單唱歌
[00:00:45.160 --> 00:00:48.760]  你行事為何如何 想些甚麼 做些甚麼
[00:00:48.760 --> 00:00:50.760]  是否按著主的吩咐去做
[00:00:50.760 --> 00:00:54.160]  這是敬拜的生命 是講義的敬拜
[00:00:54.160 --> 00:00:57.240]  而狹義來說 信徒聚會的敬拜
[00:00:57.240 --> 00:00:59.600]  詩歌敬拜 就是狹義敬拜
[00:00:59.600 --> 00:01:01.920]  我今天和大家分享的敬拜
[00:01:01.920 --> 00:01:04.600]  是規範在狹義的敬拜
[00:01:04.600 --> 00:01:08.520]  我不會講全人生命的成長很大的題目
[00:01:08.520 --> 00:01:11.080]  很多篇幅 不是在哪裏講得到
[00:01:11.080 --> 00:01:14.200]  我想和大家思想狹義的敬拜
[00:01:14.200 --> 00:01:16.080]  就是當我們聚會
[00:01:16.080 --> 00:01:17.680]  每星期回教會
[00:01:17.680 --> 00:01:21.040]  唱歌二十分鐘 三十分鐘 三個字
[00:01:21.040 --> 00:01:23.520]  是做甚麼呢 為甚麼唱歌呢
[00:01:23.520 --> 00:01:26.040]  唱歌的時候是發生甚麼事呢
[00:01:26.040 --> 00:01:27.360]  所以第一點很重要
[00:01:27.360 --> 00:01:29.080]  就是搞清楚一個定義
[00:01:29.080 --> 00:01:30.880]  就是今天我所講的敬拜
[00:01:30.880 --> 00:01:33.200]  是指信徒聚會的時候
[00:01:33.200 --> 00:01:36.240]  唱詩歌的敬拜
[00:01:36.240 --> 00:01:37.360]  三段聖經
[00:01:37.360 --> 00:01:39.040]  我們第一段聖經是
[00:01:39.040 --> 00:01:43.960]  《讓福音》四章廿四節 一起讀
[00:01:43.960 --> 00:01:45.480]  四章廿四節
[00:01:45.480 --> 00:01:47.720]  「神事過靈」 一起讀
[00:01:47.720 --> 00:01:52.320]  「所以拜他的 必須用心靈和誠實拜他」
[00:01:52.320 --> 00:01:54.920]  大多數的經文就是講耶穌的吩咐
[00:01:54.920 --> 00:01:57.920]  祂說「神是個靈 因此敬拜祂
[00:01:57.920 --> 00:02:00.560]  用心靈誠實敬拜祂」
[00:02:00.560 --> 00:02:03.600]  這文是「In spirit and in truth」
[00:02:03.600 --> 00:02:05.120]  所以其實更加好逆發
[00:02:05.120 --> 00:02:10.320]  是在講用人的心靈和按著真理敬拜我們主
[00:02:10.320 --> 00:02:13.560]  所以敬拜不是你喜歡唱甚麼歌就唱甚麼歌
[00:02:13.560 --> 00:02:15.200]  喜歡說甚麼就說甚麼
[00:02:15.200 --> 00:02:16.080]  不是這樣
[00:02:16.080 --> 00:02:19.160]  敬拜是按著真理敬拜祂
[00:02:19.160 --> 00:02:21.720]  因此上星期巴塞里人講的時候
[00:02:21.720 --> 00:02:23.840]  會莫的敬拜
[00:02:23.840 --> 00:02:25.440]  之前要建造會莫
[00:02:25.440 --> 00:02:27.960]  是很多的篇幅 聖經說了
[00:02:27.960 --> 00:02:32.120]  用甚麼材料 甚麼樣式 甚麼大小等等
[00:02:32.120 --> 00:02:33.600]  經文很多白很多頁
[00:02:33.600 --> 00:02:35.800]  字很悶 悶到大家看不到
[00:02:35.800 --> 00:02:37.800]  出不到埃及 就是那堆經文
[00:02:37.800 --> 00:02:39.160]  為甚麼這麼詳細呢
[00:02:39.160 --> 00:02:41.880]  因為神很緊張會莫的敬拜
[00:02:41.880 --> 00:02:43.680]  祂說要這樣安排
[00:02:43.680 --> 00:02:45.800]  才去到聖所當中
[00:02:45.800 --> 00:02:47.120]  我與你相遇
[00:02:47.120 --> 00:02:49.880]  敬拜當中的高峰就是神與人相遇
[00:02:49.880 --> 00:02:51.640]  今天我們不會有個會莫
[00:02:51.640 --> 00:02:56.080]  我們在說的材料 規矩就是在說經文
[00:02:56.080 --> 00:02:58.000]  聖經怎樣規範敬拜
[00:02:58.000 --> 00:02:59.160]  怎樣說敬拜
[00:02:59.160 --> 00:03:00.800]  就像當天會莫那樣
[00:03:00.800 --> 00:03:04.360]  神很仔細地說要這樣敬拜我就行了
[00:03:04.360 --> 00:03:05.960]  因此我們的敬拜
[00:03:05.960 --> 00:03:08.400]  是要按著真理去敬拜神
[00:03:08.400 --> 00:03:10.400]  第二段經文一起讀
[00:03:10.400 --> 00:03:12.840]  詩篇22篇第三節
[00:03:12.840 --> 00:03:20.080]  很短但很重要
[00:03:20.080 --> 00:03:22.440]  我們經常說的那段經文是甚麼呢
[00:03:22.440 --> 00:03:24.440]  是神應許
[00:03:24.440 --> 00:03:28.080]  當使民聚集讚美祂 敬拜祂
[00:03:28.080 --> 00:03:30.360]  祂的寶座在我們當中
[00:03:30.360 --> 00:03:34.760]  即是說當我們聚集敬拜神的時候
[00:03:34.760 --> 00:03:36.600]  神的寶座就臨在
[00:03:36.600 --> 00:03:38.000]  神的寶座臨在的時候
[00:03:38.000 --> 00:03:39.120]  神的王在這裡
[00:03:39.120 --> 00:03:40.240]  祂的王權在這裡
[00:03:40.240 --> 00:03:41.760]  祂的國度就臨在
[00:03:41.760 --> 00:03:44.200]  因此我經常跟弟兄姊妹說
[00:03:44.200 --> 00:03:48.280]  敬拜是為神做一個敬拜的帳篷
[00:03:48.280 --> 00:03:51.320]  敬拜的祭壇
[00:03:51.320 --> 00:03:53.600]  在當中讓神臨到
[00:03:53.600 --> 00:03:56.600]  這個敬拜的帳篷
[00:03:56.600 --> 00:03:57.760]  敬拜的帳幕
[00:03:57.760 --> 00:04:01.280]  就是讓神的旨意行在這個空間當中
[00:04:01.280 --> 00:04:02.640]  叫做行在天上
[00:04:02.640 --> 00:04:04.080]  所以敬拜神的時候
[00:04:04.080 --> 00:04:06.160]  我們試過牧師未說到
[00:04:06.160 --> 00:04:07.400]  就是唱完歌
[00:04:07.400 --> 00:04:08.440]  突然有信主
[00:04:08.440 --> 00:04:10.160]  因為在那個空間當中
[00:04:10.160 --> 00:04:11.160]  神臨在
[00:04:11.160 --> 00:04:12.080]  人被感
[00:04:12.080 --> 00:04:14.280]  因此是開口絕字
[00:04:14.280 --> 00:04:15.560]  是相信基督
[00:04:15.560 --> 00:04:18.720]  敬拜是在說神的寶座臨在
[00:04:18.720 --> 00:04:19.960]  第三段經文
[00:04:19.960 --> 00:04:21.080]  你還沒記住第十章
[00:04:21.080 --> 00:04:22.080]  一起讀吧
[00:04:22.080 --> 00:04:25.800]  要顯為聖
[00:04:25.800 --> 00:04:27.240]  在眾民面前
[00:04:27.240 --> 00:04:28.760]  我要得榮耀
[00:04:28.760 --> 00:04:30.760]  即是在說敬拜的目的
[00:04:30.760 --> 00:04:33.200]  敬拜不是讓教得榮耀
[00:04:33.200 --> 00:04:35.800]  不是讓大敬拜的弟兄姊妹得榮耀
[00:04:35.800 --> 00:04:38.520]  是在說讓神得榮耀
[00:04:38.520 --> 00:04:40.400]  神說在眾民面前
[00:04:40.400 --> 00:04:41.760]  是我得榮耀
[00:04:41.760 --> 00:04:44.600]  是神自己要被顯為聖
[00:04:44.600 --> 00:04:47.680]  第三段經文是敬拜的一個框架
[00:04:47.680 --> 00:04:49.280]  見到是神的吩咐
[00:04:49.280 --> 00:04:50.440]  用心靈誠實
[00:04:50.440 --> 00:04:52.160]  按聖經去敬拜祂
[00:04:52.160 --> 00:04:53.200]  神應許了
[00:04:53.200 --> 00:04:55.120]  敬拜當中的寶座臨在
[00:04:55.120 --> 00:04:57.760]  然後目的是讓神得榮耀
[00:04:57.760 --> 00:05:03.640]  我們教會在這二、三十年當中
[00:05:03.640 --> 00:05:07.600]  都在香港甚至世界不同地方當中
[00:05:07.600 --> 00:05:09.600]  面對的同樣問題
[00:05:09.600 --> 00:05:13.640]  就是教會在崇拜當中唱歌
[00:05:13.640 --> 00:05:15.520]  唱甚麼詩歌
[00:05:15.520 --> 00:05:17.480]  我們以往都不是這樣
[00:05:17.480 --> 00:05:18.640]  在我舞台上
[00:05:18.640 --> 00:05:20.840]  以往唱歌是唱這些
[00:05:20.840 --> 00:05:22.320]  是生命盛事
[00:05:22.320 --> 00:05:23.920]  當時我經常做主席
[00:05:23.920 --> 00:05:25.440]  開始崇拜的時候
[00:05:25.440 --> 00:05:28.160]  上台就打開一本詩歌
[00:05:28.160 --> 00:05:30.880]  第幾版就一二三開始唱
[00:05:30.880 --> 00:05:32.520]  第一段第二段這樣唱
[00:05:32.520 --> 00:05:34.440]  唱四段就收工
[00:05:34.440 --> 00:05:37.280]  就給牧師說話等等
[00:05:37.280 --> 00:05:38.920]  這樣的傳統的詩歌
[00:05:38.920 --> 00:05:40.800]  第二個的爭論就是
[00:05:40.800 --> 00:05:42.920]  是否唱新歌等等
[00:05:42.920 --> 00:05:45.120]  當時有兩派的頂字妹
[00:05:45.120 --> 00:05:48.040]  一派比較唱傳統的頂字妹
[00:05:48.040 --> 00:05:50.800]  覺得新歌不好聽
[00:05:50.800 --> 00:05:52.120]  是沒有神學的
[00:05:52.120 --> 00:05:54.880]  經常都不講復活又不講天堂
[00:05:54.880 --> 00:05:56.440]  神學不得全面
[00:05:56.440 --> 00:05:58.240]  然後他說新的詩歌
[00:05:58.240 --> 00:05:59.440]  叫「Seven Eleven」
[00:05:59.440 --> 00:06:01.040]  有沒有聽過
[00:06:01.040 --> 00:06:02.680]  七十一的詩歌是甚麼呢
[00:06:02.680 --> 00:06:04.280]  只有七句歌詞
[00:06:04.280 --> 00:06:06.400]  每一句是重複十一次
[00:06:06.400 --> 00:06:07.360]  就是一首詩歌
[00:06:07.360 --> 00:06:09.680]  就是「Seven Eleven」的敬拜
[00:06:09.680 --> 00:06:10.880]  他說回教會
[00:06:10.880 --> 00:06:13.000]  潘先生我不是聽你唱歌
[00:06:13.000 --> 00:06:14.440]  你又唱得不太好聽
[00:06:14.440 --> 00:06:15.440]  算了吧
[00:06:15.440 --> 00:06:16.600]  我想聽到
[00:06:16.600 --> 00:06:17.440]  聽成就說
[00:06:17.440 --> 00:06:19.040]  不要唱那麼多歌
[00:06:19.040 --> 00:06:20.320]  四個字太長了
[00:06:20.320 --> 00:06:21.840]  兩個字夠了吧
[00:06:21.840 --> 00:06:23.480]  不要那麼多
[00:06:23.480 --> 00:06:25.360]  這是傳統的看法
[00:06:25.360 --> 00:06:27.160]  第二方面
[00:06:27.160 --> 00:06:30.600]  有些頂字妹喜歡唱新潮的詩歌
[00:06:30.600 --> 00:06:32.440]  他說舊詩歌不行
[00:06:32.440 --> 00:06:33.880]  歌詞不知說甚麼
