
[00:00:00.000 --> 00:00:02.000]  頂尖會 早安
[00:00:02.000 --> 00:00:07.000]  不知道大家有沒有玩過狼人殺呢?
[00:00:07.000 --> 00:00:11.000]  或者不同的劇本殺
[00:00:11.000 --> 00:00:16.000]  狼人殺是一個很二元對立的角色扮演遊戲
[00:00:16.000 --> 00:00:21.000]  狼人要負責殺死所有的神明和所有的人類
[00:00:21.000 --> 00:00:26.000]  而神明和人類就負責對付狼人
[00:00:26.000 --> 00:00:32.000]  很通常99.9%都只有一方勝出
[00:00:32.000 --> 00:00:36.000]  我們玩了這麼多次 只試過一次打和
[00:00:36.000 --> 00:00:44.000]  這個是我們UV在疫情期間創作的聖經版狼人殺
[00:00:44.000 --> 00:00:49.000]  有撒旦 有魔鬼仔 有人類 有亞當夏娃
[00:00:49.000 --> 00:00:54.000]  當然有仙姿異塞 亦都有參孫
[00:00:54.000 --> 00:00:57.000]  當然還有耶穌
[00:00:57.000 --> 00:01:02.000]  如果你有玩過不是聖經版本的狼人殺
[00:01:02.000 --> 00:01:06.000]  當然是狼人和神明和人類的對決
[00:01:06.000 --> 00:01:12.000]  很燒腦 猜誰是狼人 猜誰是神明
[00:01:12.000 --> 00:01:16.000]  人類的廢村通常沒什麼參與
[00:01:16.000 --> 00:01:18.000]  只是被人殺
[00:01:18.000 --> 00:01:22.000]  而聖經版本的狼人殺很有趣
[00:01:22.000 --> 00:01:27.000]  大家有沒有留意到有一個比較凶狠的朋友
[00:01:27.000 --> 00:01:31.000]  在我的左下角 他是參孫
[00:01:31.000 --> 00:01:36.000]  連這個很頑皮的參孫 都是一個光明使者
[00:01:36.000 --> 00:01:40.000]  但如果看聖經的話 其實他都做了很多壞事
[00:01:40.000 --> 00:01:46.000]  我還會問 為什麼參孫都是光明使者呢
[00:01:46.000 --> 00:01:49.000]  不要問我 不是我做的 你可以問作者
[00:01:49.000 --> 00:01:56.000]  而人類唯一的敵人 在這個版本裡 是魔鬼
[00:01:56.000 --> 00:01:59.000]  人類唯一的敵人 是魔鬼
[00:01:59.000 --> 00:02:02.000]  這是一個很有趣的轉變
[00:02:02.000 --> 00:02:04.000]  大家不覺得奇怪嗎
[00:02:04.000 --> 00:02:10.000]  就算是壞人 他做了好事 或做了壞事
[00:02:10.000 --> 00:02:15.000]  他在聖經的詮釋裡 都絕對不會是人類的敵人
[00:02:15.000 --> 00:02:18.000]  所以今天我們要探討一個主題
[00:02:18.000 --> 00:02:22.000]  究竟誰是你的敵人呢
[00:02:22.000 --> 00:02:24.000]  究竟誰是你的敵人呢
[00:02:24.000 --> 00:02:29.000]  在你的生命裡 有沒有一些人是你非常憎恨的
[00:02:29.000 --> 00:02:31.000]  甚至你心裡有一種想法
[00:02:31.000 --> 00:02:34.000]  我真的永遠都不想再見到這個人
[00:02:34.000 --> 00:02:38.000]  我不希望我人生再遇上一個這樣的人
[00:02:38.000 --> 00:02:42.000]  聖經在這個課題上回答了我們
[00:02:42.000 --> 00:02:45.000]  他給了答案我們 我們一起來看看
[00:02:45.000 --> 00:02:48.000]  聽完這篇講道 我們會知道三樣東西
[00:02:48.000 --> 00:02:55.000]  第一 我們會知道 盧家福音 兩神蹟 趕鬼入豬群
[00:02:55.000 --> 00:02:59.000]  和平靜風和浪 這兩個故事 究竟代表什麼
[00:02:59.000 --> 00:03:04.000]  第二 我們會用什麼心態對付我們的敵人呢
[00:03:04.000 --> 00:03:09.000]  第三 我們的敵人 包括我們自己嗎
[00:03:09.000 --> 00:03:13.000]  如果大家準備好了 我們就讀一下聖經
[00:03:13.000 --> 00:03:17.000]  首先 我們回顧盧家福音八章裡面這兩個故事
[00:03:17.000 --> 00:03:20.000]  因為它們是一個連續的故事
[00:03:20.000 --> 00:03:22.000]  還要互相呼應
[00:03:22.000 --> 00:03:26.000]  耶穌和門徒來到格拉森的地區
[00:03:26.000 --> 00:03:29.000]  遇到一個被鬼附身的人
[00:03:29.000 --> 00:03:32.000]  這個人住在洞穴裡 很狂暴
[00:03:32.000 --> 00:03:34.000]  沒有人可以制止他
[00:03:34.000 --> 00:03:37.000]  這個鬼附身的人兄
[00:03:37.000 --> 00:03:41.000]  一眼就認得出 耶穌是至高神的兒子
[00:03:41.000 --> 00:03:48.000]  他就說 我與你何干 你不要搞我 我不想受苦
[00:03:48.000 --> 00:03:51.000]  接著這個人兄就被鬼趕去曠野
[00:03:51.000 --> 00:03:56.000]  留意 曠野是一個很值得留意的字眼
