
[00:00:00.000 --> 00:00:02.000]  在開始之前
[00:00:02.000 --> 00:00:04.400]  想和大家看一段短片
[00:00:04.400 --> 00:00:05.680]  不知道你們有沒有看過
[00:00:05.680 --> 00:00:07.320]  不過如果有看過不要緊
[00:00:07.320 --> 00:00:08.440]  耐心看多一次
[00:00:08.440 --> 00:00:11.120]  看你們看的時候有什麼感覺
[00:00:11.120 --> 00:00:13.120]  這個不知道是什麼天才
[00:00:13.120 --> 00:00:13.880]  你們看看
[00:00:13.880 --> 00:00:16.960]  這個就是一分鐘內要畫一幅畫
[00:00:16.960 --> 00:00:20.360]  有沒有人看過這段片
[00:00:20.360 --> 00:00:22.360]  有 有些人看過
[00:00:22.360 --> 00:00:23.760]  但我第一次的時候
[00:00:23.760 --> 00:00:25.360]  我覺得很驚訝
[00:00:25.360 --> 00:00:28.600]  因為一分鐘快要完結的時候
[00:00:28.600 --> 00:00:30.080]  仍然不知道他在畫什麼
[00:00:30.080 --> 00:00:31.480]  心裡面很著急
[00:00:31.480 --> 00:00:32.800]  究竟他在畫什麼呢
[00:00:32.800 --> 00:00:34.840]  原來最後他調轉的時候
[00:00:34.840 --> 00:00:37.160]  我就覺得很驚訝
[00:00:37.160 --> 00:00:40.280]  很驚訝原來他可以調轉地畫
[00:00:40.280 --> 00:00:42.280]  有誰像我一樣
[00:00:42.280 --> 00:00:45.000]  從來沒有想過他是調轉來畫的
[00:00:45.000 --> 00:00:46.280]  有誰呢?
[00:00:46.280 --> 00:00:48.280]  都很多人
[00:00:48.280 --> 00:00:50.760]  你倆都有舉手
[00:00:50.760 --> 00:00:53.560]  我看完這段片之後
[00:00:53.560 --> 00:00:58.840]  我就覺得原來我自己看東西也有很多的限制
[00:00:58.840 --> 00:01:02.720]  畫畫當然要動在那裏畫
[00:01:02.720 --> 00:01:03.920]  或者躺平在那裏畫
[00:01:03.920 --> 00:01:05.800]  你才會畫得準確、畫得漂亮
[00:01:05.800 --> 00:01:06.880]  你怎麼想都沒有想過
[00:01:06.880 --> 00:01:09.240]  原來畫可以調轉來畫
[00:01:09.240 --> 00:01:12.040]  其實我們每個人都會有些框框
[00:01:12.040 --> 00:01:13.480]  會有些限制
[00:01:13.480 --> 00:01:17.360]  又或者是我們有不同的背景
[00:01:17.360 --> 00:01:21.480]  譬如這些背景可能是我們家給我們的
[00:01:21.480 --> 00:01:24.280]  可能是社會給我們的
[00:01:24.280 --> 00:01:25.800]  譬如家裡可能會給我們什麼呢
[00:01:25.800 --> 00:01:27.600]  我記得靈生小時候
[00:01:27.600 --> 00:01:29.040]  他是不怕蜘蛛的
[00:01:29.040 --> 00:01:31.280]  看到蜘蛛、生物那些
[00:01:31.280 --> 00:01:33.400]  覺得很特別
[00:01:33.400 --> 00:01:35.400]  但是他有一個階段是害怕的
[00:01:35.400 --> 00:01:36.160]  為什麼呢?
[00:01:36.160 --> 00:01:37.600]  因為他看到我害怕
[00:01:37.600 --> 00:01:38.880]  所以他就害怕了
[00:01:38.880 --> 00:01:39.760]  你明白嗎?
[00:01:39.760 --> 00:01:43.840]  有些東西是我們家裡面給我們的
[00:01:43.840 --> 00:01:45.760]  或者有些是我們的文化
[00:01:45.760 --> 00:01:47.240]  我們的社會給我們的
[00:01:47.240 --> 00:01:48.040]  你今天還害不害怕呢?
[00:01:48.040 --> 00:01:49.640]  靈生你現在還害不害怕蜘蛛?
[00:01:49.640 --> 00:01:50.720]  現在不害怕了?
[00:01:50.720 --> 00:01:52.400]  因為我覺得我自己也學了功課
[00:01:52.400 --> 00:01:53.880]  我記得有一次大哥說
[00:01:53.880 --> 00:01:55.720]  為什麼他這麼害怕蜘蛛呢?
[00:01:55.720 --> 00:01:57.120]  因為他看到你害怕
[00:01:57.120 --> 00:01:58.960]  所以他就這麼害怕了
[00:01:58.960 --> 00:02:00.440]  所以很明顯
[00:02:00.440 --> 00:02:02.320]  我照顧第二個的時候
[00:02:02.320 --> 00:02:05.000]  我就會看到生物、蟲那些
[00:02:05.000 --> 00:02:07.440]  就會在裝模作樣
