
[00:00:00.000 --> 00:00:02.500]  相信弟兄姊妹都知道
[00:00:02.500 --> 00:00:06.220]  教會在未來的三年
[00:00:06.220 --> 00:00:10.740]  都希望能夠有一些事工的發展
[00:00:10.740 --> 00:00:16.900]  有一個名字叫做「2020計劃」
[00:00:16.900 --> 00:00:19.540]  這是一個簡單的稱呼
[00:00:19.540 --> 00:00:21.940]  但是全名叫做什麼呢?
[00:00:21.940 --> 00:00:24.060]  全名叫做
[00:00:24.060 --> 00:00:30.300]  邁向2020深化及拓展計劃
[00:00:30.300 --> 00:00:31.500]  為了方便大家記
[00:00:31.500 --> 00:00:36.060]  所以簡單叫做「2020計劃」
[00:00:36.060 --> 00:00:38.860]  這個計劃的意思是什麼呢?
[00:00:38.860 --> 00:00:42.460]  意思就是希望在今年2018年
[00:00:42.460 --> 00:00:44.300]  明年2019年
[00:00:44.300 --> 00:00:50.020]  以致到邁向2020年的第三年
[00:00:50.020 --> 00:00:53.620]  我們都能夠大家一起去努力
[00:00:53.620 --> 00:00:58.460]  為教會我們定出的方向、目標
[00:00:58.460 --> 00:01:01.420]  我們希望可以做得好一點
[00:01:01.420 --> 00:01:04.220]  甚至可以達標
[00:01:04.220 --> 00:01:09.860]  而今年我們特別強調的是「激勵年」
[00:01:09.860 --> 00:01:13.220]  希望在一個這麼大的方向下
[00:01:13.220 --> 00:01:15.860]  我們彼此的激勵
[00:01:15.860 --> 00:01:18.660]  大家願意立定心志
[00:01:18.660 --> 00:01:21.940]  為神來作供
[00:01:21.940 --> 00:01:25.300]  究竟在這三年的裏面
[00:01:25.300 --> 00:01:28.020]  我們會做些什麼呢?
[00:01:28.020 --> 00:01:33.820]  當然在這裏不可能將所有要做的事都說出來
[00:01:33.820 --> 00:01:35.700]  也沒有這麼多時間
[00:01:35.700 --> 00:01:38.740]  但是起碼我們都可以說一下
[00:01:38.740 --> 00:01:44.060]  我們都會朝著兩個重點範圍去努力
[00:01:44.060 --> 00:01:50.300]  第一個就是大使命的範疇
[00:01:50.300 --> 00:01:52.180]  我們會做些什麼呢?
