
[00:00:00.000 --> 00:00:02.000]  很感謝神的恩典
[00:00:02.000 --> 00:00:05.500]  讓我在此作祂的僕人、侍女
[00:00:05.500 --> 00:00:10.000]  今天來與大家分享聖經的訊息
[00:00:10.000 --> 00:00:13.000]  我願因為平安、重復神
[00:00:13.000 --> 00:00:17.000]  並我們的主耶穌基督歸於大家
[00:00:17.000 --> 00:00:21.000]  讓我們同心祈禱
[00:00:21.000 --> 00:00:24.000]  親愛的天父我們去感謝你
[00:00:24.000 --> 00:00:26.000]  你來引導我們的腳步
[00:00:26.000 --> 00:00:28.000]  引導我們的心思
[00:00:28.000 --> 00:00:30.000]  讓我們在神的家裡
[00:00:30.000 --> 00:00:32.000]  一同敬拜
[00:00:32.000 --> 00:00:36.000]  一同聽主你自己的話語
[00:00:36.000 --> 00:00:38.000]  主求你開啟我們的心思
[00:00:38.000 --> 00:00:41.000]  讓我們今天在崇拜、分享訊息當中
[00:00:41.000 --> 00:00:44.000]  讓講的、聽的同得幫助
[00:00:44.000 --> 00:00:45.000]  感謝主
[00:00:45.000 --> 00:00:46.000]  我們同心祈禱
[00:00:46.000 --> 00:00:48.000]  奉靠主耶穌名求
[00:00:48.000 --> 00:00:49.000]  阿們
[00:00:49.000 --> 00:00:57.000]  相信每個人都有等候的經驗
[00:00:57.000 --> 00:00:59.000]  在我們的生命裡
[00:00:59.000 --> 00:01:04.000]  我們會期待哪些比較重大的事情呢?
[00:01:04.000 --> 00:01:07.000]  我們去想一想
[00:01:07.000 --> 00:01:12.000]  會不會是對於我們的畢業禮
[00:01:12.000 --> 00:01:15.000]  自己來結婚、嫁娶
[00:01:15.000 --> 00:01:18.000]  或者生孩子
[00:01:18.000 --> 00:01:22.000]  或者是我們自己的兒女結婚
[00:01:22.000 --> 00:01:28.000]  或者在教會生活裡一些重大的事情
[00:01:28.000 --> 00:01:32.000]  例如是我們去接受一個手針
[00:01:32.000 --> 00:01:34.000]  在一個浸禮裡
[00:01:34.000 --> 00:01:40.000]  又或者是一個我們期待的堂慶裡
[00:01:40.000 --> 00:01:43.000]  我們在等候的期間
[00:01:43.000 --> 00:01:45.000]  我們一般會怎樣呢?
[00:01:45.000 --> 00:01:49.000]  我們一般會盡力去預備
[00:01:49.000 --> 00:01:56.000]  去迎接將要來臨的那一天、那一刻
[00:01:56.000 --> 00:02:00.000]  上個主日就是教會80週年的堂慶
[00:02:00.000 --> 00:02:05.000]  正正是我們所期盼的大日子
[00:02:05.000 --> 00:02:12.000]  我自己能夠在其中來參與這件感恩的盛事
[00:02:12.000 --> 00:02:15.000]  心裡覺得很榮幸
[00:02:15.000 --> 00:02:20.000]  讓我去認識到在這些屬靈前輩們
[00:02:20.000 --> 00:02:24.000]  對教會的牧養和貢獻
[00:02:24.000 --> 00:02:30.000]  早前我們就是為了迎接這個歡喜快樂的日子的時候
[00:02:30.000 --> 00:02:34.000]  在當中有很多的童工和肢體
[00:02:34.000 --> 00:02:38.000]  在相關的一些籌備工夫上
[00:02:38.000 --> 00:02:44.000]  付出了很多的心思和安排
[00:02:44.000 --> 00:02:48.000]  不過其實我們每一個對於堂慶
[00:02:48.000 --> 00:02:51.000]  都來到是有預備的
[00:02:51.000 --> 00:02:54.000]  例如在我們預備去面見
[00:02:54.000 --> 00:03:00.000]  這位牧養了我們38年的廖志勤牧師
[00:03:00.000 --> 00:03:05.000]  我們會想可能我們和他面見的時候
[00:03:05.000 --> 00:03:08.000]  我們和他握手的情景
[00:03:08.000 --> 00:03:10.000]  我們和他對話
[00:03:10.000 --> 00:03:16.000]  和邀請廖牧師和我們一起去拍照的時候
[00:03:16.000 --> 00:03:20.000]  那些歡樂的情景
[00:03:20.000 --> 00:03:27.000]  等候就是讓我們有時間去預演和預備
[00:03:27.000 --> 00:03:31.000]  這一個美好日子的來臨
[00:03:31.000 --> 00:03:37.000]  感恩崇拜和感恩的聚餐已經完結了
[00:03:37.000 --> 00:03:46.000]  但是在將來我們要去迎接一個更大的日子
[00:03:46.000 --> 00:03:49.000]  當主耶穌復活升天之後
[00:03:49.000 --> 00:03:54.000]  有關我們所謂的基督的事件還沒有完結
[00:03:54.000 --> 00:03:57.000]  在《使徒行傳》一章十一節
[00:03:57.000 --> 00:04:01.000]  我們都知道天使就向門徒來說
[00:04:01.000 --> 00:04:07.000]  你們見他(主)怎樣往天上去
[00:04:07.000 --> 00:04:10.000]  他還要怎樣來
[00:04:10.000 --> 00:04:13.000]  另外在《啟示錄》一章七節
[00:04:13.000 --> 00:04:17.000]  他說漢男他駕雲降臨
[00:04:17.000 --> 00:04:21.000]  眾牧要看見他
[00:04:21.000 --> 00:04:26.000]  基督的再來將會是突然的
[00:04:26.000 --> 00:04:28.000]  是可見的
[00:04:28.000 --> 00:04:36.000]  到時候我們要和主一起去吃最終的羔羊婚宴
[00:04:36.000 --> 00:04:43.000]  而基督徒更加可以得著這個完全的救贖
[00:04:43.000 --> 00:04:49.000]  世界的終局是歡樂和充滿盼望的
[00:04:49.000 --> 00:04:53.000]  我們相信地上所有事情的發生
[00:04:53.000 --> 00:04:58.000]  都是來邁向主的計劃當中
[00:04:58.000 --> 00:05:04.000]  漸進地去完成他隱密的旨意
[00:05:04.000 --> 00:05:07.000]  只是我們在現世裡
[00:05:07.000 --> 00:05:12.000]  我們並不能夠完全地明白
[00:05:12.000 --> 00:05:15.000]  實在我們要好像聰明的童女一樣
[00:05:15.000 --> 00:05:18.000]  來警醒等候主
