
[00:00:00.000 --> 00:00:01.660]  在等候信息的時候
[00:00:01.660 --> 00:00:03.380]  究竟要說些什麼呢?
[00:00:03.380 --> 00:00:07.040]  神就給了我剛才那一段聖經
[00:00:07.040 --> 00:00:08.680]  就是約翰福音第八章
[00:00:08.680 --> 00:00:10.680]  第一節到第十一節那裡
[00:00:10.680 --> 00:00:12.720]  大家很熟悉的一個故事就是
[00:00:12.720 --> 00:00:16.880]  耶穌當時在聖殿那裡
[00:00:16.880 --> 00:00:18.080]  那麼
[00:00:18.080 --> 00:00:20.220]  很多人都跟著祂
[00:00:20.220 --> 00:00:22.280]  因為耶穌每去到一處的時候
[00:00:22.280 --> 00:00:24.080]  正如路加記載的
[00:00:24.080 --> 00:00:25.040]  祂的
[00:00:25.040 --> 00:00:27.640]  說話和行事
[00:00:27.640 --> 00:00:29.160]  都大有能力
[00:00:29.160 --> 00:00:30.920]  所以祂除了教訓人之外
[00:00:30.920 --> 00:00:33.360]  也行了很多的神蹟奇事
[00:00:33.360 --> 00:00:34.320]  所以呢
[00:00:34.320 --> 00:00:36.000]  很多人是跟著祂的
[00:00:36.000 --> 00:00:37.080]  第二節那裡說
[00:00:37.080 --> 00:00:39.200]  眾百姓都到灘那裡去
[00:00:39.200 --> 00:00:42.280]  這一節祂就坐下來去教訓他們
[00:00:42.280 --> 00:00:43.400]  但是與此同時
[00:00:43.400 --> 00:00:44.240]  第三節就說
[00:00:44.240 --> 00:00:46.560]  有些文士和法利賽人
[00:00:46.560 --> 00:00:49.200]  文士和法利賽人是什麼人呢?
[00:00:49.200 --> 00:00:51.480]  法利賽人除了聖經那裡
[00:00:51.480 --> 00:00:52.880]  經常說新約那裡說
[00:00:52.880 --> 00:00:54.280]  他們是假冒為善
[00:00:54.280 --> 00:00:56.080]  就是虛偽的人之外
[00:00:56.080 --> 00:00:58.120]  其實有些人也不是那麼虛偽的
[00:00:58.120 --> 00:01:02.160]  他們是對宗教有那份熱誠
[00:01:02.160 --> 00:01:03.520]  但是在熱誠當中
[00:01:03.520 --> 00:01:06.200]  他們卻不能夠掌握到
[00:01:06.200 --> 00:01:07.000]  怎麼說呢?
[00:01:07.000 --> 00:01:09.800]  信仰的真諦
[00:01:09.800 --> 00:01:10.360]  就是說
[00:01:10.360 --> 00:01:14.040]  其實我們是有諸內而仍於外
[00:01:14.040 --> 00:01:16.200]  我們是讓神的聖靈
[00:01:16.200 --> 00:01:20.160]  用神的話語去改變我們的生命
[00:01:20.160 --> 00:01:21.920]  來彰顯
[00:01:21.920 --> 00:01:23.120]  他們只是
[00:01:23.120 --> 00:01:24.680]  怎麼說呢?
[00:01:24.720 --> 00:01:28.240]  是照著說話所說的
[00:01:28.240 --> 00:01:31.160]  做到十足就算了
[00:01:31.160 --> 00:01:32.120]  所以
[00:01:32.120 --> 00:01:34.520]  新約聖經裡面說法利賽人
[00:01:34.520 --> 00:01:36.000]  就是一些虛偽的人
[00:01:36.000 --> 00:01:36.880]  假冒的人
[00:01:36.880 --> 00:01:37.760]  是這個原因
[00:01:37.760 --> 00:01:39.760]  另外那些文士是什麼人呢?
[00:01:39.760 --> 00:01:44.080]  聖經新譯本那裡將他們譯作是經學家
[00:01:44.080 --> 00:01:45.720]  這些文士在那時候
[00:01:45.720 --> 00:01:47.880]  就是負責抄寫聖經
[00:01:47.880 --> 00:01:49.240]  解釋聖經的一些人
[00:01:49.240 --> 00:01:51.560]  所以他們對聖經是很熟悉的
[00:01:51.560 --> 00:01:52.320]  換言之
[00:01:52.320 --> 00:01:55.080]  其實這些都是教會裡面一些
[00:01:55.080 --> 00:01:57.600]  或者宗教團體裡面
[00:01:57.600 --> 00:01:59.120]  當時的猶太教裡面
[00:01:59.120 --> 00:02:01.960]  是一些高層領導的人
[00:02:01.960 --> 00:02:03.320]  第三節他說
[00:02:03.320 --> 00:02:06.520]  他帶了一個行淫時被拿的婦人來
[00:02:06.520 --> 00:02:08.560]  叫她站在當中的意思
[00:02:08.560 --> 00:02:09.880]  就是攻心她
[00:02:09.880 --> 00:02:11.240]  第四節那裡
[00:02:11.240 --> 00:02:12.280]  就對耶穌說
[00:02:12.280 --> 00:02:17.240]  夫子這婦人正行淫之時被拿
[00:02:17.240 --> 00:02:18.560]  大家是否知道
[00:02:18.560 --> 00:02:20.840]  當你剛才讀這段聖經
[00:02:20.840 --> 00:02:22.240]  你過去讀這段聖經的時候
[00:02:22.240 --> 00:02:24.160]  你有什麼體會
[00:02:24.160 --> 00:02:25.640]  讀到這段的時候
[00:02:25.640 --> 00:02:28.720]  這個婦人被人捉姦在床
[00:02:28.720 --> 00:02:30.240]  被抓到來
[00:02:30.240 --> 00:02:32.760]  要攻心她
[00:02:32.760 --> 00:02:37.160]  但是第五節那裡
[00:02:37.160 --> 00:02:38.760]  接著
[00:02:38.760 --> 00:02:39.360]  他說
[00:02:39.360 --> 00:02:40.840]  這幫人就對耶穌說
[00:02:40.840 --> 00:02:42.720]  摩西在律法上吩咐我們
[00:02:42.720 --> 00:02:44.880]  要將這個婦人用石頭打死
[00:02:44.880 --> 00:02:47.600]  你說該把她怎麼樣呢?
[00:02:47.600 --> 00:02:48.800]  第六節當然了
[00:02:48.800 --> 00:02:50.840]  他們說這些話是試探耶穌
[00:02:50.840 --> 00:02:52.840]  要得著告祂的把柄
[00:02:52.840 --> 00:02:55.280]  耶穌就不理會他們
[00:02:55.280 --> 00:02:58.160]  低頭在地上搞七搞八
[00:02:58.160 --> 00:03:01.640]  為什麼他們要試探耶穌呢?
[00:03:01.640 --> 00:03:03.520]  在這裡先有一點背景
[00:03:03.520 --> 00:03:06.160]  其實當時的耶路撒冷
[00:03:06.160 --> 00:03:09.080]  是被羅馬人統治的
[00:03:09.080 --> 00:03:10.160]  換言之
[00:03:10.160 --> 00:03:11.760]  是羅馬的
[00:03:11.760 --> 00:03:14.520]  或者用今天的說法說
[00:03:14.520 --> 00:03:15.360]  殖民地
[00:03:15.360 --> 00:03:17.240]  用我們香港現實來說
[00:03:17.240 --> 00:03:18.960]  其實它也是一國兩制的
[00:03:18.960 --> 00:03:20.240]  為什麼我這麼說
[00:03:20.240 --> 00:03:21.240]  因為
[00:03:21.240 --> 00:03:23.040]  對於猶太人來說
[00:03:23.040 --> 00:03:25.240]  如果他們宗教的事務
[00:03:25.240 --> 00:03:30.320]  他們是有自己的法律的
[00:03:30.320 --> 00:03:32.680]  或者說法定的權力在那裡的
[00:03:32.680 --> 00:03:35.240]  他們可以處罰一些人
[00:03:35.240 --> 00:03:36.280]  種種的
[00:03:36.280 --> 00:03:37.000]  但是
[00:03:37.000 --> 00:03:38.920]  對於一些政治上的
[00:03:38.920 --> 00:03:41.560]  有關法律上的事務
[00:03:41.560 --> 00:03:45.080]  羅馬政府是有最高的權力的
[00:03:45.080 --> 00:03:46.680]  特別是在什麼呢?
[00:03:46.680 --> 00:03:48.520]  死刑的事情上
[00:03:48.520 --> 00:03:49.600]  處死一個人
[00:03:50.600 --> 00:03:55.120]  猶太人的法律裡面
[00:03:55.120 --> 00:03:56.320]  正如剛才說
[00:03:56.320 --> 00:03:59.080]  一個被人捉姦在床的
[00:03:59.080 --> 00:04:00.680]  一個行姦淫的人
[00:04:00.680 --> 00:04:02.840]  按照摩西的律法
[00:04:02.840 --> 00:04:05.120]  是要用石頭打死的
[00:04:05.120 --> 00:04:07.560]  但是根據羅馬的法律
