
[00:00:00.000 --> 00:00:04.820]  今日的題目是「生命成長受苦的心智」
[00:00:04.820 --> 00:00:11.080]  我們會思想受苦與成長的關係
[00:00:11.080 --> 00:00:16.120]  弟兄姊妹,今日世界是在苦楚之中
[00:00:16.120 --> 00:00:21.420]  世上每一個人都是在苦楚之中生活
[00:00:21.420 --> 00:00:23.800]  在悠長的歷史之中
[00:00:23.800 --> 00:00:30.640]  沒有一個人能夠例外,不需要經歷苦楚
[00:00:30.640 --> 00:00:35.180]  在2012年,有一個20歲的年青人
[00:00:35.180 --> 00:00:38.460]  他的名字叫Sam,很普通的名稱
[00:00:38.460 --> 00:00:43.580]  他在Apple的店舖工作
[00:00:43.580 --> 00:00:45.620]  這是他的第一個工作
[00:00:45.620 --> 00:00:49.960]  他從來沒有想過他第一份工作的經驗
[00:00:49.960 --> 00:00:52.460]  就如此的痛苦
[00:00:52.460 --> 00:00:54.960]  他是一個很平凡的人
[00:00:54.960 --> 00:00:58.680]  但平凡的他在網上爆紅
[00:00:58.680 --> 00:01:01.720]  網上不斷地討論他
[00:01:01.720 --> 00:01:05.760]  有人去店舖拍他想放他網
[00:01:05.760 --> 00:01:11.340]  他爆紅的原因是因為他叫Sam
[00:01:11.340 --> 00:01:17.220]  並且因為他的姓氏是姓宋
[00:01:17.220 --> 00:01:22.340]  放在一起剛剛好就是SamSung
[00:01:22.340 --> 00:01:26.720]  即是SamSung是三星的電話牌子
[00:01:26.720 --> 00:01:29.380]  當年很多人在討論
[00:01:29.380 --> 00:01:32.000]  SamSung的電話比較好用
[00:01:32.000 --> 00:01:34.680]  還是蘋果的電話比較好用
[00:01:34.680 --> 00:01:39.220]  而他就是SamSung在蘋果裡面工作
[00:01:39.220 --> 00:01:41.720]  網上有人嘲笑他
[00:01:41.720 --> 00:01:44.720]  喂,你的名字叫SamSung
[00:01:44.720 --> 00:01:47.960]  為什麼你不去隔壁的SamSung店工作
[00:01:47.960 --> 00:01:50.040]  他不請你嗎?
[00:01:50.040 --> 00:01:52.680]  有人嘲笑他,你的名字叫SamSung
[00:01:52.680 --> 00:01:54.540]  你賣蘋果電話?
[00:01:54.540 --> 00:01:56.000]  不是吧?
[00:01:56.000 --> 00:01:57.960]  若有句說話
[00:01:57.960 --> 00:02:00.680]  不怕生壞命
[00:02:00.680 --> 00:02:02.580]  下一句是什麼?
[00:02:02.580 --> 00:02:04.640]  最怕改壞命
[00:02:04.640 --> 00:02:07.040]  是諺語來的,也未必是真的
[00:02:07.040 --> 00:02:10.960]  我們現在回看,我們覺得很好笑
[00:02:10.960 --> 00:02:14.260]  但是當時對他影響很大
[00:02:14.260 --> 00:02:16.500]  他怕失去工作
[00:02:16.500 --> 00:02:20.340]  他取消了他社交平台的戶口
[00:02:20.340 --> 00:02:23.840]  他還去了政府告改了名
[00:02:23.840 --> 00:02:27.380]  他不再姓Sung,他改了第二個姓
[00:02:27.380 --> 00:02:29.680]  一年之後
[00:02:29.680 --> 00:02:34.880]  他還是辭了他在蘋果的工作
[00:02:34.880 --> 00:02:38.300]  現在是2025年,過了十幾年
[00:02:38.300 --> 00:02:39.880]  苦楚就過去了
[00:02:39.880 --> 00:02:42.140]  他現在重新出發
[00:02:42.140 --> 00:02:45.140]  有自己寫作的事業
[00:02:45.140 --> 00:02:48.580]  但是痛苦會在不同的情況
[00:02:48.580 --> 00:02:51.540]  臨到不同的人身上
[00:02:51.540 --> 00:02:55.380]  苦楚的廣度呢個局
[00:02:55.380 --> 00:03:00.800]  正正就是苦楚會在任何的時候
[00:03:00.800 --> 00:03:02.800]  在任何的地方
[00:03:02.800 --> 00:03:05.300]  以任何的形式
[00:03:05.300 --> 00:03:09.680]  來到任何的人身上
[00:03:09.680 --> 00:03:13.680]  苦楚是和任何人息息相關
[00:03:13.680 --> 00:03:16.180]  即使信徒也沒有例外
[00:03:16.180 --> 00:03:18.180]  今天的經文說
[00:03:18.180 --> 00:03:22.180]  「我們知道一切受造之物
[00:03:22.180 --> 00:03:27.180]  一同歎息,勞苦直到如今
[00:03:27.180 --> 00:03:29.180]  不但如此
[00:03:29.180 --> 00:03:34.180]  就是我們者有聖靈初結果子的
[00:03:34.180 --> 00:03:36.180]  (即是信徒)
[00:03:36.180 --> 00:03:40.180]  也是自己心裡歎息
[00:03:40.180 --> 00:03:43.680]  沒有人會歡喜苦楚
[00:03:43.680 --> 00:03:48.680]  卻沒有人能夠逃避苦楚」
[00:03:48.680 --> 00:03:54.180]  然而有句說話叫「經一事就長一智」
[00:03:54.180 --> 00:03:57.180]  人又真是經歷苦楚一次
[00:03:57.180 --> 00:04:00.180]  又會成長一次
[00:04:00.180 --> 00:04:03.180]  今日信息的中心
[00:04:03.180 --> 00:04:09.180]  就是缺乏受苦心智的信徒
[00:04:09.180 --> 00:04:13.680]  缺乏成長的空間
[00:04:13.680 --> 00:04:15.680]  讓我們低頭祈禱
[00:04:39.180 --> 00:04:42.680]  負擔世人的苦痛
[00:04:42.680 --> 00:04:44.180]  祢如何的有耐性
[00:04:44.180 --> 00:04:45.180]  如何的等候
[00:04:45.180 --> 00:04:46.180]  如何的愛
[00:04:46.180 --> 00:04:49.180]  求主祢叫到我們都跟隨主祢的腳踵
[00:04:49.180 --> 00:04:50.680]  效法諸耶穌基督
[00:04:50.680 --> 00:04:54.180]  去明白父神終然世上有苦痛
[00:04:54.180 --> 00:04:56.180]  不過我們卻有主祢
[00:04:56.180 --> 00:04:59.180]  並且祢給我們有復活的勘望
[00:04:59.180 --> 00:05:01.180]  現在我們所看的一切
[00:05:01.180 --> 00:05:02.680]  所經歷的一切
[00:05:02.680 --> 00:05:04.680]  都只是短暫的
[00:05:04.680 --> 00:05:06.680]  我們禱告奉耶穌基督的名求
[00:05:06.680 --> 00:05:08.680]  阿們
[00:05:08.680 --> 00:05:13.180]  學習今日這段關於苦痛的經文之前
[00:05:13.180 --> 00:05:15.180]  讓我們花一點時間
[00:05:15.180 --> 00:05:17.180]  去思想一下
[00:05:17.180 --> 00:05:21.180]  苦楚其實是什麼一回事
[00:05:21.180 --> 00:05:24.180]  去學習一個苦楚的觀念
[00:05:24.180 --> 00:05:26.180]  聖經的苦楚觀
[00:05:26.180 --> 00:05:28.180]  我們首先要去思想一下
[00:05:28.180 --> 00:05:33.180]  苦楚會以什麼形式出現
[00:05:33.180 --> 00:05:35.180]  首先第一
[00:05:35.180 --> 00:05:40.180]  我會告訴大家苦楚是很多變的
[00:05:40.180 --> 00:05:42.180]  當我說苦楚它很多變的時候
[00:05:42.180 --> 00:05:46.180]  意思是苦楚可以是現在的經歷
[00:05:46.180 --> 00:05:48.180]  經濟的壓力
[00:05:48.180 --> 00:05:49.180]  工作的煩擾
[00:05:49.180 --> 00:05:50.180]  家庭的破碎
[00:05:50.180 --> 00:05:52.180]  健康的問題
[00:05:52.180 --> 00:05:55.180]  各種現在這一刻的經歷
[00:05:55.180 --> 00:06:01.180]  都可以是苦楚
[00:06:01.180 --> 00:06:03.180]  其次除了現在之外
[00:06:03.180 --> 00:06:06.180]  苦楚可以是過去的回憶
[00:06:06.180 --> 00:06:10.180]  從前自己受過的傷害
[00:06:10.180 --> 00:06:12.180]  不快樂的經歷
[00:06:12.180 --> 00:06:14.180]  從前流過的眼淚
[00:06:14.180 --> 00:06:16.180]  試過幾千了
[00:06:16.180 --> 00:06:18.180]  但是現在想起來
[00:06:18.180 --> 00:06:21.180]  你可以覺得很苦痛
[00:06:21.180 --> 00:06:23.180]  很失落
[00:06:23.180 --> 00:06:24.180]  第三
[00:06:24.180 --> 00:06:28.180]  苦楚可以是將來的憂慮
[00:06:28.180 --> 00:06:32.180]  哪怕現在我們是多麼的滿足
[00:06:32.180 --> 00:06:34.180]  多麼的平安
[00:06:34.180 --> 00:06:36.180]  無事無幹
[00:06:36.180 --> 00:06:38.180]  一切元好
[00:06:38.180 --> 00:06:44.180]  但是人仍然可以為將來來到憂慮
[00:06:44.180 --> 00:06:47.180]  我有沒有賺夠錢退休呢?
[00:06:47.180 --> 00:06:50.180]  我將來的健康會怎樣呢?
[00:06:50.180 --> 00:06:53.180]  我兒女將來會怎樣呢?
[00:06:53.180 --> 00:06:55.180]  未發生的事
[00:06:55.180 --> 00:06:57.180]  不知道的事
[00:06:57.180 --> 00:07:01.180]  今天已經會帶來苦楚
[00:07:01.180 --> 00:07:08.180]  苦楚的定義是因人而異的
[00:07:08.180 --> 00:07:11.180]  一個人覺得苦楚的事情
[00:07:11.180 --> 00:07:15.180]  另一個人可以覺得是享受
[00:07:15.180 --> 00:07:18.180]  或者覺得沒什麼大不了
[00:07:18.180 --> 00:07:20.180]  用不著這麼認真
[00:07:20.180 --> 00:07:25.180]  例如有人覺得自律是很痛苦很苦楚
[00:07:25.180 --> 00:07:29.180]  有人會覺得不自律才是苦楚
[00:07:29.180 --> 00:07:33.180]  意思是我們起碼不要否定
[00:07:33.180 --> 00:07:38.180]  一個人承載苦楚的自生能力
[00:07:38.180 --> 00:07:41.180]  因為是因人而異的
[00:07:41.180 --> 00:07:43.180]  最後
[00:07:43.180 --> 00:07:47.180]  苦楚必定帶來苦痛
[00:07:47.180 --> 00:07:53.180]  苦楚並非和身心靈無關的事
[00:07:53.180 --> 00:07:57.180]  經歷苦楚會影響身體
[00:07:57.180 --> 00:08:01.180]  頭痛、失眠、影響心理
[00:08:01.180 --> 00:08:03.180]  我們或者會情緒低落
[00:08:03.180 --> 00:08:06.180]  即使苦楚成為過去
