
[00:00:00.000 --> 00:00:09.760]  今日的經文是列王記上第十七章八至二十四節
[00:00:09.760 --> 00:00:16.240]  這段經文的背景是講述當時的以色列王阿哈
[00:00:16.240 --> 00:00:19.640]  和他的妻子耶洗別
[00:00:19.640 --> 00:00:26.840]  他都是漸漸對耶和華神的信很淡很淡
[00:00:26.840 --> 00:00:30.200]  甚至阿哈王是受他妻子耶洗別的影響
[00:00:30.200 --> 00:00:38.280]  將他妻子的家鄉偶像的神帶來給以色列人和皇帝拜
[00:00:38.280 --> 00:00:40.680]  一個神叫巴力
[00:00:40.680 --> 00:00:42.440]  這個是男神來的
[00:00:42.440 --> 00:00:47.320]  是掌管男士來的
[00:00:47.320 --> 00:00:50.600]  待會有個女神
[00:00:50.600 --> 00:00:56.440]  巴力是掌管風雨和農作物的
[00:00:56.440 --> 00:01:00.120]  另外一個女神叫阿瑟拉
[00:01:00.120 --> 00:01:03.880]  是掌管生育繁殖的
[00:01:03.880 --> 00:01:07.960]  所以拜這個神的人有很多淫亂的事情會發生
[00:01:07.960 --> 00:01:11.320]  當時神就興起以利亞
[00:01:11.320 --> 00:01:12.360]  沒有什麼背景的
[00:01:12.360 --> 00:01:15.240]  十七章以利亞一出場就出場了
[00:01:15.240 --> 00:01:21.240]  希望藉著以利亞宣告皇帝和以色列民的背影
[00:01:21.240 --> 00:01:24.760]  然後希望以色列民回轉耶和華
[00:01:24.760 --> 00:01:26.760]  神也很幽默的
[00:01:26.760 --> 00:01:30.520]  他藉著什麼來宣告審判呢
[00:01:30.520 --> 00:01:32.520]  就是藉著什麼
[00:01:32.520 --> 00:01:34.520]  旱災
[00:01:34.520 --> 00:01:38.600]  旱災按巴力是巴力掌管的
[00:01:38.600 --> 00:01:42.600]  他是風調雨順的農產神
[00:01:42.600 --> 00:01:45.240]  但是神就幽默了
[00:01:45.240 --> 00:01:47.080]  整個以色列地和周圍
[00:01:47.080 --> 00:01:48.520]  今天的經文是
[00:01:48.520 --> 00:01:54.920]  烈王記上旱災以至農作物嚴重的消失
[00:01:54.920 --> 00:01:56.040]  沒有了
[00:01:56.040 --> 00:02:01.320]  讓阿哈王和以色列民甚至外邦人要明白
[00:02:01.320 --> 00:02:04.760]  究竟耶和華是真神還是什麼
[00:02:04.760 --> 00:02:06.760]  巴力是真神
[00:02:06.760 --> 00:02:08.760]  其實背景是這樣的
[00:02:08.760 --> 00:02:12.040]  以利亞被呼召之後一宣告
[00:02:12.040 --> 00:02:14.040]  十章第一節我們沒有讀
[00:02:14.040 --> 00:02:20.760]  宣告如果不祈禱就不會降雨
[00:02:20.760 --> 00:02:22.760]  甚至露水也不會降
[00:02:22.760 --> 00:02:24.760]  即是說乾的很厲害
[00:02:24.760 --> 00:02:27.400]  講完之後就走了
[00:02:27.400 --> 00:02:31.320]  去了一個叫基納溪旁生活
[00:02:31.320 --> 00:02:34.280]  我們由第八節開始講
[00:02:34.280 --> 00:02:36.280]  過了一年左右
[00:02:36.280 --> 00:02:40.440]  這個基納溪旁的河水都乾了
[00:02:40.440 --> 00:02:41.480]  漸漸乾了
[00:02:41.480 --> 00:02:42.920]  都沒有水喝了
[00:02:42.920 --> 00:02:45.560]  大概等了一年多
[00:02:45.560 --> 00:02:47.160]  這個以利亞
[00:02:47.160 --> 00:02:48.760]  神就再吩咐他
[00:02:48.760 --> 00:02:51.240]  起身要去另外一個地方
[00:02:51.240 --> 00:02:54.200]  就是西頓的薩納法
[00:02:54.200 --> 00:02:59.080]  在西邊要走大概一百里有多的路
[00:02:59.080 --> 00:03:00.760]  其實都走很久的
[00:03:00.760 --> 00:03:03.400]  去了一個地方叫薩納法
[00:03:03.400 --> 00:03:05.640]  薩納法的名字的意思
[00:03:05.640 --> 00:03:07.880]  就叫做熔爐
[00:03:07.880 --> 00:03:09.080]  即是很熱
[00:03:09.080 --> 00:03:10.520]  很熱很熱的意思
[00:03:10.520 --> 00:03:12.520]  沙漠地很熱的
[00:03:12.520 --> 00:03:15.080]  這個地方真的不太好住
[00:03:15.080 --> 00:03:18.680]  旱災的時候還要去一個很熱的地方
[00:03:18.680 --> 00:03:21.320]  如果你是以利亞你會怎麼想
[00:03:21.320 --> 00:03:23.320]  馬上會問
[00:03:23.320 --> 00:03:25.320]  為什麼要去這裏
[00:03:25.320 --> 00:03:27.320]  是不是去游游水
[00:03:27.320 --> 00:03:29.320]  去東邊也好
[00:03:29.320 --> 00:03:31.320]  接著薩納法有一個什麼地方
[00:03:31.320 --> 00:03:33.320]  一個外邦地
[00:03:33.320 --> 00:03:36.920]  當時的猶太人是不會去的
[00:03:36.920 --> 00:03:38.920]  他們和猶太
[00:03:38.920 --> 00:03:40.920]  即是外邦人是沒有什麼交往的
[00:03:40.920 --> 00:03:44.200]  神還要去一個外邦人
[00:03:44.200 --> 00:03:46.200]  他們稱為不潔的地方
[00:03:46.200 --> 00:03:48.200]  去生活
[00:03:48.200 --> 00:03:50.200]  如果你是以利亞都會問
[00:03:50.200 --> 00:03:52.200]  你搞什麼
[00:03:52.200 --> 00:03:54.200]  又要去這個地方
[00:03:54.200 --> 00:03:56.200]  而薩納法還很特別
[00:03:56.200 --> 00:03:58.200]  原來是皇后椰洗別的家鄉
[00:03:58.200 --> 00:04:02.200]  這個皇后
[00:04:02.200 --> 00:04:04.200]  拜巴力的家鄉
[00:04:04.200 --> 00:04:06.200]  必定是拜祭巴力
