
[00:00:00.000 --> 00:00:02.000]  各位鼎姐妹晚安
[00:00:02.000 --> 00:00:07.000]  今日我會同大家繼續去講這個門訓
[00:00:07.000 --> 00:00:11.000]  就是這個文掃記的九章
[00:00:11.000 --> 00:00:14.000]  整章有二十三節這麼多
[00:00:14.000 --> 00:00:19.000]  因為這段經文其實都是很重要
[00:00:19.000 --> 00:00:23.000]  我們很想大家一齊去重讀這二十三節
[00:00:23.000 --> 00:00:27.000]  以致我們在去理解這章經文的時候
[00:00:27.000 --> 00:00:29.000]  有一個概念
[00:00:29.000 --> 00:00:31.000]  我們一起重讀 預備起
[00:00:59.000 --> 00:01:01.000]  以色列人守如月節
[00:01:01.000 --> 00:01:04.000]  他們就在西內的曠野
[00:01:04.000 --> 00:01:08.000]  正有黃昏的時候守如月節
[00:01:08.000 --> 00:01:11.000]  凡耶和華所吩咐摩西的
[00:01:11.000 --> 00:01:14.000]  以色列人都照樣行了
[00:01:14.000 --> 00:01:18.000]  有幾個人因死屍而不潔淨
[00:01:18.000 --> 00:01:21.000]  不能在那日守如月節
[00:01:21.000 --> 00:01:26.000]  當日他們在摩西亞倫面前說
[00:01:26.000 --> 00:01:29.000]  我們雖因死屍而不潔淨
[00:01:29.000 --> 00:01:32.000]  為何被阻止不得同以色列人
[00:01:32.000 --> 00:01:37.000]  在所定的日期獻耶和華的供物呢?
[00:01:37.000 --> 00:01:39.000]  摩西對他們說
[00:01:39.000 --> 00:01:41.000]  你們暫且等候
[00:01:41.000 --> 00:01:46.000]  我可以去聽耶和華指著你們是怎樣吩咐的
[00:01:46.000 --> 00:01:48.000]  耶和華對摩西說
[00:01:48.000 --> 00:01:51.000]  理曉於以色列說
[00:01:51.000 --> 00:01:53.000]  你們和你們後代中
[00:01:53.000 --> 00:01:56.000]  若有人因死屍而不潔淨
[00:01:56.000 --> 00:01:58.000]  或在遠方行路
[00:01:58.000 --> 00:02:02.000]  還要向耶和華守如月節
[00:02:02.000 --> 00:02:06.000]  他們要在二月十四日黃昏的時候
[00:02:06.000 --> 00:02:07.000]  守如月節
[00:02:07.000 --> 00:02:13.000]  要用無餃餅和苦菜和如月節的羊羔同吃
[00:02:13.000 --> 00:02:16.000]  一點不可留到早晨
