
[00:00:00.000 --> 00:00:03.240]  哥林多前書系列的第二講
[00:00:03.240 --> 00:00:07.840]  上一次我已經跟大家開始了哥林多書的介紹
[00:00:07.840 --> 00:00:11.720]  今天我們要講哥林多前書的第一章
[00:00:11.720 --> 00:00:13.320]  三至九節
[00:00:13.320 --> 00:00:15.800]  就是剛才讀的經文
[00:00:15.800 --> 00:00:17.240]  我給的題目是
[00:00:17.240 --> 00:00:21.800]  「聖徒的身份 vs 混亂的教會
[00:00:21.800 --> 00:00:25.080]  保羅為何稱他們為聖?」
[00:00:25.080 --> 00:00:27.720]  混亂的教會是哪個教會?
[00:00:27.720 --> 00:00:31.120]  是哥林多教會非常之混亂
[00:00:31.120 --> 00:00:36.080]  但是保羅仍然稱哥林多教會的信徒為聖徒
[00:00:36.080 --> 00:00:38.560]  究竟又是為什麼呢?
[00:00:38.560 --> 00:00:41.360]  我們可以先回顧一下
[00:00:41.360 --> 00:00:46.480]  上一次我跟大家講了哥林多前書的一章一節和二節
[00:00:46.480 --> 00:00:47.760]  第一節的頭話
[00:00:47.760 --> 00:00:51.280]  保羅說自己是奉神旨意
[00:00:51.280 --> 00:00:54.680]  蒙召作耶穌基督使徒的保羅
[00:00:54.680 --> 00:00:57.760]  他講出了自己有使徒的身份
[00:00:57.760 --> 00:00:59.760]  一共是有五點
[00:00:59.760 --> 00:01:02.360]  如果大家想知道這五點是什麼
[00:01:02.360 --> 00:01:05.560]  可以聽我上一次講的介紹
[00:01:05.560 --> 00:01:07.680]  今天我們要講一些新的東西
[00:01:07.680 --> 00:01:12.200]  就是究竟使徒的職責又是做些什麼呢?
[00:01:12.200 --> 00:01:17.080]  使徒的職責在聖經裡面一共是有四點主要
[00:01:17.080 --> 00:01:20.360]  第一是要傳達神的福音
[00:01:20.360 --> 00:01:23.000]  第二是要專心的禱告
[00:01:23.000 --> 00:01:25.880]  第三是要教導真理
[00:01:25.880 --> 00:01:30.640]  第四是在他們身上有神跡歧視的能力
[00:01:30.640 --> 00:01:32.880]  我們先講第一點
[00:01:32.880 --> 00:01:35.240]  就是傳達福音
[00:01:35.240 --> 00:01:38.480]  在哥林多前書的一章十七節頭
[00:01:38.480 --> 00:01:41.360]  保羅說基督差遣我
[00:01:41.360 --> 00:01:45.160]  原不是為施洗乃是為傳福音
[00:01:45.160 --> 00:01:48.960]  我講過這節經文不是說施洗不重要
[00:01:48.960 --> 00:01:50.840]  其實是有個次序
[00:01:50.840 --> 00:01:53.440]  我們首先是傳福音給別人
[00:01:53.440 --> 00:01:57.360]  別人接受了我們就為他們施洗
[00:01:57.360 --> 00:02:01.360]  以父子聖靈的名替他們施洗
[00:02:01.360 --> 00:02:03.560]  你說福音是什麼?
[00:02:03.560 --> 00:02:05.560]  福音就是好消息
[00:02:05.560 --> 00:02:09.320]  在哥林多前書的十五章給了我們一個定義
[00:02:09.320 --> 00:02:13.160]  福音就是耶穌基督為我們的罪死
[00:02:13.160 --> 00:02:15.160]  第三天復活
[00:02:15.160 --> 00:02:16.680]  簡不簡單?
[00:02:16.680 --> 00:02:18.520]  非常之簡單
[00:02:18.520 --> 00:02:21.240]  很多人都說我不懂得傳福音
[00:02:21.240 --> 00:02:22.600]  但你懂不懂得說
[00:02:22.600 --> 00:02:25.000]  耶穌基督為你的罪而死
[00:02:25.000 --> 00:02:26.440]  三天復活
[00:02:26.440 --> 00:02:27.400]  你懂不懂得說?
[00:02:27.400 --> 00:02:28.600]  如果你懂得的話
[00:02:28.600 --> 00:02:30.200]  這就是傳福音
[00:02:30.200 --> 00:02:33.200]  所以每個人都應該懂得傳福音
[00:02:33.200 --> 00:02:37.440]  使徒的職責就是傳達福音
[00:02:37.440 --> 00:02:40.800]  在哥林多前書的九章四節
[00:02:40.800 --> 00:02:43.120]  保羅有同樣的教導
[00:02:43.120 --> 00:02:46.080]  保羅說我是使徒我要傳福音
[00:02:46.080 --> 00:02:49.240]  甚至我要靠傳福音為生
[00:02:49.240 --> 00:02:53.840]  我要藉著傳福音來維持生計
[00:02:53.840 --> 00:02:56.240]  這是使徒應得的
[00:02:56.240 --> 00:03:00.480]  但保羅沒有問哥林多教會拿一分一文
[00:03:00.480 --> 00:03:01.600]  為什麼?
[00:03:01.600 --> 00:03:05.200]  去到哥林多前書的第九章我們就見到
[00:03:05.200 --> 00:03:06.720]  有很多新的信徒
[00:03:06.720 --> 00:03:09.520]  保羅不想問他們拿錢
[00:03:09.520 --> 00:03:11.960]  因為保羅會給一個錯誤的印象
[00:03:11.960 --> 00:03:14.680]  你們基督徒原來這麼貪錢
[00:03:14.680 --> 00:03:19.560]  所以保羅從來不向哥林多教會拿一分一文
[00:03:19.560 --> 00:03:21.840]  他雖然有這樣的權利
