
[00:00:00.000 --> 00:00:02.640]  我自己是一個移民
[00:00:02.640 --> 00:00:05.240]  我是從香港移民過來的人
[00:00:05.240 --> 00:00:09.480]  我大概那時候就移民來到美國
[00:00:09.480 --> 00:00:11.760]  但是我離開香港的時候
[00:00:11.760 --> 00:00:14.160]  我最捨不得的就是我家人
[00:00:14.160 --> 00:00:15.800]  因為我家人之中
[00:00:15.800 --> 00:00:17.960]  我學了一個愛的故事
[00:00:17.960 --> 00:00:19.520]  我有爸爸媽媽
[00:00:19.520 --> 00:00:21.440]  姑姐姑媽
[00:00:21.440 --> 00:00:23.600]  還有買東西的阿媽
[00:00:23.600 --> 00:00:25.080]  還有公公婆婆
[00:00:25.080 --> 00:00:27.080]  你知道香港的地方多小
[00:00:27.080 --> 00:00:29.080]  但是無論多小也好
[00:00:29.080 --> 00:00:32.120]  我常常都是被愛裏面包著
[00:00:32.120 --> 00:00:33.680]  所以我小時候最緊要的時候
[00:00:33.680 --> 00:00:36.640]  就是下午四點半要回到家
[00:00:36.640 --> 00:00:39.680]  所以看四三天穿梭機
[00:00:39.680 --> 00:00:41.560]  但是我來到美國的時候
[00:00:41.560 --> 00:00:44.960]  我就發現了愛是多珍貴
[00:00:44.960 --> 00:00:46.240]  你以前讀法式經濟學課
[00:00:46.240 --> 00:00:47.760]  我封文有理
[00:00:47.760 --> 00:00:49.720]  但是當你沒有了愛的時候
[00:00:49.720 --> 00:00:51.840]  你去到一個國外要掙扎的時候
[00:00:51.840 --> 00:00:54.800]  你才知道這件事是多珍貴
[00:00:54.800 --> 00:00:56.360]  我在美國讀書
[00:00:56.360 --> 00:00:57.640]  我不是讀書的人
[00:00:57.640 --> 00:01:00.600]  所以我就很快去找工作
[00:01:00.600 --> 00:01:02.920]  我在美國讀書工作了很多年
[00:01:02.920 --> 00:01:07.560]  我好像十七歲都沒有進去上班
[00:01:07.560 --> 00:01:10.600]  但是我知道在一個多文化
[00:01:10.600 --> 00:01:12.360]  多國籍的地方裏面
[00:01:12.360 --> 00:01:15.240]  去生存是完全不容易的
[00:01:15.240 --> 00:01:17.400]  所以直到我自己奉獻的時候
[00:01:17.400 --> 00:01:18.800]  出來工作的時候
[00:01:18.800 --> 00:01:21.480]  我都是在一些跨世代
[00:01:21.480 --> 00:01:24.840]  和跨文化的教會裏面去服侍
[00:01:24.840 --> 00:01:27.200]  我再講一講我自己
[00:01:27.200 --> 00:01:29.600]  我爸爸媽媽剛來到美國的時候
[00:01:29.600 --> 00:01:31.000]  其實都很辛苦
[00:01:31.000 --> 00:01:33.440]  有些人可能認識我父母
[00:01:33.440 --> 00:01:35.640]  我父母在香港其實很舒服
[00:01:35.640 --> 00:01:37.400]  我媽媽在明基教書
[00:01:37.400 --> 00:01:39.680]  有沒有人知道九龍明基小學
[00:01:39.680 --> 00:01:42.120]  我媽媽在明基教書
[00:01:42.120 --> 00:01:47.520]  一個在政府津貼的學校裏面
[00:01:47.520 --> 00:01:49.480]  我爸爸又是牧師
[00:01:49.480 --> 00:01:53.000]  那時候我爸爸在銅鑼灣裏面
[00:01:53.000 --> 00:01:56.480]  在一個專主堂
[00:01:56.480 --> 00:01:58.040]  宣導會的專主堂
[00:01:58.040 --> 00:02:01.400]  而且那時候剛剛天道是上軌道
[00:02:01.400 --> 00:02:02.760]  但是那時候我都不明白
[00:02:02.760 --> 00:02:05.200]  移民其實就是有個原因
[00:02:05.200 --> 00:02:07.400]  我差不多二十多歲才發現
[00:02:07.400 --> 00:02:10.200]  原來我有些學習障礙
