
[00:00:00.000 --> 00:00:03.600]  今次跟大家分享的是一個系列
[00:00:03.600 --> 00:00:05.560]  如果大家記得的話
[00:00:05.560 --> 00:00:07.960]  上星期譚太太跟大家分享
[00:00:07.960 --> 00:00:09.760]  「同你有關係呀?」
[00:00:09.760 --> 00:00:10.640]  就第一講
[00:00:10.640 --> 00:00:12.160]  是講什麼呢?
[00:00:12.160 --> 00:00:14.240]  是講父母的
[00:00:14.240 --> 00:00:20.120]  今天阿嵐叫我們去選一些題目
[00:00:20.120 --> 00:00:22.360]  譚太太第一個舉手
[00:00:22.360 --> 00:00:23.520]  就說父母
[00:00:23.520 --> 00:00:25.240]  接著還有其他列表
[00:00:25.240 --> 00:00:26.040]  我就想
[00:00:26.040 --> 00:00:28.680]  大兄姐妹吧
[00:00:28.680 --> 00:00:30.480]  於是我今天跟大家分享
[00:00:30.480 --> 00:00:31.960]  大兄姐妹的關係
[00:00:31.960 --> 00:00:32.960]  但是想一想
[00:00:32.960 --> 00:00:34.160]  大兄姐妹的關係
[00:00:34.160 --> 00:00:36.560]  其實又好像很容易講
[00:00:36.560 --> 00:00:38.360]  但是又好像很難講
[00:00:38.360 --> 00:00:40.280]  為什麼呢?
[00:00:40.280 --> 00:00:41.160]  因為每個星期
[00:00:41.160 --> 00:00:42.960]  其實那篇稿都是在講
[00:00:42.960 --> 00:00:44.680]  大兄姐妹你們要怎樣?
[00:00:44.680 --> 00:00:45.640]  相交要怎樣?
[00:00:45.640 --> 00:00:47.000]  相處要怎樣?
[00:00:47.000 --> 00:00:49.240]  《聖經》裏面差不多每個星期
[00:00:49.240 --> 00:00:51.760]  都是在講這個題目
[00:00:51.760 --> 00:00:54.320]  那麼對我來說
[00:00:54.320 --> 00:00:56.400]  似乎好像倒了一瓶好醜
[00:00:56.400 --> 00:00:57.880]  再想一想的時候
[00:00:57.880 --> 00:01:00.240]  咦?其實都不是一個好醜
[00:01:00.240 --> 00:01:01.720]  原來呢?
[00:01:01.720 --> 00:01:03.480]  都是要有些想想
[00:01:03.480 --> 00:01:05.160]  究竟真的有些什麼
[00:01:05.160 --> 00:01:07.800]  跟大家可以分享的呢?
[00:01:07.800 --> 00:01:10.680]  那麼今天就真的是一個分享
[00:01:10.680 --> 00:01:11.480]  意思是什麼呢?
[00:01:11.480 --> 00:01:14.040]  那麼topical的一個sharing
[00:01:14.040 --> 00:01:15.800]  一個講道的時間
[00:01:15.800 --> 00:01:17.640]  未必是好像一個個段落
[00:01:17.640 --> 00:01:19.440]  那麼分在裏面
[00:01:19.440 --> 00:01:20.760]  而是我在當中
[00:01:20.760 --> 00:01:23.960]  我自己未必可以很完全講完
[00:01:23.960 --> 00:01:25.960]  在《聖經》裏面整存的
[00:01:25.960 --> 00:01:27.560]  大兄姐妹之間的關係
[00:01:27.560 --> 00:01:28.520]  可能要分享的時候
[00:01:28.520 --> 00:01:31.040]  都可以一整年的系列
[00:01:31.040 --> 00:01:32.640]  去不同的傳道
[00:01:32.640 --> 00:01:34.720]  Ivan那些去講
[00:01:34.720 --> 00:01:39.840]  所以我在裏面的禱告
[00:01:39.840 --> 00:01:42.640]  study 學習
[00:01:42.640 --> 00:01:45.600]  上帝又給我一些提醒
[00:01:45.600 --> 00:01:48.160]  所以今天跟你去分享的時間
[00:01:48.160 --> 00:01:50.480]  其實都是跟我自己分享
[00:01:50.480 --> 00:01:51.560]  在預備的時候
[00:01:51.560 --> 00:01:54.320]  其實都是我自己的反省
[00:01:54.320 --> 00:01:56.440]  我都未學得好好
