
[00:00:00.000 --> 00:00:04.720]  去年八月份 我在臺灣參與華復會的時候買了一本書
[00:00:04.720 --> 00:00:09.660]  書名叫做《耶穌跟你想的不一樣》
[00:00:09.660 --> 00:00:12.320]  耶穌和你所想的不同
[00:00:12.320 --> 00:00:15.680]  吸引着我看看究竟有多不同
[00:00:15.680 --> 00:00:19.560]  我們所想的耶穌是怎樣的呢
[00:00:19.560 --> 00:00:23.280]  你想的耶穌是怎樣的
[00:00:23.280 --> 00:00:25.720]  耶穌真實的面貌是怎樣的呢
[00:00:25.720 --> 00:00:30.200]  我們沒有人見過祂真正的樣貌
[00:00:30.200 --> 00:00:32.820]  我們在聖經裏看到祂
[00:00:32.820 --> 00:00:34.600]  作者很想提醒我們
[00:00:34.600 --> 00:00:36.320]  提醒我們什麼呢
[00:00:36.320 --> 00:00:38.920]  提醒我們要認識耶穌
[00:00:38.920 --> 00:00:42.200]  是要回到第一個世紀
[00:00:42.200 --> 00:00:44.040]  耶穌的時代是怎樣的呢
[00:00:44.040 --> 00:00:46.240]  耶穌的時代
[00:00:46.240 --> 00:00:51.520]  無論是文化 生活 宗教的處境是怎樣的
[00:00:51.520 --> 00:00:54.160]  甚至是耶穌的成長是怎樣的呢
[00:00:54.160 --> 00:00:56.560]  祂有很多個課題 我只是列少少
[00:00:56.560 --> 00:00:59.040]  祂說你的人生跟你想的不一樣
[00:00:59.040 --> 00:01:02.480]  界定你的是愛 不是其他任何事
[00:01:02.480 --> 00:01:04.240]  原來耶穌基督福音的起頭
[00:01:04.240 --> 00:01:06.640]  我們就只想新約聖經
[00:01:06.640 --> 00:01:09.680]  原來由創世的時候已經開始
[00:01:09.680 --> 00:01:11.840]  我們整個舊恩關於耶穌的時候
[00:01:11.840 --> 00:01:13.040]  創世已經開始
[00:01:13.040 --> 00:01:14.440]  創世說的是什麼呢
[00:01:14.440 --> 00:01:18.240]  創世說的是上帝創造這個天地宇宙萬物
[00:01:18.240 --> 00:01:19.920]  一切看來都是好的
[00:01:19.920 --> 00:01:23.920]  是喜悅 是愛
[00:01:23.920 --> 00:01:26.680]  一路看很豐富 很吸引
[00:01:26.680 --> 00:01:28.080]  在聖誕節的日子
[00:01:28.080 --> 00:01:30.840]  我們慶祝耶穌的降生
[00:01:30.840 --> 00:01:32.440]  紀念耶穌的降生
[00:01:32.440 --> 00:01:35.320]  也展望耶穌基督第二次再臨
[00:01:35.320 --> 00:01:37.600]  我們預備自己 我們等候
[00:01:37.600 --> 00:01:40.240]  其實我們的耶穌是怎樣的呢
[00:01:40.240 --> 00:01:45.280]  祂的出世 祂的童年又是怎樣的呢
[00:01:45.280 --> 00:01:48.800]  關於耶穌的出生 成長
[00:01:48.800 --> 00:01:53.440]  四本分書的記載篇幅各有不同
[00:01:53.440 --> 00:01:58.000]  《馬太福音》有四段經文
[00:01:58.000 --> 00:02:00.520]  第一段經文只講耶穌的家譜
[00:02:00.520 --> 00:02:03.680]  第二段經文講天使向約瑟
[00:02:03.680 --> 00:02:06.320]  來寓言有救主降生
[00:02:06.320 --> 00:02:09.920]  並且要將這位救主改名爲耶穌
[00:02:09.920 --> 00:02:12.880]  就是上帝要拯救他百姓的意思
[00:02:12.880 --> 00:02:16.920]  接着有東方博士來尋找耶穌 朝拜耶穌
[00:02:16.920 --> 00:02:19.560]  然後約瑟被天使啓示
[00:02:19.560 --> 00:02:21.200]  有人要來追殺耶穌
[00:02:21.200 --> 00:02:23.120]  所以帶着耶穌和瑪利亞
[00:02:23.120 --> 00:02:28.720]  由納撒勒逃離埃及
[00:02:28.720 --> 00:02:30.400]  到了第三章
[00:02:30.400 --> 00:02:33.200]  已經沒有講耶穌小時候發生了什麼事
[00:02:33.200 --> 00:02:35.800]  一跳就跳到施洗約翰出場
[00:02:35.800 --> 00:02:39.080]  耶穌在曠野受試探和出離前度
[00:02:39.080 --> 00:02:40.000]  當我們再看的時候
[00:02:40.000 --> 00:02:42.160]  《馬太福音》和《約翰福音》
[00:02:42.160 --> 00:02:44.680]  完全沒有記載耶穌的出生
[00:02:44.680 --> 00:02:47.560]  《馬太福音》一開始有一段引言
[00:02:47.560 --> 00:02:49.480]  就是耶穌福音的起頭
[00:02:49.480 --> 00:02:51.080]  接着就講施洗約翰
[00:02:51.080 --> 00:02:52.760]  接着就講耶穌受洗
[00:02:52.760 --> 00:02:55.760]  耶穌受試探和召門徒
[00:02:55.760 --> 00:02:58.680]  《約翰福音》引言太初有道
[00:02:58.680 --> 00:03:00.720]  道與神同在 道就是神
[00:03:00.720 --> 00:03:02.800]  一直講道成了肉身
[00:03:02.800 --> 00:03:05.400]  很快就變成了什麼呢
[00:03:05.400 --> 00:03:07.520]  接着一章十五節就講施洗約翰
[00:03:07.520 --> 00:03:13.400]  如何說自己是耶穌的先鋒
[00:03:13.400 --> 00:03:15.680]  十五節就講耶穌召門徒
[00:03:15.680 --> 00:03:18.680]  《路加福音》是最詳細的
[00:03:18.680 --> 00:03:21.280]  《路加福音》一開始就來記載
[00:03:21.280 --> 00:03:23.360]  天使在瑪利亞預言
[00:03:23.360 --> 00:03:25.240]  祂要懷孕生子
[00:03:25.240 --> 00:03:29.480]  並且又將祂的名字改爲耶穌
[00:03:29.480 --> 00:03:30.440]  瑪利亞之後
[00:03:30.440 --> 00:03:34.680]  祂探望一個親戚伊麗莎白年老懷孕
[00:03:34.680 --> 00:03:37.240]  伊麗莎白被聖靈感動
[00:03:37.240 --> 00:03:42.680]  稱重瑪利亞和祂福中的孩子就是耶穌
[00:03:42.680 --> 00:03:45.200]  到施洗約翰出世了
[00:03:45.200 --> 00:03:47.720]  伊麗莎白所懷的胎兒就是施洗約翰
[00:03:47.720 --> 00:03:49.840]  出世後 祂的父親起初不相信
[00:03:49.840 --> 00:03:52.320]  年老的太太會懷孕
[00:03:52.320 --> 00:03:54.320]  然後啞了 說不了話
[00:03:54.320 --> 00:03:57.080]  到寶寶出世後 祂就被聖靈充滿
[00:03:57.080 --> 00:03:58.560]  祂一說話就預言
[00:03:58.560 --> 00:04:01.000]  以色列將興起救主
[00:04:01.000 --> 00:04:03.960]  祂的兒子施洗約翰就是這位救主的先鋒
[00:04:03.960 --> 00:04:05.840]  就是在講耶穌
[00:04:05.840 --> 00:04:09.840]  然後約瑟瑪利亞要從拿撒勒家鄉
[00:04:09.840 --> 00:04:15.240]  去報道或者去做登記人口普查
