
[00:00:00.000 --> 00:00:04.580]  在這個聖誕節的期間我們會開始一個新的系列
[00:00:04.580 --> 00:00:06.220]  因為大家都在想禮物
[00:00:06.220 --> 00:00:08.720]  我們這個系列就叫做天賦的禮物
[00:00:08.720 --> 00:00:10.600]  所以不但是我們不斷地買禮物
[00:00:10.600 --> 00:00:12.140]  我們也要思想一下
[00:00:12.140 --> 00:00:14.940]  天賦其實也是給我們很寶貴的禮物
[00:00:14.940 --> 00:00:18.440]  那麼今天在第一堂裡面我們會看一篇的詩篇
[00:00:18.440 --> 00:00:19.740]  就剛剛大家都讀過了
[00:00:19.740 --> 00:00:22.240]  就詩篇139篇
[00:00:22.240 --> 00:00:26.420]  我們來看一下神給我們一些什麼非常非常好的禮物
[00:00:26.420 --> 00:00:28.880]  那麼今天跟大家分享的第一點就是
[00:00:28.880 --> 00:00:32.080]  天賦給我們第一個很寶貴的禮物就是
[00:00:32.080 --> 00:00:34.340]  一個奇妙生命的創造
[00:00:34.340 --> 00:00:36.580]  神創造一個非常奇妙的生命
[00:00:36.580 --> 00:00:39.680]  祂把這個生命賜給我們每一個人
[00:00:39.680 --> 00:00:41.560]  所以在感恩節過了
[00:00:41.560 --> 00:00:43.660]  在聖誕節的期間我希望我們
[00:00:43.660 --> 00:00:45.160]  再次有機會思想一下
[00:00:45.160 --> 00:00:47.560]  原來我們的生命本身活著
[00:00:47.560 --> 00:00:49.520]  就是一份很好的禮物
[00:00:49.520 --> 00:00:53.920]  因為你活著你可以經歷到世上很多的
[00:00:53.920 --> 00:00:55.960]  無論是酸甜苦辣也好
[00:00:55.960 --> 00:00:57.580]  很多的高高低低
[00:00:57.580 --> 00:01:00.280]  有經歷到愛恨傷心
[00:01:00.280 --> 00:01:02.140]  各種高山低谷
[00:01:02.140 --> 00:01:04.480]  其實本身是一件很好的禮物
[00:01:04.480 --> 00:01:08.580]  詩人在詩篇139篇13-14節說
[00:01:08.580 --> 00:01:10.680]  我的肺腑是你所造的
[00:01:10.680 --> 00:01:13.080]  我在母腹中你已伏筆我
[00:01:13.080 --> 00:01:16.400]  我要稱謝你因為我受造奇妙可畏
[00:01:16.400 --> 00:01:19.880]  你的作為奇妙這是我心生之道
[00:01:19.880 --> 00:01:22.180]  我們的生命很奇妙
[00:01:22.180 --> 00:01:26.780]  現在我前陣子看一個YouTube上面說
[00:01:26.780 --> 00:01:32.280]  在MIT有個team想要製造一些機械的手
[00:01:32.280 --> 00:01:35.080]  因為有些人是因為某些緣故意外也好
[00:01:35.080 --> 00:01:36.280]  他截肢了
[00:01:36.280 --> 00:01:38.080]  我們希望能夠創造一些手勢
