
[00:00:00.000 --> 00:00:02.000]  丹姐妹平安
[00:00:02.000 --> 00:00:04.000]  我們今天能夠
[00:00:04.000 --> 00:00:06.000]  有生命氣息一同
[00:00:06.000 --> 00:00:08.000]  在神的殿中敬拜
[00:00:08.000 --> 00:00:10.000]  這是非常大的福氣
[00:00:10.000 --> 00:00:12.000]  我們今天一齊
[00:00:12.000 --> 00:00:14.000]  思想一個
[00:00:14.000 --> 00:00:16.000]  很嚴肅的問題
[00:00:16.000 --> 00:00:18.000]  剛才讀了兩段經文
[00:00:18.000 --> 00:00:20.000]  大家都很熟悉
[00:00:20.000 --> 00:00:22.000]  已熟能詳的經文
[00:00:22.000 --> 00:00:24.000]  但我們有沒有想過
[00:00:24.000 --> 00:00:26.000]  比較深入地
[00:00:26.000 --> 00:00:28.000]  深度地去思考
[00:00:28.000 --> 00:00:30.000]  這幾節經文的意思呢
[00:00:30.000 --> 00:00:36.000]  死過花生
[00:00:36.000 --> 00:00:38.000]  有沒有經驗
[00:00:38.000 --> 00:00:40.000]  跟死亡擦身而過
[00:00:40.000 --> 00:00:46.000]  我們可能都會在走路
[00:00:46.000 --> 00:00:48.000]  或者在開車
[00:00:48.000 --> 00:00:50.000]  都會
[00:00:50.000 --> 00:00:52.000]  都會有些這樣
[00:00:52.000 --> 00:00:54.000]  唉呀
[00:00:54.000 --> 00:00:56.000]  眨眼過了
[00:00:56.000 --> 00:00:58.000]  幸好
[00:00:58.000 --> 00:01:00.000]  我兩年前都有一個
[00:01:00.000 --> 00:01:02.000]  很嚴重的車禍
[00:01:02.000 --> 00:01:04.000]  那輛車滔滔了
[00:01:04.000 --> 00:01:06.000]  那一瞬間
[00:01:06.000 --> 00:01:08.000]  可以死的
[00:01:08.000 --> 00:01:10.000]  但都是感謝神的殿
[00:01:10.000 --> 00:01:12.000]  死亡擦身而過
[00:01:12.000 --> 00:01:16.000]  說這兩句說話
[00:01:16.000 --> 00:01:18.000]  都是
[00:01:18.000 --> 00:01:20.000]  試過境遷的時候說
[00:01:20.000 --> 00:01:22.000]  所以我今天還站在這裏
[00:01:22.000 --> 00:01:24.000]  說幸好
[00:01:24.000 --> 00:01:26.000]  死亡擦身而過
[00:01:26.000 --> 00:01:28.000]  問題就是
[00:01:28.000 --> 00:01:30.000]  如果我們
[00:01:30.000 --> 00:01:32.000]  那個處境
[00:01:32.000 --> 00:01:34.000]  在
[00:01:34.000 --> 00:01:36.000]  面對死亡危險
[00:01:36.000 --> 00:01:38.000]  那個處境我們又怎樣看
[00:01:38.000 --> 00:01:40.000]  在2018年
[00:01:40.000 --> 00:01:42.000]  在泰國
[00:01:42.000 --> 00:01:44.000]  有個少年足球隊
[00:01:44.000 --> 00:01:46.000]  叫野豬
[00:01:46.000 --> 00:01:48.000]  有沒有印象
[00:01:48.000 --> 00:01:50.000]  七年前
[00:01:50.000 --> 00:01:52.000]  七週年
[00:01:52.000 --> 00:01:54.000]  因為這件事發生
[00:01:54.000 --> 00:01:56.000]  是在六月二十三日
[00:01:56.000 --> 00:01:58.000]  然後經過一段時間
[00:01:58.000 --> 00:02:00.000]  到最後是七月十日
[00:02:00.000 --> 00:02:02.000]  將所有的人救出來
[00:02:02.000 --> 00:02:04.000]  雖然剛剛是七週年紀念
[00:02:04.000 --> 00:02:06.000]  就是
[00:02:06.000 --> 00:02:08.000]  你想想他們在山洞裏面
[00:02:08.000 --> 00:02:12.000]  進入了去
[00:02:12.000 --> 00:02:14.000]  初初就是
[00:02:14.000 --> 00:02:16.000]  不知道什麼時候
[00:02:16.000 --> 00:02:18.000]  探險這樣
[00:02:18.000 --> 00:02:20.000]  忽然間強降雨
[00:02:20.000 --> 00:02:22.000]  大水
[00:02:22.000 --> 00:02:24.000]  他們就走
[00:02:24.000 --> 00:02:26.000]  走到進去
[00:02:26.000 --> 00:02:28.000]  沒有路走了
[00:02:28.000 --> 00:02:30.000]  水越來越高
[00:02:30.000 --> 00:02:32.000]  在那裏
[00:02:32.000 --> 00:02:34.000]  找了九天
[00:02:34.000 --> 00:02:36.000]  你可以想想你自己
[00:02:36.000 --> 00:02:38.000]  處身在那個情況
[00:02:38.000 --> 00:02:40.000]  九天
[00:02:40.000 --> 00:02:42.000]  手機沒有信號
[00:02:42.000 --> 00:02:44.000]  山洞沒有信號
[00:02:44.000 --> 00:02:48.000]  手機那些電
[00:02:48.000 --> 00:02:50.000]  什麼都用完了
[00:02:50.000 --> 00:02:52.000]  漆黑一片
[00:02:52.000 --> 00:02:54.000]  你自己在那裏
[00:02:54.000 --> 00:02:56.000]  閉上眼睛想像一下
[00:02:56.000 --> 00:02:58.000]  你那時候的心情是怎樣
[00:02:58.000 --> 00:03:00.000]  外面有沒有人知道
[00:03:00.000 --> 00:03:04.000]  什麼時候有人來救我
[00:03:04.000 --> 00:03:06.000]  後來就有人
[00:03:06.000 --> 00:03:08.000]  就發現
[00:03:08.000 --> 00:03:10.000]  那個山洞口那裏
[00:03:10.000 --> 00:03:12.000]  有十幾架單車
[00:03:12.000 --> 00:03:14.000]  放在那裏
[00:03:14.000 --> 00:03:16.000]  知道不得了
[00:03:16.000 --> 00:03:18.000]  在山洞裏面有人
[00:03:18.000 --> 00:03:20.000]  所以就立即通知
