
[00:00:00.000 --> 00:00:03.760]  今天的題目「只管去全港神的國」
[00:00:03.760 --> 00:00:06.880]  我想大家集中注意頭兩個字
[00:00:06.880 --> 00:00:08.920]  「只管」
[00:00:08.920 --> 00:00:11.040]  「只管」的意思就是
[00:00:11.040 --> 00:00:13.720]  排除身邊所有騷擾你的事情
[00:00:13.720 --> 00:00:17.160]  專注去做一件事
[00:00:17.160 --> 00:00:22.520]  當耶穌基督在這段第九章的經文中間的地方
[00:00:22.520 --> 00:00:25.000]  二十三節這樣說
[00:00:25.000 --> 00:00:26.440]  耶穌又對眾人說
[00:00:26.440 --> 00:00:29.760]  「若有人要跟從我,就當社己
[00:00:29.760 --> 00:00:34.080]  天天背起自己的十字架來跟從我」
[00:00:34.080 --> 00:00:38.360]  這是耶穌對每一個相信祂的人的要求
[00:00:38.360 --> 00:00:41.320]  今天我們應該怎樣去跟從耶穌呢?
[00:00:41.320 --> 00:00:45.800]  怎樣為之背起十字架去跟從祂呢?
[00:00:45.800 --> 00:00:48.200]  這次的經文讓我們想到有三方面
[00:00:48.200 --> 00:00:50.360]  第一就是放低自我
[00:00:50.360 --> 00:00:52.120]  甘願犧牲
[00:00:52.120 --> 00:00:54.840]  然後順復忍耐
[00:00:54.840 --> 00:00:58.280]  不過門徒在我們今天所選讀的四個小段當中的
[00:00:58.280 --> 00:01:02.160]  頭三個小段展現出來的卻是相反
[00:01:02.160 --> 00:01:03.240]  怎樣相反呢?
[00:01:03.240 --> 00:01:08.520]  「高舉自我,不甘後人,暴躁而怒」
[00:01:08.520 --> 00:01:13.320]  他們有這些反應、觀念、表達
[00:01:13.320 --> 00:01:15.440]  是因為他們所身處的世界
[00:01:15.440 --> 00:01:18.520]  一直灌輸給他們有這樣的價值觀
[00:01:18.520 --> 00:01:21.320]  福音不單止讓我們有永生
[00:01:21.320 --> 00:01:24.080]  讓我們在今生能夠靠著主的道
[00:01:24.080 --> 00:01:26.160]  去活好我們的人生
[00:01:26.160 --> 00:01:28.120]  在我們的思想層面
[00:01:28.120 --> 00:01:32.080]  耶穌基督的福音更新、改變我們的心思意念
[00:01:32.080 --> 00:01:36.560]  將我們從扭曲的世界觀當中拯救出來
[00:01:36.560 --> 00:01:39.160]  背十字架的人是門徒
[00:01:39.160 --> 00:01:42.200]  哪些人是門徒呢?
[00:01:42.200 --> 00:01:44.280]  路加告訴我們
[00:01:44.280 --> 00:01:47.720]  今天我們有一個稱呼基督徒
[00:01:47.720 --> 00:01:51.600]  是在次路行傳的時候才開始見到的
[00:01:51.600 --> 00:01:54.120]  是在安提柯開始的
