
[00:00:00.000 --> 00:00:05.080]  各位頂智媒朋友 早上好
[00:00:05.080 --> 00:00:08.800]  感謝給我們機會一起和大家分享信息
[00:00:08.800 --> 00:00:12.120]  也很開心見到很多熟悉的頂智媒
[00:00:12.120 --> 00:00:16.360]  也見到很多年輕的朋友很開心
[00:00:16.360 --> 00:00:21.440]  願意神的祝福教會能夠不斷的發展
[00:00:21.440 --> 00:00:23.120]  我們先有祈禱
[00:00:23.120 --> 00:00:25.520]  天父感謝祢賜下祢的華語
[00:00:25.520 --> 00:00:31.880]  在祢的心意 將祢的道去分享在我們當中
[00:00:31.880 --> 00:00:34.160]  求祢在當中釋放祢的說話
[00:00:34.160 --> 00:00:38.400]  讓我們明白更加願意靠著祢的能力
[00:00:38.400 --> 00:00:40.200]  有感動願意實踐
[00:00:40.200 --> 00:00:44.120]  我們祈禱共靠救主 耶穌基督的聖名致祈求
[00:00:44.120 --> 00:00:46.120]  阿們
[00:00:46.120 --> 00:00:53.920]  今天和大家分享的題目叫《環遊宇宙》
[00:00:53.920 --> 00:00:55.440]  不知道大家有沒有想過
[00:00:55.440 --> 00:00:59.400]  你有一天是可以環遊宇宙的呢?
[00:00:59.400 --> 00:01:01.960]  不過我們先不要說這麼大
[00:01:01.960 --> 00:01:06.360]  我們縮小一點 一個可以達到的目標
[00:01:06.360 --> 00:01:09.600]  大家有沒有想過可以環遊世界呢?
[00:01:09.600 --> 00:01:13.440]  有沒有在你其中一個一生的夢想
[00:01:13.440 --> 00:01:17.920]  可以達到這個目標呢?
[00:01:17.920 --> 00:01:19.280]  我認識一位弟兄
[00:01:19.280 --> 00:01:26.480]  他的心願是在有生之年可以踏足五大洲
[00:01:26.480 --> 00:01:29.600]  我在年頭見過這位弟兄
[00:01:29.600 --> 00:01:34.400]  他說他已經踏足了四大洲 包括澳洲
[00:01:34.400 --> 00:01:38.160]  他唯一沒有去到的就是南非
[00:01:38.160 --> 00:01:42.240]  因為他說暫時南非不安全
[00:01:42.240 --> 00:01:46.160]  等到安全了 他才可以去到
[00:01:46.160 --> 00:01:51.280]  差不多可以達至 我不知道他現在已經去到南非了沒有
[00:01:51.280 --> 00:01:56.400]  因為也有半年沒見到他弟兄了
[00:01:56.400 --> 00:02:00.880]  另外我又認識一位牧師
[00:02:00.880 --> 00:02:04.480]  他不是想環遊世界
[00:02:04.480 --> 00:02:12.000]  他想拿著自己的卡拉OK去環遊澳洲一個圈
[00:02:12.000 --> 00:02:17.440]  我知道他已經完成了這個心願
[00:02:17.440 --> 00:02:20.320]  就是當他退休的時候
[00:02:20.320 --> 00:02:24.080]  他就和他的太太拿著他的卡拉OK
[00:02:24.080 --> 00:02:27.360]  遊了澳洲一個圈
[00:02:27.360 --> 00:02:29.760]  這個牧師釣魚很厲害的
[00:02:29.760 --> 00:02:31.840]  所以其實他和我談的時候
[00:02:31.840 --> 00:02:34.320]  他說他不擔心吃什麼
[00:02:34.320 --> 00:02:38.160]  因為他都是沿著海岸去走
[00:02:38.160 --> 00:02:42.480]  所以打算早、午、晚三餐都是吃什麼呢?
[00:02:42.480 --> 00:02:44.880]  就是吃釣回來的魚
[00:02:44.880 --> 00:02:49.200]  而且這個牧師已經服侍了一段很長的時間
[00:02:49.200 --> 00:02:55.120]  所以在澳洲不同的省份都認識了很多弟兄姊妹
[00:02:55.120 --> 00:03:00.400]  所以我相信他應該不會一天三餐吃魚的
[00:03:00.400 --> 00:03:04.480]  因為師母就會開始有些怨言
[00:03:04.480 --> 00:03:09.280]  應該去到不同地方都有人去接濟他
[00:03:09.280 --> 00:03:12.400]  去接待他可以吃一些好的食物
[00:03:12.400 --> 00:03:15.520]  不用吃魚
[00:03:15.520 --> 00:03:17.680]  無論是環遊世界或者環遊澳洲
[00:03:17.680 --> 00:03:19.440]  都有人去想過
[00:03:19.440 --> 00:03:25.440]  那有沒有人想過可以環遊宇宙呢?
[00:03:25.440 --> 00:03:27.760]  相信當我講到踏足宇宙
[00:03:27.760 --> 00:03:29.600]  大家應該會想起一個人的
[00:03:29.600 --> 00:03:32.560]  大家想起誰呢?
[00:03:32.560 --> 00:03:35.600]  就是Elon Musk
[00:03:35.600 --> 00:03:39.120]  因為他除了有公司出車之外
[00:03:39.120 --> 00:03:44.240]  可能在作當中是他的產品的受益者
[00:03:44.240 --> 00:03:48.160]  他還有一家公司叫SpaceX
[00:03:48.160 --> 00:03:52.560]  他在研發一個飛船可以將人帶到哪裡呢?
