
[00:00:00.000 --> 00:00:04.860]  天后上帝,我們感謝祢,讓我們可以一同有敬拜祢的時間
[00:00:04.860 --> 00:00:07.860]  我們知道祢招聚我們一齊
[00:00:07.860 --> 00:00:11.860]  我們作為一個群體,向祢獻上我們的敬拜
[00:00:11.860 --> 00:00:15.360]  求祢讓我們看見這不是必然的事情
[00:00:15.360 --> 00:00:19.360]  讓我們打從心底,向祢獻出我們的贊頌
[00:00:19.360 --> 00:00:21.860]  思想到很多人還未認識祢
[00:00:21.860 --> 00:00:25.360]  未有這個機會,未有這個恩典去敬拜祢的時候
[00:00:25.360 --> 00:00:31.360]  或者求祢施恩憐憫,好讓祂也能看見祢是各位萬國茫茫的主宰
[00:00:31.360 --> 00:00:33.360]  我們將以下時間,恭敬交上
[00:00:33.360 --> 00:00:37.360]  求祢借盡祢的話語,去改變我們的生命
[00:00:37.360 --> 00:00:39.360]  讓我們躺開我們的心去聆聽
[00:00:39.360 --> 00:00:43.360]  讓我們願意躺開我們的心去為祢而改變
[00:00:43.360 --> 00:00:47.360]  聽我們的禱告,奉求耶穌基督,得聖名至祈求,Amen
[00:00:47.360 --> 00:00:52.360]  在座當中有多少人去過北京旅行,可不可以舉舉手
[00:00:52.360 --> 00:00:56.360]  都很多,我就去過北京一次,不過那次不是去旅行
[00:00:56.360 --> 00:01:00.360]  就是去短暫途中隔兩天過一過
[00:01:00.360 --> 00:01:02.360]  所以很多地方都沒有去過
[00:01:02.360 --> 00:01:05.360]  通常去北京都有幾個指定動作要去
[00:01:05.360 --> 00:01:07.360]  少不免的就是要去長城
[00:01:07.360 --> 00:01:09.360]  我是沒有去過北京的長城
[00:01:09.360 --> 00:01:13.360]  我只是去過在山西那邊鎮北台
[00:01:13.360 --> 00:01:16.360]  都是很想去,未有機會去
[00:01:16.360 --> 00:01:21.360]  另一個免不免的就是現在要去一下奧運的場館的鳥巢
[00:01:21.360 --> 00:01:23.360]  我亦都沒有去過這個鳥巢
[00:01:23.360 --> 00:01:26.360]  我去過其他國家的場館,沒有去過這個
[00:01:26.360 --> 00:01:28.360]  有機會的話,我都會想去
[00:01:28.360 --> 00:01:32.360]  另外亦都很難免的就是要吃北京甜鴨
[00:01:32.360 --> 00:01:35.360]  我都沒有吃過北京的北京甜鴨
[00:01:35.360 --> 00:01:40.360]  我只是在美國吃過不錯的北京甜鴨,但都沒有吃過這些
[00:01:40.360 --> 00:01:42.360]  有機會的話,我都會想去試試
[00:01:42.360 --> 00:01:47.360]  另外有一個北京的國家博物館
[00:01:47.360 --> 00:01:52.360]  對不起,首都博物館,我沒有去過,不過我沒有興趣去
[00:01:52.360 --> 00:01:58.360]  我聽說雖然有不少的展品,但中國最好的文物其實不是在北京
[00:01:58.360 --> 00:02:03.360]  如果你想看最美、最有價值、最好的中國文物的話
[00:02:03.360 --> 00:02:05.360]  你應該去英國
[00:02:05.360 --> 00:02:10.360]  在大英博物館又搜羅了世界各地不同的美麗文物,包括中國的東西
[00:02:10.360 --> 00:02:18.360]  為什麼呢?因為在二次大戰期間,中國受到很多列強的侵略
[00:02:18.360 --> 00:02:22.360]  很多很多好的東西都被人拿走了
[00:02:22.360 --> 00:02:27.360]  包括在英國有的東西可能比在中國還要多
[00:02:27.360 --> 00:02:34.360]  當面對著八國聯軍和二次大戰那段侵華的時間
