
[00:00:00.000 --> 00:00:02.640]  下個星期是感恩節
[00:00:02.640 --> 00:00:06.720]  這個在北美非常之重視的節日
[00:00:06.720 --> 00:00:09.560]  其實是來自大約四百年前
[00:00:09.560 --> 00:00:15.520]  有一班為了逃避英國國教的一班清教徒
[00:00:15.520 --> 00:00:19.200]  他們坐著一隻船叫做五月花號
[00:00:19.200 --> 00:00:24.680]  就要橫跨大西洋去到美洲大陸那裡
[00:00:24.680 --> 00:00:28.360]  其實這個旅程相當之艱難
[00:00:28.360 --> 00:00:31.880]  因為全船人差不多死了一半
[00:00:31.880 --> 00:00:35.760]  剩下來的人靠著上帝的恩典
[00:00:35.760 --> 00:00:41.360]  當時也有一些印第安的土著幫助他們
[00:00:41.360 --> 00:00:43.800]  終於能夠安頓下來
[00:00:43.800 --> 00:00:47.960]  甚至可以歡歡喜喜地在那裡落地生根
[00:00:47.960 --> 00:00:51.200]  所以今天在這個感恩的主日
[00:00:51.200 --> 00:00:55.680]  我就用了喜樂與福祉作為一個題目
[00:00:55.680 --> 00:00:58.160]  跟大家來分享
[00:00:58.160 --> 00:01:04.120]  這是來自詩篇第十六篇的經文
[00:01:04.120 --> 00:01:08.720]  這是我其中一個相當喜歡的詩篇
[00:01:08.720 --> 00:01:13.480]  有聖經學者曾經稱它為信心之詩
[00:01:13.480 --> 00:01:18.080]  由於裡面有不少信仰的核心概念
[00:01:18.080 --> 00:01:25.320]  甚至有人將它拿來與《仕途信經》相提並論
[00:01:25.320 --> 00:01:30.160]  在這個詩篇第十六篇一開始的時候
[00:01:30.160 --> 00:01:31.680]  我不知道大家有沒有留意
[00:01:31.680 --> 00:01:36.160]  那裡寫著大衛的「金詩」這個標題
[00:01:36.160 --> 00:01:38.440]  「金詩」是什麼呢?
[00:01:38.440 --> 00:01:43.080]  其實到現在也不是有一個很確切的答案
[00:01:43.080 --> 00:01:46.320]  若果依照古猶太學者的說法
[00:01:46.320 --> 00:01:48.360]  可能是金色的珍寶
