
[00:00:00.000 --> 00:00:05.000]  我們所讀的《聖經》就是講到掃羅的故事
[00:00:05.000 --> 00:00:09.000]  我們沒有把掃羅的故事全部讀一遍
[00:00:09.000 --> 00:00:13.000]  我們會在交通的時候、分享的時候
[00:00:13.000 --> 00:00:21.000]  會把裡面的內容跟異動之美一起來說的
[00:00:21.000 --> 00:00:29.000]  這個兩段《聖經》就是講到順福神
[00:00:29.000 --> 00:00:36.000]  這個兩段《聖經》是說到掃羅不順福神
[00:00:36.000 --> 00:00:44.000]  這可以說是舊約歷史中間一個最慘痛的故事
[00:00:44.000 --> 00:00:54.000]  也就是掃羅王他怎麼樣失敗、墮落、被神厭棄的歷史
[00:00:54.000 --> 00:00:58.000]  掃羅王是以色列的第一個君王
[00:00:58.000 --> 00:01:03.000]  在掃羅以前是沒有王的
[00:01:03.000 --> 00:01:11.000]  有神來管理他們、有師師來管理他們
[00:01:11.000 --> 00:01:22.000]  以後百姓就要求先知撒末爾來給他們立個王
[00:01:22.000 --> 00:01:27.000]  因為他們看見在列國、在其他的國家都有王
[00:01:27.000 --> 00:01:29.000]  領他們打神仗
[00:01:29.000 --> 00:01:33.000]  現在他們又受到外邦人的欺壓
[00:01:33.000 --> 00:01:35.000]  因為是沒有王的緣故
[00:01:35.000 --> 00:01:41.000]  所以他要求神允許他們立個王來管理他們
[00:01:41.000 --> 00:01:44.000]  使他們可以強盛起來
[00:01:44.000 --> 00:01:48.000]  可以不受其他的外邦人的欺壓
[00:01:48.000 --> 00:01:53.000]  所以他可以說是以色列國的第一個王
[00:01:53.000 --> 00:01:55.000]  是神檢舉他的
[00:01:55.000 --> 00:01:59.000]  所以神就答應以色列的要求
[00:01:59.000 --> 00:02:01.000]  就跟撒末爾說
[00:02:01.000 --> 00:02:07.000]  先知撒末爾就給他們檢舉了個王
[00:02:07.000 --> 00:02:13.000]  這個掃羅王不是撒末爾自己看中的
[00:02:13.000 --> 00:02:17.000]  那是神說你到什麼地方去會發生什麼事情
[00:02:17.000 --> 00:02:19.000]  你會遇到掃羅
[00:02:19.000 --> 00:02:24.000]  這個人就是我要讓他來做王的
[00:02:24.000 --> 00:02:26.000]  所以這個是神所揀選的
[00:02:26.000 --> 00:02:29.000]  也是神所告的
[00:02:29.000 --> 00:02:35.000]  撒末爾按照神的命令就告了掃羅做了王
[00:02:35.000 --> 00:02:39.000]  這都是神的意思
[00:02:39.000 --> 00:02:44.000]  神也記得他救了以色列人
[00:02:44.000 --> 00:02:50.000]  脫離當時的斐理斯人和其他外邦人的欺壓
[00:02:50.000 --> 00:02:52.000]  他也打了聖仗
[00:02:52.000 --> 00:02:54.000]  但他做了王以後
[00:02:54.000 --> 00:02:58.000]  他有兩次犯罪不順乎神
[00:02:58.000 --> 00:03:01.000]  他的犯罪就是不順乎神
[00:03:01.000 --> 00:03:05.000]  以致神說不要他再做王了
[00:03:05.000 --> 00:03:09.000]  神已經找到一個合乎神心意的人
[00:03:09.000 --> 00:03:13.000]  我們知道這個人以後知道就是大衛
[00:03:13.000 --> 00:03:17.000]  他說神已經找到一個合他心意的
[00:03:17.000 --> 00:03:22.000]  就是他所做的事情是跟神的意思相符合的
[00:03:22.000 --> 00:03:24.000]  他是能夠順乎神的
[00:03:24.000 --> 00:03:30.000]  這樣的話這個掃羅就被神廢棄了
[00:03:30.000 --> 00:03:34.000]  就不讓他做王了
[00:03:34.000 --> 00:03:38.000]  雖然他不是說當時立刻把他給拿下來不做王
[00:03:38.000 --> 00:03:43.000]  還讓他做王也有一段時間
[00:03:43.000 --> 00:03:49.000]  但是最後在他死了以後
[00:03:49.000 --> 00:03:55.000]  他的兒子並沒有接替他的位置來做王
[00:03:55.000 --> 00:03:59.000]  神就是不要掃羅再繼續做王了
[00:03:59.000 --> 00:04:01.000]  最後掃羅怎麼死的呢
[00:04:01.000 --> 00:04:06.000]  就在戰場上被敵人打死了
[00:04:06.000 --> 00:04:08.000]  所以不但失去了王位
[00:04:08.000 --> 00:04:11.000]  而且連性命都丟掉了
[00:04:11.000 --> 00:04:13.000]  所以從這個地方我們看到
[00:04:13.000 --> 00:04:16.000]  這是一個第一個王
[00:04:16.000 --> 00:04:19.000]  第一個王應該是最好一個王了
[00:04:19.000 --> 00:04:21.000]  神既然揀選了
[00:04:21.000 --> 00:04:24.000]  他就應該是成為最好的王
[00:04:24.000 --> 00:04:25.000]  結果我們看見
[00:04:25.000 --> 00:04:28.000]  令我們覺得很可惜的
[00:04:28.000 --> 00:04:31.000]  就掃羅他不順乎神
[00:04:31.000 --> 00:04:37.000]  以致失去了王的位置
[00:04:37.000 --> 00:04:40.000]  他這兩次的不順乎神
