
[00:00:00.000 --> 00:00:02.000]  當然是一個不容易的事
[00:00:02.000 --> 00:00:05.000]  當我準備這篇講章
[00:00:05.000 --> 00:00:08.000]  在中段的時候
[00:00:08.000 --> 00:00:11.000]  碰巧香港掛十號風球
[00:00:11.000 --> 00:00:12.000]  剛剛是星期一
[00:00:12.000 --> 00:00:15.000]  大概天問台早就預計了
[00:00:15.000 --> 00:00:18.000]  六點多會掛八號風球
[00:00:18.000 --> 00:00:21.000]  我當時我記得我預早走了
[00:00:21.000 --> 00:00:22.000]  預了一個小時
[00:00:22.000 --> 00:00:25.000]  但是逃不過這個
[00:00:25.000 --> 00:00:28.000]  我想很多香港人也看新聞看到
[00:00:28.000 --> 00:00:31.000]  迫到不能動的等候的艱難
[00:00:31.000 --> 00:00:35.000]  我記得我在天後乘坐到金鐘轉車的時候
[00:00:35.000 --> 00:00:38.000]  去到那個位置大概前面的龍
[00:00:38.000 --> 00:00:41.000]  也是從這裡去到琴左右
[00:00:41.000 --> 00:00:43.000]  平日三秒鐘走到去
[00:00:43.000 --> 00:00:46.000]  就算有人排隊也是兩輛車搞定
[00:00:46.000 --> 00:00:48.000]  不過那天星期一
[00:00:48.000 --> 00:00:52.000]  足足三十輛車經過我也上不到
[00:00:52.000 --> 00:00:55.000]  因為原來有人比我更醒目
[00:00:55.000 --> 00:00:56.000]  早一個小時走
[00:00:56.000 --> 00:00:59.000]  我估中環一早車已經滿了
[00:00:59.000 --> 00:01:01.000]  才來到金鐘
[00:01:01.000 --> 00:01:03.000]  他比我更早走
[00:01:03.000 --> 00:01:07.000]  所以經歷了四十多分鐘
[00:01:07.000 --> 00:01:09.000]  每一分鐘一班車去到
[00:01:09.000 --> 00:01:10.000]  我真的計算過差不多
[00:01:10.000 --> 00:01:11.000]  已經很密了
[00:01:11.000 --> 00:01:13.000]  在那個等候過程
[00:01:13.000 --> 00:01:15.000]  我覺得真的很痛苦
[00:01:15.000 --> 00:01:17.000]  因為我其實等到第二輛車
[00:01:17.000 --> 00:01:19.000]  我發現每輛車都滿
[00:01:19.000 --> 00:01:20.000]  上得幾個人
[00:01:20.000 --> 00:01:22.000]  我都想著自己很醒目
[00:01:22.000 --> 00:01:23.000]  立刻掉頭走
[00:01:23.000 --> 00:01:26.000]  我打算坐地鐵去到中環才回來
[00:01:26.000 --> 00:01:29.000]  不過當時排隊一掉頭的時候
[00:01:29.000 --> 00:01:32.000]  就好像有那麼多人在我後面
[00:01:32.000 --> 00:01:34.000]  我就知道了
[00:01:34.000 --> 00:01:37.000]  原來前無去路後有追兵
[00:01:37.000 --> 00:01:38.000]  是什麼意思
[00:01:38.000 --> 00:01:40.000]  在那等到沒多久
[00:01:40.000 --> 00:01:42.000]  很快在我旁邊有個媽媽大叫
[00:01:42.000 --> 00:01:44.000]  不要再逼了
[00:01:44.000 --> 00:01:45.000]  有小孩了
[00:01:45.000 --> 00:01:46.000]  他死了
[00:01:46.000 --> 00:01:48.000]  我一看原來有個四歲的小孩
[00:01:48.000 --> 00:01:50.000]  很多人不停地逼
[00:01:50.000 --> 00:01:52.000]  逼到他根本看都看不到
[00:01:52.000 --> 00:01:53.000]  氣都透不出來
[00:01:53.000 --> 00:01:55.000]  然後在這邊的車廂
[00:01:55.000 --> 00:01:56.000]  有人大叫
[00:01:56.000 --> 00:01:57.000]  不要再逼了
[00:01:57.000 --> 00:01:58.000]  不要打尖了
[00:01:58.000 --> 00:02:01.000]  我看一看有誰不在打尖呢
[00:02:01.000 --> 00:02:02.000]  都很明白
[00:02:02.000 --> 00:02:03.000]  打封
[00:02:03.000 --> 00:02:05.000]  誰還想在這等
[00:02:05.000 --> 00:02:06.000]  前又不到
[00:02:06.000 --> 00:02:07.000]  後又不到
[00:02:07.000 --> 00:02:10.000]  然後在旁邊有一個乘客
[00:02:10.000 --> 00:02:11.000]  說了一句話
[00:02:11.000 --> 00:02:12.000]  因為太有空
[00:02:12.000 --> 00:02:14.000]  在想著在哪裡聽
[00:02:14.000 --> 00:02:17.000]  他說了一個幽默的說話
[00:02:17.000 --> 00:02:19.000]  他說我旁邊而已
[00:02:19.000 --> 00:02:20.000]  他的距離很近
[00:02:20.000 --> 00:02:21.000]  他說哇
[00:02:21.000 --> 00:02:22.000]  他跟他朋友說
[00:02:22.000 --> 00:02:24.000]  他的距離好像很近
[00:02:24.000 --> 00:02:28.000]  不過不知道為什麼走多遠都走不到
[00:02:28.000 --> 00:02:31.000]  是有時候等候可能也是這樣
[00:02:31.000 --> 00:02:33.000]  好像很近
[00:02:33.000 --> 00:02:34.000]  好像有些事快要發生
[00:02:34.000 --> 00:02:37.000]  但走多遠都走不到
[00:02:37.000 --> 00:02:41.000]  等待是人生少不了的功課
[00:02:41.000 --> 00:02:43.000]  有人這麼說
