
[00:00:00.000 --> 00:00:05.000]  弟兄姊妹平安 很高興能夠跟大家一起敬拜
[00:00:05.000 --> 00:00:08.000]  做禮拜 也一起學習
[00:00:08.000 --> 00:00:11.000]  剛才禱告的時候 我有一個新的發現
[00:00:11.000 --> 00:00:15.000]  以前沒有留意 我發現大家很安靜
[00:00:15.000 --> 00:00:17.000]  因為很多普通話的聚會
[00:00:17.000 --> 00:00:23.000]  因為一些基督徒都是在國內已經信主的
[00:00:23.000 --> 00:00:25.000]  所以有一個習慣就是講阿們
[00:00:25.000 --> 00:00:29.000]  而且很大的聲音 所以不同的情況
[00:00:29.000 --> 00:00:31.000]  我猜想大家這麼安靜
[00:00:31.000 --> 00:00:34.000]  可能是在香港信主 也說不定
[00:00:34.000 --> 00:00:37.000]  或者還沒有信主 我也不知道
[00:00:37.000 --> 00:00:39.000]  這是我今天的一個發現
[00:00:39.000 --> 00:00:41.000]  我發現很安靜
[00:00:41.000 --> 00:00:43.000]  通常普通話聚會就是
[00:00:43.000 --> 00:00:45.000]  傳道人禱告就阿們 阿們
[00:00:45.000 --> 00:00:49.000]  大家有沒有在內地參加過聚會
[00:00:49.000 --> 00:00:52.000]  就在祖國有 是不是聲音都很大
[00:00:52.000 --> 00:00:54.000]  對吧 都阿們
[00:00:54.000 --> 00:01:00.000]  我們非常感化 很安靜 很特別
[00:01:00.000 --> 00:01:04.000]  六月今天是最後一天
[00:01:04.000 --> 00:01:09.000]  過了今天也就是進入今年的下半年了
[00:01:09.000 --> 00:01:12.000]  通常我們可以趁著這樣的時間
[00:01:12.000 --> 00:01:13.000]  可以反省一下
[00:01:13.000 --> 00:01:16.000]  今年一月到六月上半年
[00:01:16.000 --> 00:01:19.000]  都有哪些怎樣怎樣的事情
[00:01:19.000 --> 00:01:22.000]  最簡單的就是有什麼最感恩的事情
[00:01:22.000 --> 00:01:25.000]  或者有什麼最要改正的事情
[00:01:25.000 --> 00:01:27.000]  但是很多改正的事情
[00:01:27.000 --> 00:01:29.000]  不是不知道 而是沒有能力
[00:01:29.000 --> 00:01:32.000]  但是也要自己思考一下
[00:01:32.000 --> 00:01:34.000]  不放棄 放在禱告裡面
[00:01:34.000 --> 00:01:36.000]  今年上半年哪一件事情
[00:01:36.000 --> 00:01:40.000]  做得很惋惜 很遺憾
[00:01:40.000 --> 00:01:43.000]  希望下半年能夠改正等等
[00:01:43.000 --> 00:01:46.000]  那麼這個月 六月
[00:01:46.000 --> 00:01:48.000]  我有一兩件感恩的事情
[00:01:48.000 --> 00:01:51.000]  比較不是每個月都發生的
[00:01:51.000 --> 00:01:54.000]  就是我跟周師母去了一次內地
[00:01:54.000 --> 00:01:58.000]  去有一點服飾 走了兩個省
[00:01:58.000 --> 00:02:01.000]  那麼因為那個城市比較大
[00:02:01.000 --> 00:02:04.000]  而且他們是很多做生意的人
[00:02:04.000 --> 00:02:07.000]  所以他們租了一個大的酒店
[00:02:07.000 --> 00:02:09.000]  但是又是在農村
[00:02:09.000 --> 00:02:12.000]  所以租的那個房間 那個會議廳
[00:02:12.000 --> 00:02:15.000]  可以大聲唱詩 都很平安
[00:02:15.000 --> 00:02:21.000]  所以很感恩 是夫妻參加的
[00:02:21.000 --> 00:02:23.000]  那麼夫妻參加的聚會
[00:02:23.000 --> 00:02:27.000]  多半是丈夫被逼跟著妻子去的
[00:02:27.000 --> 00:02:31.000]  因此很多丈夫都是不信主的
[00:02:31.000 --> 00:02:33.000]  可是兩三天以後
[00:02:33.000 --> 00:02:35.000]  丈夫最後做見證的時候
[00:02:35.000 --> 00:02:37.000]  就是夫妻都要出來講話
[00:02:37.000 --> 00:02:43.000]  大部分都說 明年這樣會再有夫妻的
[00:02:43.000 --> 00:02:47.000]  這樣在酒店的聚會 我還要參加
[00:02:47.000 --> 00:02:48.000]  所以我們就想到
[00:02:48.000 --> 00:02:53.000]  夫妻到酒店的聚會其實是滿不錯的
[00:02:53.000 --> 00:02:57.000]  可以傳福音 這件事情很感恩
[00:02:57.000 --> 00:02:59.000]  當然我跟師母這次去
[00:02:59.000 --> 00:03:01.000]  以夫妻的事分為主
[00:03:01.000 --> 00:03:04.000]  也是我跟著師母去的
[00:03:04.000 --> 00:03:07.000]  所以一切要見的人 各種活動
[00:03:07.000 --> 00:03:10.000]  我也是有心的學習 說得不錯
[00:03:10.000 --> 00:03:11.000]  以後再有這樣的聚會
[00:03:11.000 --> 00:03:14.000]  我覺得應該還是努力的支持
[00:03:14.000 --> 00:03:18.000]  去另外一個省是個別的見人吃飯
[00:03:18.000 --> 00:03:21.000]  有的時候我們小看個別見人
[00:03:21.000 --> 00:03:24.000]  三個人 兩個人 五個人 這樣十個人
[00:03:24.000 --> 00:03:26.000]  這樣的吃飯談話
[00:03:26.000 --> 00:03:29.000]  有的時候比五十個人 一百個人更寶貴
[00:03:29.000 --> 00:03:32.000]  第二件感恩的事情我想也提一下
[00:03:32.000 --> 00:03:34.000]  跟我沒有直接的關係
[00:03:34.000 --> 00:03:36.000]  只是有好朋友他告訴我說
[00:03:36.000 --> 00:03:38.000]  周牧師 這次我們的聚會
[00:03:38.000 --> 00:03:42.000]  培訓有五十個人來 是在香港
[00:03:42.000 --> 00:03:46.000]  也是內地的一些服侍的弟兄姊妹
[00:03:46.000 --> 00:03:47.000]  也是傳道人
[00:03:47.000 --> 00:03:50.000]  所以剛剛結束 禮拜一到禮拜五
[00:03:50.000 --> 00:03:51.000]  他們覺得很開心
[00:03:51.000 --> 00:03:53.000]  然後我就告訴他
[00:03:53.000 --> 00:03:54.000]  因為他是一個很擔心的人
[00:03:54.000 --> 00:03:57.000]  常常看新聞覺得香港很多改變
[00:03:57.000 --> 00:03:58.000]  是不是很危險呢
[00:03:58.000 --> 00:04:01.000]  我說我跟師母到了兩個省
[00:04:01.000 --> 00:04:03.000]  我們聚會很開心 很多人聚集
[00:04:03.000 --> 00:04:04.000]  他說你們不要緊嗎
[00:04:04.000 --> 00:04:05.000]  我說當然不要緊
[00:04:05.000 --> 00:04:07.000]  很多事情都是很好的
[00:04:07.000 --> 00:04:09.000]  一切平安 沒有事
[00:04:09.000 --> 00:04:11.000]  然後我就安慰他
[00:04:11.000 --> 00:04:13.000]  我說你們在香港也是繼續努力
[00:04:13.000 --> 00:04:14.000]  做宣教的施工
[00:04:14.000 --> 00:04:16.000]  因為他們有的同工不是住在香港的
[00:04:16.000 --> 00:04:18.000]  是從別的地方來
[00:04:18.000 --> 00:04:21.000]  另外我們在內地的時候
[00:04:21.000 --> 00:04:25.000]  接待我們的姊妹 同工 服侍的
[00:04:25.000 --> 00:04:27.000]  他們又講他們在泰國
[00:04:27.000 --> 00:04:29.000]  參加一個服侍的聚會
[00:04:29.000 --> 00:04:30.000]  是關於宣教的
[00:04:30.000 --> 00:04:33.000]  而那個宣教是關心另外一個地區的
[00:04:33.000 --> 00:04:37.000]  講一講那個姊妹就很激動 很感動
[00:04:37.000 --> 00:04:39.000]  所以這世界上
[00:04:39.000 --> 00:04:40.000]  單單在六月
[00:04:40.000 --> 00:04:43.000]  我們兩個人所經歷的
[00:04:43.000 --> 00:04:44.000]  短短的時間裡面
[00:04:44.000 --> 00:04:46.000]  就聽到很多宣教的
[00:04:46.000 --> 00:04:51.000]  很多激勵人心的事情
[00:04:51.000 --> 00:04:52.000]  唱詩的時候我聽到
[00:04:52.000 --> 00:04:54.000]  帶領四個的姊妹說
[00:04:54.000 --> 00:05:00.000]  好像這個月是曾經猜傳月
[00:05:00.000 --> 00:05:02.000]  所以猜傳月的最後一天
[00:05:02.000 --> 00:05:05.000]  大家也跟我一起禱告
[00:05:05.000 --> 00:05:07.000]  一起反省 一起努力
[00:05:07.000 --> 00:05:09.000]  剛好我們今天的經文也是
[00:05:09.000 --> 00:05:12.000]  史圖保羅他和巴拿巴
[00:05:12.000 --> 00:05:15.000]  還有一個新的一代的年輕人
[00:05:15.000 --> 00:05:17.000]  我看到我們當中也有年輕人
[00:05:17.000 --> 00:05:18.000]  雖然不多
[00:05:18.000 --> 00:05:20.000]  這個是能夠看到教會的將來
[00:05:20.000 --> 00:05:22.000]  如果教會
[00:05:22.000 --> 00:05:24.000]  我這樣講不好意思 但是是現實
[00:05:24.000 --> 00:05:26.000]  都是白頭髮的
[00:05:26.000 --> 00:05:28.000]  或者是沒有頭髮的
[00:05:28.000 --> 00:05:33.000]  或者是怎樣的都是老年人的話
[00:05:33.000 --> 00:05:36.000]  這個教會三十年以後就沒有了
[00:05:36.000 --> 00:05:38.000]  但是如果教會有很多兒童
[00:05:38.000 --> 00:05:40.000]  很多青少年
[00:05:40.000 --> 00:05:41.000]  很多年輕人
[00:05:41.000 --> 00:05:42.000]  很多中年人的話
[00:05:42.000 --> 00:05:44.000]  你會知道二十年後
[00:05:44.000 --> 00:05:46.000]  三十年後 五十年後
[00:05:46.000 --> 00:05:48.000]  這個教會還會在這裡
[00:05:48.000 --> 00:05:50.000]  我們不要驕傲說
[00:05:50.000 --> 00:05:53.000]  我們教會五十年後會在這裡
[00:05:53.000 --> 00:05:54.000]  因為我關心韓國教會
