
[00:00:00.000 --> 00:00:02.420]  「獵王記」的第二講
[00:00:02.420 --> 00:00:06.080]  要講「獵王記」上的第一章
[00:00:06.080 --> 00:00:07.960]  又講回舊約
[00:00:07.960 --> 00:00:11.160]  又要講故事,這個講古佬
[00:00:11.160 --> 00:00:15.620]  由故事當中我們找到神學的思想
[00:00:15.620 --> 00:00:18.020]  這個就是舊約
[00:00:18.020 --> 00:00:20.280]  新約就很直接了
[00:00:20.280 --> 00:00:23.140]  我今天給他的題目叫做
[00:00:23.140 --> 00:00:29.300]  「王謂屬誰,人看智慧,神看英許」
[00:00:29.300 --> 00:00:33.800]  其實「獵王記」上的文筆是非常精彩
[00:00:33.800 --> 00:00:35.800]  精彩到不得了
[00:00:35.800 --> 00:00:39.380]  在「獵王記」裡的第一章
[00:00:39.380 --> 00:00:42.100]  有兩個字是重複出現的
[00:00:42.100 --> 00:00:44.100]  一個字就是「Yada」
[00:00:44.100 --> 00:00:46.400]  就是「認識」、「認知」
[00:00:46.400 --> 00:00:49.700]  甚至可以解釋做親密的關係
[00:00:49.700 --> 00:00:51.900]  記不記得我跟大家都講過
[00:00:51.900 --> 00:00:56.900]  在創世紀,亞當認識夏娃就出現什麼事
[00:00:56.900 --> 00:01:00.900]  搞出人命,生了蓋引
[00:01:00.900 --> 00:01:05.200]  這個就是「認識」、「認知」
[00:01:05.200 --> 00:01:08.600]  就是希伯來文的「Yada」這個字
[00:01:08.600 --> 00:01:12.100]  但是另外有一個字在第一章
[00:01:12.100 --> 00:01:14.900]  重複出現的是什麼
[00:01:14.900 --> 00:01:16.400]  就是「Shaba」
[00:01:16.400 --> 00:01:18.400]  就是「世」,「起世」
[00:01:18.400 --> 00:01:20.900]  這個字都是重複出現
[00:01:20.900 --> 00:01:22.900]  我今天的題目就是
[00:01:22.900 --> 00:01:26.400]  「人看智慧,神看英許」
[00:01:26.400 --> 00:01:29.700]  人來講是靠我們的智慧,我們的知識
[00:01:29.700 --> 00:01:34.900]  甚至與人之間有親密的關係,搞關係
[00:01:34.900 --> 00:01:36.900]  但是神是看什麼的?
[00:01:36.900 --> 00:01:38.900]  神是看祂的英許
[00:01:38.900 --> 00:01:42.900]  如果祂曾經「起世」的話
[00:01:42.900 --> 00:01:48.400]  祂曾經是神的誓言,就一定會發生
[00:01:48.400 --> 00:01:50.900]  這個就是我們今天的題目
[00:01:50.900 --> 00:01:53.660]  說開又說
[00:01:53.660 --> 00:01:57.400]  有沒有看到我今天的封面,漂亮嗎?
[00:01:57.400 --> 00:02:02.400]  我也懂得用AI來幫我設計我的封面
[00:02:02.400 --> 00:02:08.400]  我絕對不會用AI來幫助我有關講道的內容
[00:02:08.400 --> 00:02:11.400]  AI來講,你叫它弄一幅圖給你
[00:02:11.400 --> 00:02:13.400]  弄一個片段給你
[00:02:13.400 --> 00:02:14.400]  沒得談
[00:02:14.400 --> 00:02:16.400]  甚至你要查一查
[00:02:16.400 --> 00:02:19.400]  在聖經裡面這件事有沒有發生過
[00:02:19.400 --> 00:02:21.400]  這些是很準確
[00:02:21.400 --> 00:02:26.400]  但是神學來說,實在是不敢恭維
[00:02:26.400 --> 00:02:31.400]  你要什麼神學觀,AI都懂得給你看
[00:02:31.400 --> 00:02:33.900]  所以有很多時候我們要很小心
[00:02:33.900 --> 00:02:37.400]  現在在網上,你聽很多的講道
[00:02:37.400 --> 00:02:40.400]  都可能是AI弄出來的
[00:02:40.400 --> 00:02:42.900]  你說牧師英,我就不會了
[00:02:42.900 --> 00:02:46.400]  我會選那些講員是我喜歡的
[00:02:46.400 --> 00:02:48.400]  都會很危險的
[00:02:48.400 --> 00:02:52.400]  我告訴你,我很喜歡聽John MacArthur講道
[00:02:52.400 --> 00:02:55.400]  有一次我在網上看到一篇道
[00:02:55.400 --> 00:02:57.400]  我還沒聽過
[00:02:57.400 --> 00:02:59.400]  我就去聽
[00:02:59.400 --> 00:03:02.400]  那個視頻是John MacArthur
[00:03:02.400 --> 00:03:05.400]  聲音也是John MacArthur
[00:03:05.400 --> 00:03:07.400]  為什麼我說他講出來的東西
