
[00:00:00.000 --> 00:00:05.440]  我找出埃及記大概有個概念
[00:00:05.440 --> 00:00:09.320]  其實四十章的經文裏分三個大段落
[00:00:09.320 --> 00:00:11.200]  頭十八章都是講
[00:00:11.200 --> 00:00:15.680]  神藉著摩西帶領以色列人離開埃及
[00:00:15.680 --> 00:00:17.360]  拯救了以色列人
[00:00:17.360 --> 00:00:22.480]  中間那六章是講到摩西傳遞神的律法
[00:00:22.480 --> 00:00:27.440]  最後十六章是講神的會幕建立起來
[00:00:27.440 --> 00:00:30.040]  大家大概有一些概念
[00:00:30.040 --> 00:00:33.840]  我取這個講到的題目
[00:00:33.840 --> 00:00:35.720]  《漫天烽火代黎明》
[00:00:35.720 --> 00:00:38.400]  其實不是我自己創作出來的
[00:00:38.400 --> 00:00:44.080]  這個其實是我取自葛培里穆斯的一本書
[00:00:44.080 --> 00:00:47.000]  他在1987年寫過這本書
[00:00:47.000 --> 00:00:49.320]  叫做《漫天烽火代黎明》
[00:00:49.320 --> 00:00:51.440]  英文就是《World Aflame》
[00:00:51.440 --> 00:00:56.840]  很多人因為讀了這本書而信了耶穌
[00:00:56.840 --> 00:01:02.600]  有人介紹這本書是認識基督真道
[00:01:02.600 --> 00:01:06.800]  為何能解決世界和個人問題的必讀書
[00:01:06.800 --> 00:01:10.640]  是福音真義的精簡說明
[00:01:10.640 --> 00:01:17.000]  書裏很仔細分析了現代道德和政治的情況
[00:01:17.000 --> 00:01:22.120]  還有探討這個世界古怪多變的國際問題
[00:01:22.120 --> 00:01:26.120]  解釋為何人類深感驕傲的文明
[00:01:26.120 --> 00:01:29.280]  反而會產生很多道德的墮落
[00:01:29.280 --> 00:01:30.520]  偶像崇拜
[00:01:30.520 --> 00:01:33.120]  以至陷入無窮的禍害
[00:01:33.120 --> 00:01:35.960]  烽火漫天的原因
[00:01:35.960 --> 00:01:38.920]  還有他指出為何轉向基督
[00:01:38.920 --> 00:01:41.280]  可以獲得個人的重生
[00:01:41.280 --> 00:01:43.280]  世界得到新生
[00:01:43.280 --> 00:01:46.120]  人可以渡過黑夜進入黎明
[00:01:46.120 --> 00:01:51.560]  如果大家有興趣都可以去讀一下這本書
[00:01:51.560 --> 00:01:53.440]  在《出埃及記》裏面
[00:01:53.440 --> 00:01:58.320]  對於在埃及經歷了四百多年後
[00:01:58.320 --> 00:02:01.920]  不斷繁衍增多的雅各後裔
[00:02:01.920 --> 00:02:07.280]  他們竟然被新興起的埃及王迫害
[00:02:07.280 --> 00:02:12.720]  到底昔日上帝對他們的先祖阿伯拉罕的應許
[00:02:12.720 --> 00:02:14.520]  能否兌現呢
[00:02:14.520 --> 00:02:19.560]  我們先看看神曾經給予阿伯拉罕甚麼應許
[00:02:19.560 --> 00:02:25.000]  他跟阿伯拉罕說過「我要使你成為大國
[00:02:25.000 --> 00:02:27.560]  你也必使別人得福
[00:02:27.560 --> 00:02:32.880]  還有地上的萬族也要因你得福」
[00:02:32.880 --> 00:02:35.800]  這是首次的應許
[00:02:35.800 --> 00:02:40.080]  接著往後神也跟阿伯拉罕對話過好幾次
[00:02:40.080 --> 00:02:41.560]  後來又跟他說
[00:02:41.560 --> 00:02:44.440]  「你要作多國的符 作萬國的符
[00:02:44.440 --> 00:02:46.160]  你要極其昌盛
[00:02:46.160 --> 00:02:49.400]  國道因你而立 君王從你而出
[00:02:49.400 --> 00:02:52.160]  還有我要將你現在居住的地
[00:02:52.160 --> 00:02:55.040]  就是迦南泉地賜給你和你的後裔
[00:02:55.040 --> 00:02:56.960]  作永遠的產業
[00:02:56.960 --> 00:03:00.280]  我要作你們的神」
[00:03:00.280 --> 00:03:03.880]  面對著埃及新皇帝的打壓政策
[00:03:03.880 --> 00:03:08.600]  和隨之而來的種族清洗和消滅的計劃
[00:03:08.600 --> 00:03:11.480]  以色列人的前途又會是怎樣呢
[00:03:11.480 --> 00:03:17.320]  似乎他們現在面對的正是萬天烽火的光景
[00:03:17.320 --> 00:03:23.520]  我們先看看以色列人面對的困境
[00:03:23.520 --> 00:03:27.800]  背後這個法老要這樣去害他們
[00:03:27.800 --> 00:03:30.640]  要逼迫他們的背景是怎樣呢
[00:03:30.640 --> 00:03:35.400]  話說昔日雅各帶著他的兒子
[00:03:35.400 --> 00:03:37.320]  除了約瑟已經在埃及外
[00:03:37.320 --> 00:03:42.600]  他帶著另外的兒子和家眷一起去埃及
[00:03:42.600 --> 00:03:45.640]  當時他們只有70人
[00:03:45.640 --> 00:03:48.320]  但後來隨著一代一代的過去
[00:03:48.320 --> 00:03:51.440]  以色列人生養繁衍眾多
