
[00:00:00.000 --> 00:00:03.360]  「多神之母,讓我們聽神的導議,先讓我們同心同覺。」
[00:00:03.360 --> 00:00:07.440]  「地主們,讓我們聽到之前先同心禱告。」
[00:00:07.440 --> 00:00:14.480]  「慈悲父神,多謝祢,讓我們能夠再次回來,打開祢的說話,一起同心領受主祢的教訓。」
[00:00:14.480 --> 00:00:20.280]  「求主祢與我們同在,讓我們能夠真正明白祢的心意,祢的心腸。」
[00:00:20.280 --> 00:00:25.800]  「多神,我們在敬拜過後,不會是沒有失的,繼續走我們面前的路。」
[00:00:25.800 --> 00:00:32.480]  「讓我們清楚知道上帝祢的心意是怎樣,而我們往前走一條合主祢的心意的路。」
[00:00:32.480 --> 00:00:34.480]  「求求主祢再幫助我們。」
[00:00:34.480 --> 00:00:37.920]  「我們親愛的主人,感謝祢,讓我們今天能夠再次打開祢的說話。」
[00:00:37.920 --> 00:00:45.280]  「透過祢的話語,一同來到魔掌,領樂主祢的心意,祢的生命。」
[00:00:45.280 --> 00:00:50.720]  「到祢上面,希望我們應當怎麼樣活在我們每個基督的生命上面。」
[00:00:50.720 --> 00:00:55.840]  「我們再次懇求祢,讓祢的靈幫助我們領受主祢的教訓之後。」
[00:00:55.840 --> 00:01:01.280]  「能夠在往後的日子當中,我們不會冒失來走走面前的路。」
[00:01:01.280 --> 00:01:07.880]  「打過來,我們真正覺悉的來到明白,我們所走的路,什麼樣才能夠擁有主祢。」
[00:01:07.880 --> 00:01:09.880]  「神父,再次感謝祢。」
[00:01:09.880 --> 00:01:18.560]  「祢讓我們再次回到祢的文書,讓我們明白祢的心意,祢想讓我們走的路。」
[00:01:18.560 --> 00:01:25.440]  「讓我們再次誠信祢的生命,透過祢的聖靈,透過祢的靈,讓我們了解祢的來臨。」
[00:01:25.440 --> 00:01:36.960]  「我們的未來的生命,是一種意義和價值的生命,基於祢為我們等待的。」
[00:01:36.960 --> 00:01:42.600]  「我們再次懇求祢,在我們聽到祢的說話之後。」
[00:01:42.600 --> 00:01:49.480]  「讓我們知道如何在我們的日常生活中,繼續活到達祢的教導。」
[00:01:49.480 --> 00:01:51.480]  「我們在名義上祈求神父,耶穌基督。」
[00:01:51.480 --> 00:01:53.480]  Amen
[00:02:12.600 --> 00:02:21.280]  「一個兒子在父親餵食的時候,跟他爸爸說:「我要分你身家,我要把你的錢,你不該屬於我的,將它分給我。」
[00:02:21.280 --> 00:02:28.440]  「奇怪的是,這個爸爸沒有阻止他這個兒子的要求。」
[00:02:28.440 --> 00:02:35.080]  「心是否想這樣呢?當然不想這樣。」
[00:02:35.080 --> 00:02:39.360]  「但是他明白,阻止也阻不住他這個兒子的決定。」
[00:02:39.360 --> 00:02:42.640]  「他想阻止也阻不住他這個兒子的決定。」
[00:02:42.640 --> 00:02:53.480]  「於是把錢分給他,看著他如何把錢放在口袋裡,然後如何去浪費他的人生,毀他自己的人生。」
