
[00:00:00.000 --> 00:00:17.000]  今天特別是復活節的主日,主耶穌釘在十字架上,埋葬,第三日復活。
[00:00:17.000 --> 00:00:34.000]  我們今天來到祂面前的時候,我們知道這位君王,這位得勝的主,祂已經在天上,祂準備迎接我們。
[00:00:34.000 --> 00:00:48.000]  有一天我們和祂在天上,當主耶穌回來的時候,我們都會被提到天上,與主相遇。
[00:00:48.000 --> 00:01:10.000]  然後我們一起和主再回到地上,神給我們一個新的生活,有神的白色寶座的大審判,我們和祂一起得勝。
[00:01:10.000 --> 00:01:24.000]  雖然今天這個世界有很多災難,但我們深信主會帶領我們,我們一起去思想,今天這個題目就是「與主同走得勝路」。
[00:01:24.000 --> 00:01:33.000]  我們今天分享的題目是「與主同走得勝路」,是透過剛才所讀的詩篇,22篇,22到31節,
[00:01:33.000 --> 00:01:40.000]  是透過剛才所讀的詩篇,22篇,22到31節,
[00:01:40.000 --> 00:01:44.000]  準備之前讓我們先同心打告,
[00:01:44.000 --> 00:01:50.000]  愛我們的天父,我們感謝讚美祢,多謝祢讓我們能夠靠著祢的能力,行走每一天。
[00:01:50.000 --> 00:01:58.000]  我們感謝祢已經是得勝,並且是得勝有餘,祢叫我們同樣可以靠著祢在這個地上過一個得勝的生活。
[00:01:58.000 --> 00:02:10.000]  雖然這個世界有很多苦難,也有很多不同的困難,但我們深信我們的主耶穌會給我們能力,帶領我們靠著祢過每一天打得勝的仗。
[00:02:10.000 --> 00:02:16.000]  讓主引領我們以下的時間,我們恭敬,將我們各人都交在主的手中,求主幫助。
[00:02:16.000 --> 00:02:29.000]  如果我們心靈有轉弱,身體有轉弱,求主因手賦詞,你親自的醫治,加力,幫助我們,繼續靠著你的能力,在這個世上去見證明教主的名。
[00:02:29.000 --> 00:02:38.000]  求主引領我們以下的時間,證明啟迪我們心靈明白你的話語,我們同心的祈禱,是奉靠主耶穌基督得勝的名求,阿們。
[00:02:38.000 --> 00:03:00.000]  今天這個世界有很多人要去爭和,無論他用什麼方法,就算是犧牲別人,都是一將功成萬骨枯。
[00:03:00.000 --> 00:03:10.000]  一個人好像得勝做了皇帝,但是死了很多人。
[00:03:10.000 --> 00:03:32.000]  剛剛在索馬里發生了一些襲擊事件,恐怖份子,他們在肯亞東北部這個地方,在大學裡面殺死了148人。
[00:03:32.000 --> 00:03:55.000]  這裡還有很多人受了傷,所謂極端的組織,這幫人之前大家知道有些海盜,在索馬里的地方,他們借宗教為名,
[00:03:55.000 --> 00:04:13.000]  要自立為王,特別他想發動基督徒和回教徒的戰爭,在這一次殘殺學生的時候,特別他說回教徒可以離開,
[00:04:13.000 --> 00:04:33.000]  基督徒可以留下,等我一會兒殺了你,很多裡面這些是虛假的說法,根本人是沒有可能分辨得到,分辨不到是基督徒還是回教徒。
[00:04:33.000 --> 00:04:59.000]  根本有些基督徒一聽到走,個個都說走,可能同樣會有基督徒也會走。這些軍閥,恐怖份子,做這個動作,只不過是想發動戰爭,鞏固自己的勢力,更加可以招兵買馬。
[00:04:59.000 --> 00:05:27.000]  能夠吸引更多恐怖份子加入,但這不長久,這個世界我們知道曾經有很兇殘的希特勒,我們中國也有不少,最出名的是秦始皇,文書坑儒。
[00:05:27.000 --> 00:05:48.000]  讀書的人都要殺了他,讀書的人都要被殺,有人講的理論不中聽,他要做皇帝,拿破侖也很厲害,打遍天下無敵手。
[00:05:48.000 --> 00:06:13.000]  去到埃及的時候,要將一個私生人穿著鼻子打下來,到埃及時,私下的人都想打下來,他也是一個很威猛的人,但這些人都成為過去,他們以為可以靠暴力,靠權力,但這些不能讓人的心去屈服。
[00:06:13.000 --> 00:06:37.000]  在這個世界上唯有一位君王,他沒有用過一兵一卒,他甚至被人捉拿的時候,被人鞭傷的時候,他並沒有還手。
[00:06:37.000 --> 00:06:54.000]  這麼軟弱無力的人,竟然世世代代很多人去尊重他,去讚美他,沒有人去逼迫他們。
[00:06:54.000 --> 00:07:20.000]  成千、成億、成很多世代的人,都是去敬畏他。君王也要敬拜他。在街邊做義黑色的人,有些人也是。因為信主的緣故,起了一番心去敬拜他。
[00:07:20.000 --> 00:07:49.000]  因為認識了主,他能夠站立起來,生命改變,有人曾經是黑眼的,甚至心靈裡面真是黑眼的,看什麼都看不到的人,因為認識主耶穌基督,他知道人生的意義。
[00:07:49.000 --> 00:08:13.000]  他知道人生不是吃喝玩樂就算了,他知道要去讚美神,所以每逢復活節,有一首歌很多人都唱,就是這首尼西亞的《哈利路亞大合唱》,是韓德爾所作。
[00:08:13.000 --> 00:08:33.000]  1741年的時候,他唱出這首詩歌。當他唱這首詩歌的時候,曾經在君王的面前,君王聽到都要站立。
[00:08:33.000 --> 00:08:56.000]  今天這首歌唱出來的時候,大家聽到不是很多。我們可以一起去聆聽這首歌,或者大家一起起來,當我們唱這首詩歌的時候,有一個習慣。
[00:08:56.000 --> 00:09:20.000]  因為當這首詩歌有一次在君王,特別英王佐治的面前演唱的時候,英王喬治二世當他聽到的時候,他按不住集氣室去聽這首歌。
[00:09:20.000 --> 00:09:31.000]  聽這首詩歌的時候,大家都習慣了站立。
[00:09:51.000 --> 00:10:15.000]  君王永遠,永遠,永遠。
[00:10:15.000 --> 00:10:27.000]  君王永遠,永遠,永遠。
[00:10:27.000 --> 00:10:42.000]  君王永遠,永遠,永遠。
[00:10:42.000 --> 00:10:56.000]  君王永遠,永遠,永遠。
[00:10:56.000 --> 00:11:24.000]  君王永遠,永遠,永遠。
[00:11:24.000 --> 00:11:33.000]  君王永遠,永遠,永遠。
[00:11:33.000 --> 00:11:51.000]  君王永遠,永遠,永遠。
[00:11:51.000 --> 00:12:04.000]  君王永遠,永遠,永遠。
[00:12:04.000 --> 00:12:33.000]  Hallelujah!因為主我們的上帝全能者作王了,世上的國成了我主和主基督的國,祂要作王,直到永遠,萬王之王,萬主之主。
[00:12:33.000 --> 00:12:54.000]  這首歌頌的歌曲,是取自於聖經,王德義當他去創作這首歌曲的時候,他在唱這首歌的時候,他將自己在房間裏面禱告禁食,他在房間禱告禁食。
[00:12:54.000 --> 00:13:23.000]  當他思想到有幾段經文,他從這幾段經文去創作這首歌曲,他從啟示錄的十九章六節,他說我聽見普象群眾的聲音,重水的聲音,大雷的聲音說,Hallelujah!因為主我們的神全能者作王了,
[00:13:23.000 --> 00:13:35.000]  我聽見普象群眾的聲音,重水的聲音,大雷的聲音說,Hallelujah!因為主我們的神全能者作王了,
[00:13:35.000 --> 00:13:49.000]  啟示錄十一章十五節,他思想到為七位天使吹號,天上就有大聲說,世上的國成了我主和主基督的國,祂要作王,直到永遠,萬王之王,萬主之主。
[00:13:49.000 --> 00:14:04.000]  啟示錄十一章十五節,他思想到為七位天使吹號,天上就有大聲說,世上的國成了我主和主基督的國,祂要作王,直到永遠,萬王之王,萬主之主。
[00:14:04.000 --> 00:14:20.000]  最後一句,他所創作的萬王之王,萬主之主這一句,是出自啟示錄十九章十六節,最後出現了萬王之王,萬主之主,經文出自於啟示錄十九章十六節。
[00:14:20.000 --> 00:14:42.000]  今日我們成為一個河豚羊的人,是能夠今日成為神在地上的代表,不單止是祂的國民,並且是祂的軍兵,是基督的精兵。
[00:14:42.000 --> 00:14:58.000]  今日能夠在世上為主作戰,我們不是靠兵靠馬,不是靠武力,而是靠神的大能,神的恩典。
[00:14:58.000 --> 00:15:25.000]  當我們思想詩篇二十二篇的時候,我們看到詩篇二十二篇,是一個尼賽亞的詩篇,是講到基督的受難,尼賽亞受難,並且在之後復活。
[00:15:25.000 --> 00:15:32.000]  我們今天特別要思想詩篇二十二篇的下半,是講到基督,尼賽亞的復活。
[00:15:32.000 --> 00:15:39.000]  我們怎樣可以來跟從我們的主耶穌基督呢?
[00:15:39.000 --> 00:15:58.000]  怎樣走同樣德性之路呢?不是靠人的權柄和力量,而是靠神的大能和恩典。
[00:15:58.000 --> 00:16:10.000]  當我們思想到詩人所講的,我要將你的名傳於我的弟兄,在會中我要讚美你。
[00:16:10.000 --> 00:16:39.000]  在詩篇二十二篇的時候,原本尼賽亞是受苦的,犬類要圍攻他,就算他手腳都被刺傷,甚至講到他骨頭都要分離。
[00:16:39.000 --> 00:16:58.000]  但是他的骨頭都能掃過,正經地說,也就是講到耶穌基督,他一根骨頭都沒有斷掉。
[00:16:58.000 --> 00:17:19.000]  這裏講到,他雖然在極之艱難的裏面,但是這位尼賽亞,神將他救離死亡,從被攻擊的裏面得以起來。
[00:17:19.000 --> 00:17:35.000]  這裏講到,我們可以傳頌,可以讚美的,這位德性的尼賽亞,是我們要紀念的。
[00:17:35.000 --> 00:18:03.000]  我們知道和他一起走十字架的道路,我們知道在地上的生活是不容易的,有很多的困難,有很多的攻擊,甚至是來自自己內心的一種恨恍,自己裏面有很多糾纏不清的罪。
[00:18:03.000 --> 00:18:15.000]  自己內心有很多不清的罪,纏繞著我們,我們要靠神才能得勝。
[00:18:15.000 --> 00:18:39.000]  你不可以自己去打自己,讓我去勝過你的罪惡,有些人說回教徒,他們也有很嚴格的規矩,如果偷東西,按照聖經,手都要斬掉。
[00:18:39.000 --> 00:19:02.000]  他們有些人犯罪,他們用一個方式,用鐵來勒自己,如果有時看電視,有關於復活節的時候,在壽難節星期五,很多地方很多人都上街,很多人都上街。
[00:19:02.000 --> 00:19:20.000]  甚至有些人拿一些鞭,一路走一路鞭自己,有些人甚至模仿耶穌基督,叫人將他釘在十字架幾分鐘,都會拿下來。
[00:19:20.000 --> 00:19:42.000]  他們以為這樣就可以減輕自己的罪惡,可以幫助他們勝過罪惡,但這樣不行,最主要是我們的心的問題,我們能不能夠由心在神面,心和神連結在一起。
[00:19:42.000 --> 00:20:08.000]  其實尼泊爾詩篇這裡很重要,講到這一處,尼泊爾詩篇裡面講了一句,如果我們去思想道看二十二節一開始的時候,二十二節一開始的時候,去到二十六節,你看到這裡,你去看二十三節,你們敬威爺華的人要讚美他。
[00:20:08.000 --> 00:20:36.000]  這裡講到有些人是要敬畏神的人,要讚美他。這裡除了這些人還有其他的人,二十五節,我在大會中讚美你的話,這裡講到有三個不同的群體去敬拜神。
[00:20:36.000 --> 00:20:53.000]  這裡他說我要將祢的名傳於我的弟兄,在會中要讚美你,這裡似乎是一個很小的聚會裡面,別人讚美他。
[00:20:53.000 --> 00:21:17.000]  這裡可以講到昔日的那幫猶太信徒,舊約的猶太人,他們敬畏神,特別是在會堂裡面敬拜,這裡講到以色列人,他們要敬畏神。
[00:21:17.000 --> 00:21:32.000]  但是去到二十三節,昔日的詩篇也講到另外一些人,你們敬畏耶和華的人,這裡可以包括很多其他的人。
[00:21:32.000 --> 00:22:00.000]  講到有以色列人,二十五節的時候,在大會中,原版翻譯是一個很大的群體聚集,包括了世界很多族裔的人,他們都要來到神的面前敬畏,去讚美。
[00:22:00.000 --> 00:22:15.000]  這個詩篇講到人,每個人都是來到神裡面,不是別人逼他來的,他們是自願的來到神的面前。
[00:22:15.000 --> 00:22:35.000]  原因是什麼呢?為什麼他們會來到神的面前呢?因為他們心中有神的恩典在他們身上。有什麼這麼大的恩典呢?二十四節是這麼講的。
[00:22:35.000 --> 00:22:52.000]  因為他沒有藐視憎惡受苦的人,也沒有向他掩面,受苦之人呼籲的時候,他就垂聽。
[00:22:52.000 --> 00:23:15.000]  講到這個世上,很多人都是在這個困苦當中,很多人走在街上抗議,為什麼要抗議呢?因為心裡面有很多不開心的事情,要出來講。
[00:23:15.000 --> 00:23:34.000]  我剛剛才在新聞看到,他說在中國王府井那裡,王府井大街上,睡了十幾個人,十幾個人睡在地上,個個都口吐白沫。
[00:23:34.000 --> 00:23:49.000]  聞到很重的殺青藥,可能在那裡自殺。為什麼要這麼做呢?因為心裡面有很多痛苦。
[00:23:49.000 --> 00:24:16.000]  之前有七八個農民在那裡曾經這樣做過,他們叫上訪,上到北京去告狀,因為他們的房子被人搶了,田也被人搶了,飯都沒得吃,反正都是死。
