
[00:00:00.000 --> 00:00:02.600]  帝興傳媒主內平安
[00:00:02.600 --> 00:00:06.800]  今天我們繼續思想創世紀的訊息
[00:00:06.800 --> 00:00:09.080]  在上個月初我跟大家分享過
[00:00:09.080 --> 00:00:12.360]  藉著阿巴拉罕和羅德的記載
[00:00:12.360 --> 00:00:14.040]  我們一起思想
[00:00:14.040 --> 00:00:16.760]  在德與失之間的一些抉擇當中
[00:00:16.760 --> 00:00:18.600]  有三方面是很重要
[00:00:18.600 --> 00:00:21.360]  很重要的態度我們需要去持守的
[00:00:21.360 --> 00:00:23.840]  首先我們要珍惜關係
[00:00:23.840 --> 00:00:25.120]  因為我們知道
[00:00:25.120 --> 00:00:28.600]  在我們生命裏面的很多重要的人
[00:00:28.600 --> 00:00:29.800]  我們身邊的人
[00:00:29.800 --> 00:00:31.880]  是神擺在我們生命裏面
[00:00:31.880 --> 00:00:34.440]  為了我們的生命得著益處的
[00:00:34.440 --> 00:00:37.160]  第二方面在需要的時候
[00:00:37.160 --> 00:00:41.000]  我們需要作出信心的退讓
[00:00:41.000 --> 00:00:42.600]  為了別人的好處
[00:00:42.600 --> 00:00:43.840]  為了福音的緣故
[00:00:43.840 --> 00:00:45.360]  為了神的榮耀
[00:00:45.360 --> 00:00:47.280]  我們寧願吃虧
[00:00:47.280 --> 00:00:48.920]  第三方面
[00:00:48.920 --> 00:00:50.640]  在德與失之間
[00:00:50.640 --> 00:00:54.640]  我們不要失去方向
[00:00:54.640 --> 00:00:56.880]  或許我們面對一些抉擇的時候
[00:00:56.880 --> 00:00:58.080]  有不同的方式
[00:00:58.080 --> 00:00:59.720]  有不同的方法我們去面對
[00:00:59.720 --> 00:01:02.560]  不過正確的方向只有一個
[00:01:02.560 --> 00:01:05.600]  我們要謹謹地去跟從神
[00:01:05.600 --> 00:01:08.800]  走在祂的旨意當中
[00:01:08.800 --> 00:01:11.680]  這是最穩妥的方向
[00:01:11.680 --> 00:01:13.600]  如果我們能夠去持守
[00:01:13.600 --> 00:01:15.160]  這三方面的態度
