
[00:00:00.000 --> 00:00:02.000]  鳳子明文後電影節目提案
[00:00:02.000 --> 00:00:03.840]  鳳主問候電影節目的平安
[00:00:03.840 --> 00:00:05.600]  新年快樂
[00:00:05.600 --> 00:00:10.880]  我跟大家講耶利密斯的第二章
[00:00:10.880 --> 00:00:14.680]  今天是第二章的第四章
[00:00:14.680 --> 00:00:18.280]  今天我和大家講耶利密斯的第二章第四章
[00:00:18.280 --> 00:00:22.000]  是上帝控告以色列
[00:00:22.000 --> 00:00:23.360]  上帝控告以色列
[00:00:23.360 --> 00:00:26.000]  這個當訪的以色列是包括猶大
[00:00:26.000 --> 00:00:27.760]  這個以色列包括猶大
[00:00:28.760 --> 00:00:31.000]  上帝向以色列哀鳴
[00:00:31.000 --> 00:00:32.760]  上帝向以色列哀鳴
[00:00:32.760 --> 00:00:35.040]  這個哀鳴我找不到的翻譯
[00:00:35.040 --> 00:00:36.240]  是Lamen
[00:00:36.240 --> 00:00:38.760]  Lamen
[00:00:38.760 --> 00:00:41.880]  哀悼
[00:00:41.880 --> 00:00:44.920]  我又不想去到這麼盡
[00:00:44.920 --> 00:00:46.760]  還沒死
[00:00:46.760 --> 00:00:47.840]  死定了
[00:00:47.840 --> 00:00:50.560]  就是說還沒接近死亡
[00:00:50.560 --> 00:00:53.520]  看完這段經文的時候
[00:00:53.520 --> 00:00:55.000]  看完這段經文的時候
[00:00:55.000 --> 00:00:59.760]  表面中文翻譯很輕
[00:00:59.760 --> 00:01:04.760]  就是說表面中文翻譯有一點不是很清晰
[00:01:04.760 --> 00:01:08.280]  但是如果看釋經書的時候
[00:01:08.280 --> 00:01:10.360]  但是如果看釋經書的話
[00:01:10.360 --> 00:01:12.160]  雖然上帝哀鳴
[00:01:12.160 --> 00:01:13.360]  雖然上帝哀鳴
[00:01:13.360 --> 00:01:14.520]  上帝講的東西
[00:01:14.520 --> 00:01:15.960]  上帝所說的
[00:01:15.960 --> 00:01:17.480]  可以用一個中文字嗎
[00:01:17.480 --> 00:01:18.560]  絕
[00:01:18.560 --> 00:01:20.480]  就是說一個中文字可以描述
[00:01:20.480 --> 00:01:21.960]  絕
[00:01:21.960 --> 00:01:23.800]  這個絕法一會兒你會聽到的
[00:01:23.800 --> 00:01:25.720]  就是怎麼絕法一會兒講到
[00:01:25.720 --> 00:01:28.800]  是我們通常的語言不敢講的
[00:01:28.800 --> 00:01:31.360]  是我們很多人不敢講的
[00:01:31.360 --> 00:01:33.120]  在講台上更加不敢講的
[00:01:33.120 --> 00:01:34.400]  講台上不敢講的
[00:01:34.400 --> 00:01:35.840]  所以我一直在掙扎
[00:01:35.840 --> 00:01:37.640]  所以我一直很矛盾
[00:01:37.640 --> 00:01:38.600]  掙扎
[00:01:38.600 --> 00:01:39.400]  掙扎
[00:01:39.400 --> 00:01:41.160]  如果上帝講了的話
[00:01:41.160 --> 00:01:42.480]  那上帝所說的話
[00:01:42.480 --> 00:01:43.680]  我是不是可以不講
[00:01:43.680 --> 00:01:45.200]  我是不是可以不講
[00:01:45.200 --> 00:01:46.440]  黃四哥答案怎樣
[00:01:46.440 --> 00:01:49.160]  上帝講了我可以怎樣
[00:01:49.160 --> 00:01:50.200]  上帝所說的我一定
[00:01:50.200 --> 00:01:51.480]  我們代他講的
[00:01:51.480 --> 00:01:52.360]  我們代他講
[00:01:52.360 --> 00:01:54.480]  不是用代名詞
[00:01:54.480 --> 00:01:55.640]  不是用代名詞
[00:01:55.640 --> 00:01:57.640]  《翻譯聖經》也代了很多東西
[00:01:57.640 --> 00:01:59.800]  《翻譯聖經》改了很多東西
[00:01:59.800 --> 00:02:01.040]  上帝很直接
[00:02:01.040 --> 00:02:02.160]  上帝非常直接
