
[00:00:00.000 --> 00:00:06.500]  今天我想和大家來看伊利亞的接班人
[00:00:06.500 --> 00:00:10.100]  我們用了四次的崇拜講道
[00:00:10.100 --> 00:00:13.300]  來從伊利亞的身上學習
[00:00:13.300 --> 00:00:17.300]  如何高舉基督,活出照明
[00:00:17.300 --> 00:00:21.500]  今天會從伊利亞的接班人
[00:00:21.500 --> 00:00:23.500]  或者我們叫徒弟猶德
[00:00:23.500 --> 00:00:29.500]  如何從他的身上有所提醒
[00:00:29.500 --> 00:00:34.500]  我將伊利亞這位接班人或接棒人
[00:00:34.500 --> 00:00:37.500]  抽了一段經文來看
[00:00:37.500 --> 00:00:39.500]  如果大家有興趣
[00:00:39.500 --> 00:00:42.500]  其實讀一下伊利亞伊利沙的生平
[00:00:42.500 --> 00:00:43.500]  其實是很好的
[00:00:43.500 --> 00:00:47.500]  很有追小說那種味道
[00:00:47.500 --> 00:00:49.500]  所以大家可以回去看看
[00:00:49.500 --> 00:00:51.500]  《易烈王記》下一章開始
[00:00:51.500 --> 00:00:53.500]  先介紹伊利亞
[00:00:53.500 --> 00:00:55.500]  然後就帶出伊利沙出來
[00:00:55.500 --> 00:01:00.500]  如何去接了伊利亞的棒
[00:01:00.500 --> 00:01:02.500]  所以今天我會抽其中一段
[00:01:02.500 --> 00:01:04.500]  是二章的六到十四節
[00:01:04.500 --> 00:01:09.500]  和大家去領受神給我們的訊息
[00:01:09.500 --> 00:01:13.500]  二章的六到十四節這樣說
[00:01:13.500 --> 00:01:14.500]  我讀給大家聽
[00:01:14.500 --> 00:01:16.500]  伊利亞對伊利沙說
[00:01:16.500 --> 00:01:19.500]  耶和華猜顯我往約旦河去
[00:01:19.500 --> 00:01:21.500]  你可以在這裡等候
[00:01:21.500 --> 00:01:25.500]  伊利沙說我指著永生的耶和華
[00:01:25.500 --> 00:01:28.500]  有感在你面前喜濟
[00:01:28.500 --> 00:01:30.500]  我必不離開你
[00:01:30.500 --> 00:01:33.500]  於是二人一同前往
[00:01:33.500 --> 00:01:36.500]  有先知門徒去了五十日
[00:01:36.500 --> 00:01:39.500]  遠遠地站在他們對面
[00:01:39.500 --> 00:01:42.500]  二人在約旦河邊站住
[00:01:42.500 --> 00:01:45.500]  伊利亞將自己的外衣捲起來
[00:01:45.500 --> 00:01:46.500]  用以打水
[00:01:46.500 --> 00:01:48.500]  水就左右分開
[00:01:48.500 --> 00:01:51.500]  二人走乾地而過
[00:01:51.500 --> 00:01:53.500]  過去之後
[00:01:53.500 --> 00:01:55.500]  伊利亞對伊利沙說
[00:01:55.500 --> 00:01:58.500]  我未曾被接去離開你
[00:01:58.500 --> 00:02:01.500]  你要我為你做什麼
[00:02:01.500 --> 00:02:02.500]  只管求我
