
[00:00:00.000 --> 00:00:03.640]  我哋今日會繼續講馬學福音嘅系列訊息
[00:00:03.640 --> 00:00:06.160]  我哋嚟到去第七章
[00:00:06.160 --> 00:00:07.520]  呢一章呢
[00:00:07.520 --> 00:00:15.080]  喺當中主要同我哋嚟到去睇嘅重點就係我畀嘅題目
[00:00:15.080 --> 00:00:17.680]  真理與傳統
[00:00:17.680 --> 00:00:20.520]  真心抑或係假意
[00:00:20.520 --> 00:00:23.480]  其實呢個馬學福音第七章裏面
[00:00:23.480 --> 00:00:26.440]  簡單由一個問題嚟到引起嘅
[00:00:26.440 --> 00:00:29.120]  呢個問題可能係我哋今時今日大家都會做嘅
[00:00:29.120 --> 00:00:31.120]  就係洗手
[00:00:31.120 --> 00:00:32.800]  我哋要多啲洗手
[00:00:32.800 --> 00:00:35.200]  但呢個洗手喺耶穌嘅時候
[00:00:35.200 --> 00:00:37.600]  喺馬學福音呢個處境裏面
[00:00:37.600 --> 00:00:40.040]  又成為一個耳控
[00:00:40.040 --> 00:00:45.360]  呢啲派翠人捉著耶穌門徒呢個洗手嘅問題
[00:00:45.360 --> 00:00:48.320]  向耶穌提出一啲嘅質訊
[00:00:48.320 --> 00:00:49.920]  如果大家可以嘅話
[00:00:49.920 --> 00:00:52.400]  就都係可以返去屋企嘅時候
[00:00:52.400 --> 00:00:56.920]  能夠將聖經可以再多啲嚟到去睇下
[00:00:56.920 --> 00:01:01.560]  因為我哋能夠喺講道嘅時間讀嘅經文都唔係多
[00:01:01.560 --> 00:01:05.680]  所以我先選讀幾節嘅經文喺馬學福音嘅第七章
[00:01:05.680 --> 00:01:08.320]  第五到第八節
[00:01:08.320 --> 00:01:10.320]  我哋都讀部分嘅經文
[00:01:10.320 --> 00:01:13.800]  讓我哋能夠可以去領受神嘅教導
[00:01:13.800 --> 00:01:15.880]  我哋一齊嚟到讀完呢幾節嘅聖經
[00:01:15.880 --> 00:01:17.280]  預備起
[00:01:17.280 --> 00:01:20.440]  番起翠人王文氏問他說
[00:01:20.440 --> 00:01:27.280]  你哋門徒為什麼不照古人嘅遺傳用俗手吃飯呢?
[00:01:27.280 --> 00:01:28.440]  耶穌說
[00:01:28.440 --> 00:01:35.160]  以塞亞指著你哋假冒為善之人所說嘅預言是不錯的
[00:01:35.160 --> 00:01:36.800]  如經上說
[00:01:36.800 --> 00:01:39.920]  這百姓用嘴唇尊敬我
[00:01:39.920 --> 00:01:42.480]  心卻遠離我
[00:01:42.480 --> 00:01:47.640]  他們將人的吩咐當作道理教導人
[00:01:47.640 --> 00:01:51.040]  所以拜我也是枉言
[00:01:51.040 --> 00:01:54.240]  你們是離棄神的誡命
[00:01:54.240 --> 00:01:58.760]  拘守人的遺傳
[00:01:58.760 --> 00:02:03.080]  呢班法利賽人質詢耶穌就係講到
[00:02:03.080 --> 00:02:06.800]  佢嘅門徒用俗手吃飯
[00:02:06.800 --> 00:02:10.640]  呢個俗手簡單嚟講就係話佢哋冇洗到手就去食嘢
[00:02:10.640 --> 00:02:12.160]  當然喺衛生角度嚟講
[00:02:12.160 --> 00:02:15.640]  我哋都覺得現代更加唔係咁好
[00:02:15.640 --> 00:02:18.280]  但係我諗耶穌嘅回應就係引用咗
[00:02:18.280 --> 00:02:22.640]  以塞亞先知喺以塞亞書嘅二十九章十三節裏面講
[00:02:22.640 --> 00:02:23.560]  佢話主說
[00:02:23.560 --> 00:02:26.360]  因為這百姓親近我
[00:02:26.360 --> 00:02:28.640]  用嘴唇尊敬我
[00:02:28.640 --> 00:02:31.560]  心卻遠離我
[00:02:31.560 --> 00:02:34.880]  好似呢個簡單嚟講可以叫口不對心
[00:02:34.880 --> 00:02:36.280]  呢班百姓以色列人
[00:02:36.280 --> 00:02:42.360]  佢哋其實應該就係好體寵佢哋自己同神之間嘅關係
[00:02:42.360 --> 00:02:46.240]  應該佢哋係好願意去親近神
[00:02:46.240 --> 00:02:50.040]  但係神透過先知哩度講話
[00:02:50.040 --> 00:02:53.000]  其實你哋做嘅嘢就唔少
[00:02:53.000 --> 00:02:55.960]  但係你哋嘅心向邊度呢?
[00:02:55.960 --> 00:02:59.200]  呢個心其實可能提醒我哋到底呢班百姓
[00:02:59.200 --> 00:03:01.120]  或者今日我哋要問返自己
[00:03:01.120 --> 00:03:04.000]  我哋心係咪真係對住神
[00:03:04.000 --> 00:03:06.480]  我哋有冇神喺我哋心裏面
[00:03:06.480 --> 00:03:10.360]  甚至我諗我哋應該要諗下呢個心嘅問題就係
[00:03:10.360 --> 00:03:14.200]  我哋係咪真心為神呢?
[00:03:14.200 --> 00:03:16.760]  真心嚟到去向住神
[00:03:16.760 --> 00:03:18.360]  呢個正正就係今日
[00:03:18.360 --> 00:03:25.200]  在馬克宏第七章我想同大家一齊嚟到去反省我哋嘅生命
[00:03:25.200 --> 00:03:28.640]  我哋先嚟睇下真理與傳統
[00:03:28.640 --> 00:03:33.560]  耶穌去俾呢班法利賽人嚟到指控或者質詢嘅時候
