
[00:00:00.000 --> 00:00:07.000]  耶穌教是一本關於神怎麼帶領以色列百姓向前進的書卷。
[00:00:07.000 --> 00:00:10.000]  今天當我們看整個教會歷史就會發現,
[00:00:10.000 --> 00:00:15.000]  神對教會的心意是要教會不斷地向前進的。
[00:00:15.000 --> 00:00:20.000]  神在每一個時代都興起不同的人做不同的事情,
[00:00:20.000 --> 00:00:24.000]  爲了要成就神在那個時代所要做的工作。
[00:00:24.000 --> 00:00:28.000]  事實上不但神在不同的時代做不同的事情,
[00:00:28.000 --> 00:00:31.000]  其實神在每一個教會,
[00:00:31.000 --> 00:00:35.000]  在這個教會不同的階段也在做不同的事情。
[00:00:35.000 --> 00:00:38.000]  而今天教會最重要的一件事情,
[00:00:38.000 --> 00:00:44.000]  就是要常常跟上神的心意勇敢之前。
[00:00:44.000 --> 00:00:48.000]  就好像當年耶穌要怎麼樣帶領以色列人,
[00:00:48.000 --> 00:00:52.000]  面對耶利哥城的時候勇敢前進,
[00:00:52.000 --> 00:00:58.000]  同樣今天我們也要求神幫助我們,成爲一個不斷前進的教會。
[00:00:58.000 --> 00:01:05.000]  特別是教會現在正在面對Shakana Glory間諜計劃正要開始的時刻,
[00:01:05.000 --> 00:01:10.000]  我們更是要提醒我們自己,教會是要不斷向前進。
[00:01:10.000 --> 00:01:14.000]  那你說在哪些方面我們需要不斷地向前進呢?
[00:01:14.000 --> 00:01:17.000]  第一個,要在神的心意上向前進。
[00:01:17.000 --> 00:01:22.000]  跟你們好像說要在神的心意上向前進。
[00:01:22.000 --> 00:01:24.000]  第二點,我再次說神的心意,
[00:01:24.000 --> 00:01:29.000]  教會不斷地在祂的帶領下向前邁進。
[00:01:29.000 --> 00:01:34.000]  所以耶穌在一章第三節神才很清楚對耶穌說,
[00:01:34.000 --> 00:01:38.000]  你們腳掌所踏之地,我都要怎麼樣賜給你們。
[00:01:38.000 --> 00:01:43.000]  神的意思就是對以色列人說,你們不要站在原地不動。
[00:01:43.000 --> 00:01:46.000]  神的意思是說你們要向前邁進,
[00:01:46.000 --> 00:01:49.000]  你們腳掌所踏之地我要賜給你們。
[00:01:49.000 --> 00:01:53.000]  神在對他們說是有個新的領域爲你們預備的,
[00:01:53.000 --> 00:01:56.000]  你們要去得地爲業。
[00:01:56.000 --> 00:02:00.000]  同樣今天神也擺在我們面前有個新的領域,
[00:02:00.000 --> 00:02:06.000]  神也呼召我們要勇敢向前去得地爲業的。
[00:02:06.000 --> 00:02:09.000]  當然按照我們人的本性來講,
[00:02:09.000 --> 00:02:11.000]  我們一想到要前進,
[00:02:11.000 --> 00:02:15.000]  通常我們就有兩種不同的反應,不是嗎?
[00:02:15.000 --> 00:02:19.000]  第一種反應,我把它叫做西伯倫反應,
