
[00:00:00.000 --> 00:00:08.000]  我相信每一個父母都為自己的子女,預備最好的環境
[00:00:08.000 --> 00:00:12.000]  好叫他們能夠贏在起跑線
[00:00:12.000 --> 00:00:17.000]  很多未出世就想著哪間幼稚園適合他
[00:00:17.000 --> 00:00:21.000]  有些還未足年齡就將他放進幼稚園裏面
[00:00:21.000 --> 00:00:25.000]  這個其實就不是太有智慧,不過有些人這樣做
[00:00:25.000 --> 00:00:30.000]  當然課餘活動就包括英文、法文、德文、西班牙文
[00:00:30.000 --> 00:00:35.000]  不知你有沒有,我沒有,我小時候
[00:00:35.000 --> 00:00:39.000]  彈琴、劍擊、舞蹈、唱歌就不在話下
[00:00:39.000 --> 00:00:42.000]  至於考入名校,這個就重要了
[00:00:42.000 --> 00:00:45.000]  不單止我們香港人這樣,外國也是
[00:00:45.000 --> 00:00:51.000]  在英國有伊頓、牛津,美國有耶魯、哈佛
[00:00:51.000 --> 00:00:55.000]  還有MIT、布林斯頓那些
[00:00:55.000 --> 00:00:59.000]  其實每一個父母都想為自己的子女好
[00:00:59.000 --> 00:01:03.000]  但是獅洗約翰,爸爸就不同了
[00:01:03.000 --> 00:01:08.000]  獅洗約翰,爸爸怎樣去照顧獅洗約翰呢?
[00:01:08.000 --> 00:01:12.000]  他說《老家福音》一章第80節就說
[00:01:12.000 --> 00:01:16.000]  這孩子漸漸長大,心靈健壯
[00:01:16.000 --> 00:01:20.000]  so far so good,但是住在曠野
[00:01:20.000 --> 00:01:25.000]  直到他在以色列人中,空開露面的日子
[00:01:25.000 --> 00:01:28.000]  原來他爸爸將他放在曠野裡長大
[00:01:28.000 --> 00:01:32.000]  有沒有想到,為什麼他爸爸這樣呢?
[00:01:32.000 --> 00:01:36.000]  如果你媽媽生你的時候
[00:01:36.000 --> 00:01:41.000]  有人叫她說,你帶阿B搬去沙頭角
[00:01:41.000 --> 00:01:44.000]  或者搬去大嶼山的大澳
[00:01:44.000 --> 00:01:47.000]  這個我想得最遠、最邊陲的地方
[00:01:47.000 --> 00:01:49.000]  就是沙頭角和大澳
[00:01:49.000 --> 00:01:51.000]  你媽媽會不會被嚇到呢?
[00:01:51.000 --> 00:01:55.000]  有沒有搞錯?我兒子、我女兒要學英文,要行琴
[00:01:55.000 --> 00:01:58.000]  沙頭角有沒有人教他?英文是準不準確的?
[00:01:58.000 --> 00:02:00.000]  可能是準確的
[00:02:00.000 --> 00:02:05.000]  他在曠野就不用說
[00:02:05.000 --> 00:02:08.000]  但是獅洗約翰,爸爸將他放在曠野裡
[00:02:08.000 --> 00:02:11.000]  不過他是贏在起跑線
[00:02:11.000 --> 00:02:15.000]  因為耶穌說,父人所生,沒有誰大過約翰
[00:02:15.000 --> 00:02:20.000]  因為約翰認第二,沒有人敢認第一
[00:02:20.000 --> 00:02:25.000]  為什麼約翰會在曠野的環境長大
[00:02:25.000 --> 00:02:28.000]  而竟然這麼成功呢?
[00:02:28.000 --> 00:02:31.000]  他的生命,今天我們要來思考
[00:02:31.000 --> 00:02:35.000]  有些事情是值得你和我學的
[00:02:35.000 --> 00:02:38.000]  所以獅洗約翰的人生給我們看到
