
[00:00:00.000 --> 00:00:05.520]  你還記不記得你讀書的時候那些解方程式的方法
[00:00:05.520 --> 00:00:07.940]  有沒有人還記得
[00:00:07.940 --> 00:00:12.120]  你讀書的時候應該讀小學或者中學應該都學過的
[00:00:12.120 --> 00:00:16.000]  不過不知道你會不會發現到你出來工作之後
[00:00:16.000 --> 00:00:18.260]  你從來沒有用過
[00:00:18.260 --> 00:00:19.740]  就是這樣的
[00:00:19.740 --> 00:00:22.080]  所以都給大家重溫一下
[00:00:22.080 --> 00:00:23.580]  現在給大家看一看方程式
[00:00:23.580 --> 00:00:26.800]  看你能不能夠三秒內回答我的答案
[00:00:26.800 --> 00:00:29.680]  好,你找一下答案X是多少
[00:00:29.680 --> 00:00:32.640]  一秒、兩秒、三秒
[00:00:32.640 --> 00:00:34.080]  好,答案是多少?
[00:00:34.080 --> 00:00:36.380]  剛才有人試過回答我的答案
[00:00:36.380 --> 00:00:37.280]  0?
[00:00:37.280 --> 00:00:39.420]  0不是方程式,計算不到的
[00:00:39.420 --> 00:00:40.240]  多少?
[00:00:40.240 --> 00:00:45.240]  證明大家真的放下給老師了
[00:00:45.240 --> 00:00:47.280]  答案?
[00:00:47.280 --> 00:00:51.000]  應該是3才能代入公式裏面的
[00:00:51.000 --> 00:00:52.380]  3才能代入
[00:00:52.380 --> 00:00:57.480]  方程式就是這樣,利用一些方法去計算X是多少
[00:00:57.480 --> 00:00:59.080]  這個就是方程式
[00:00:59.080 --> 00:01:05.440]  你會發現讀書的時候這些方程式真的拿了你的命
[00:01:05.440 --> 00:01:09.480]  因為你由中學開始,中一開始就已經要用
[00:01:09.480 --> 00:01:13.660]  這裏就叫做七年級
[00:01:13.660 --> 00:01:17.880]  七年級開始學這些方程式的事
[00:01:17.880 --> 00:01:20.440]  而且一路學一路升上去
[00:01:20.440 --> 00:01:22.800]  越高級是繼續要用的
[00:01:22.800 --> 00:01:25.960]  繼續要學,學到你真的不用再讀書的時候
[00:01:25.960 --> 00:01:27.200]  終於你放下
[00:01:27.200 --> 00:01:29.720]  但當你回頭一看
[00:01:29.720 --> 00:01:33.200]  原來你根本之後從來沒有用過方程式
[00:01:33.200 --> 00:01:37.600]  除非你是做工程或者一些很複雜的計算的人
[00:01:37.600 --> 00:01:43.200]  否則你做生意,餐館應該從來沒有用過方程式去計算
[00:01:43.200 --> 00:01:48.000]  你會發現原來這些方程式我們真的聽了
[00:01:48.000 --> 00:01:49.720]  但我們從來沒有用
[00:01:49.720 --> 00:01:53.960]  不過有些方程式我們今天都不知不覺在用
[00:01:53.960 --> 00:01:58.440]  甚至乎正在誤用一些方程式
[00:01:58.440 --> 00:02:02.440]  所以今天我定一個題目叫做方程式
[00:02:02.440 --> 00:02:07.400]  方,你看一看左邊的圖案就代表方,為什麼呢?
[00:02:07.400 --> 00:02:10.160]  對了,真是聰明的Jay Wing Po
[00:02:10.160 --> 00:02:13.160]  一說就知道了,發誓就當吃生菜
[00:02:13.160 --> 00:02:17.600]  所以左邊第一個方就用生菜去代表
[00:02:17.600 --> 00:02:19.080]  那中間就是什麼?
[00:02:19.080 --> 00:02:25.280]  情,結婚戒指,叫做婚戒
[00:02:25.280 --> 00:02:27.640]  結婚的時候就叫婚戒
[00:02:27.640 --> 00:02:30.800]  但當你離婚的時候就真的分戒
[00:02:30.800 --> 00:02:31.640]  原來有時是這樣的
[00:02:31.640 --> 00:02:34.320]  這戒指到那時候就變了意義
[00:02:34.320 --> 00:02:37.040]  成為一個分開的戒指
[00:02:37.040 --> 00:02:38.760]  也分開你的戒線
[00:02:38.760 --> 00:02:43.200]  當然色就用不同的顏色去代表
[00:02:43.200 --> 00:02:48.120]  因為不同的顏色就讓你不知不覺地好色
[00:02:48.120 --> 00:02:52.200]  所以用這三樣東西幫大家記住今天三個的重點
[00:02:52.200 --> 00:02:53.520]  好,我們一起去祈禱
[00:02:53.520 --> 00:02:54.400]  天父幫助我們
[00:02:54.400 --> 00:02:59.960]  讓我們藉著耶穌給我們在登山補訓裏的提醒、教導
[00:02:59.960 --> 00:03:01.960]  讓我們去真的重施
[00:03:01.960 --> 00:03:06.840]  很多時候我們在生活裏都用了不同的方程式
[00:03:06.840 --> 00:03:08.480]  去混亂了我們的生活
[00:03:08.480 --> 00:03:12.120]  破壞了我們門徒的生命和見證
[00:03:12.120 --> 00:03:13.520]  求主你幫助我們
[00:03:13.520 --> 00:03:15.960]  重整我們這些不同的價值
[00:03:15.960 --> 00:03:20.880]  以在我們生命裏成為合理喜悅的僕人
[00:03:20.880 --> 00:03:22.280]  成為你的門徒
[00:03:22.280 --> 00:03:24.400]  求你幫助我們去學習
[00:03:24.400 --> 00:03:27.040]  祈禱奉耶穌命旨而求
[00:03:27.040 --> 00:03:27.680]  阿們
[00:03:27.680 --> 00:03:32.680]  我們既然看到方程式這個元素
[00:03:32.680 --> 00:03:35.280]  我們首先要回顧一下
[00:03:35.280 --> 00:03:38.840]  我們一直在看的段落
[00:03:38.840 --> 00:03:42.120]  我們一直都是藉著連續有幾次的時間
[00:03:42.120 --> 00:03:45.400]  都是在看耶穌在登山的補訓
[00:03:45.400 --> 00:03:49.040]  來自《馬達福音》第五章的段落
[00:03:49.040 --> 00:03:50.280]  我們說這個段落裏面
[00:03:50.280 --> 00:03:52.760]  就說耶穌一開始就說到
[00:03:52.760 --> 00:03:55.080]  門徒要成為有福的人
[00:03:55.080 --> 00:03:57.400]  有福的人有很多不同的特質
[00:03:57.400 --> 00:04:00.000]  正正因為耶穌想塑造門徒
[00:04:00.000 --> 00:04:02.000]  有這些不同的特質
[00:04:02.000 --> 00:04:03.800]  所以你發現這幾個星期
