
[00:00:00.000 --> 00:00:02.000]  大家有沒有聽過《碧上涼山》?
[00:00:02.000 --> 00:00:05.000]  在哪裏聽到的?
[00:00:05.000 --> 00:00:07.000]  在一個小說裏面
[00:00:07.000 --> 00:00:11.000]  《水壺傳》
[00:00:11.000 --> 00:00:13.000]  是誰寫的呢?
[00:00:13.000 --> 00:00:15.000]  是施耐鵬所寫的《水壺傳》
[00:00:15.000 --> 00:00:20.000]  有一個說法叫做《碧上涼山》
[00:00:20.000 --> 00:00:22.000]  涼山一百零八條好漢
[00:00:22.000 --> 00:00:26.000]  當然是講述北宋的期間裏面
[00:00:26.000 --> 00:00:28.000]  因為有些人物
[00:00:28.000 --> 00:00:34.000]  他沒有辦法忍受當時的官府社會的壓迫
[00:00:34.000 --> 00:00:38.000]  被迫奔上涼山
[00:00:38.000 --> 00:00:40.000]  加入涼山國的義軍
[00:00:40.000 --> 00:00:44.000]  所以就成為一個水壺英雄
[00:00:44.000 --> 00:00:52.000]  當然這班人在社會裏面好像容納不了他們
[00:00:52.000 --> 00:00:57.000]  他們可能是一些禁軍頭
[00:00:58.000 --> 00:01:00.000]  可能是一些市井的英雄
[00:01:00.000 --> 00:01:01.000]  或者一般的人
[00:01:01.000 --> 00:01:04.000]  但是他們經歷這些壓迫
[00:01:04.000 --> 00:01:07.000]  他們沒有辦法離開家園
[00:01:07.000 --> 00:01:10.000]  離開他們的生活
[00:01:10.000 --> 00:01:12.000]  去到涼山
[00:01:12.000 --> 00:01:16.000]  我們要熟悉的80萬禁軍的頭目是誰?
[00:01:16.000 --> 00:01:17.000]  林聰
[00:01:17.000 --> 00:01:21.000]  我們有聽過武松打虎
[00:01:21.000 --> 00:01:22.000]  打虎英雄
[00:01:22.000 --> 00:01:25.000]  其實他最主要是殺死了西門慶
[00:01:26.000 --> 00:01:30.000]  或者是被迫做和尚的魯志森等等
[00:01:30.000 --> 00:01:33.000]  迫上涼山
[00:01:33.000 --> 00:01:34.000]  我也很喜歡上山
[00:01:34.000 --> 00:01:35.000]  不過我不是迫上
[00:01:35.000 --> 00:01:37.000]  我是很自願地行山
[00:01:37.000 --> 00:01:39.000]  但是今天講的題目
[00:01:39.000 --> 00:01:42.000]  大衛就好像是迫上涼山
[00:01:42.000 --> 00:01:45.000]  一直在講大衛不是去山上
[00:01:45.000 --> 00:01:46.000]  去哪裏?
[00:01:46.000 --> 00:01:48.000]  抗野
[00:01:48.000 --> 00:01:52.000]  大衛是被迫走入抗野
[00:01:52.000 --> 00:01:53.000]  為什麼?
[00:01:53.000 --> 00:01:58.000]  因為當時不容於掃羅王
[00:01:58.000 --> 00:02:04.000]  所以他在抗野裏面生活
[00:02:04.000 --> 00:02:06.000]  流落在抗野裏面
[00:02:06.000 --> 00:02:12.000]  現在講到大衛在抗野差不多有10年的時間
[00:02:12.000 --> 00:02:16.000]  《聖經》裏面講
[00:02:16.000 --> 00:02:20.000]  在前面22章裏面
[00:02:20.000 --> 00:02:23.000]  已經有400人跟著他
[00:02:23.000 --> 00:02:26.000]  來到這裏27章已經有600人了
[00:02:26.000 --> 00:02:28.000]  稍後會再講30章裏面
[00:02:28.000 --> 00:02:30.000]  跟著他
[00:02:30.000 --> 00:02:33.000]  所以在這個日子裏面
[00:02:33.000 --> 00:02:38.000]  還多過涼山的108條好漢
[00:02:38.000 --> 00:02:40.000]  有600個人
[00:02:40.000 --> 00:02:46.000]  他仍然在抗野裏面
[00:02:46.000 --> 00:02:48.000]  走投無路
[00:02:48.000 --> 00:02:52.000]  因為掃羅仍然追得很緊
[00:02:52.000 --> 00:02:57.000]  雖然大衛曾經有兩次機會反擊
[00:02:57.000 --> 00:02:58.000]  甚至是刺殺他
[00:02:58.000 --> 00:03:02.000]  但是大衛是一個神的仇高者
[00:03:02.000 --> 00:03:04.000]  他不敢這樣做
[00:03:04.000 --> 00:03:10.000]  但是掃羅仍然不會看這種懲罰
[00:03:10.000 --> 00:03:12.000]  繼續追殺他
[00:03:12.000 --> 00:03:14.000]  這次真的走投無路
[00:03:14.000 --> 00:03:19.000]  迫到飛利士的境內
[00:03:19.000 --> 00:03:23.000]  飛利士是以色列的敵人
[00:03:23.000 --> 00:03:28.000]  大衛曾經殺死過飛利士的哥利亞
[00:03:28.000 --> 00:03:29.000]  你說是不是仇人
[00:03:29.000 --> 00:03:35.000]  但是他要去到敵人裏面投靠
[00:03:35.000 --> 00:03:38.000]  當然他是一種結盟
[00:03:38.000 --> 00:03:42.000]  因為大衛在飛利士是出名的
[00:03:42.000 --> 00:03:44.000]  更加出名的是什麼呢
[00:03:44.000 --> 00:03:48.000]  他現在是掃羅王所追殺的人
[00:03:48.000 --> 00:03:51.000]  也就是說是以色列王的敵人
[00:03:51.000 --> 00:03:55.000]  敵人的敵人就可以變成朋友
[00:03:55.000 --> 00:03:59.000]  所以阿德王就去接納他
[00:03:59.000 --> 00:04:03.000]  所以他留在飛利士境內有多久呢
[00:04:03.000 --> 00:04:05.000]  16個月這麼長
[00:04:05.000 --> 00:04:07.000]  今天我們同一個題目
[00:04:07.000 --> 00:04:10.000]  在16個月裏面發生的事情
[00:04:10.000 --> 00:04:13.000]  澳警所面對的事情
[00:04:13.000 --> 00:04:16.000]  仍然是有很多困難的
[00:04:16.000 --> 00:04:22.000]  困難裏面大衛怎樣去得到神的心意呢
[00:04:22.000 --> 00:04:24.000]  特別是這幾章裏面
[00:04:24.000 --> 00:04:28.000]  很少看到神直接的對話
[00:04:28.000 --> 00:04:31.000]  因為薩姆爾已經死了
[00:04:31.000 --> 00:04:35.000]  藉著這個善治大祭司
[00:04:35.000 --> 00:04:37.000]  可能神也跟他直接對話
[00:04:37.000 --> 00:04:40.000]  但是現在沒有這個媒介了
[00:04:40.000 --> 00:04:46.000]  也很少在這些篇章裏面
[00:04:46.000 --> 00:04:48.000]  不覺得神直接的對話
[00:04:48.000 --> 00:04:51.000]  好像靜下來了
[00:04:51.000 --> 00:04:53.000]  大衛怎樣生活呢
[00:04:53.000 --> 00:04:56.000]  怎樣指引他去到這個絕境裏面
[00:04:56.000 --> 00:04:58.000]  唯有投靠
[00:04:58.000 --> 00:05:01.000]  究竟這些這樣的境況裏面
[00:05:01.000 --> 00:05:03.000]  我們怎樣去生活呢
[00:05:03.000 --> 00:05:07.000]  我繼續用「幻想新心」教會的主題
[00:05:07.000 --> 00:05:09.000]  「新心新事」
[00:05:09.000 --> 00:05:12.000]  如果我們有「幻想新心」
[00:05:12.000 --> 00:05:14.000]  這個心是貼近神的
[00:05:14.000 --> 00:05:16.000]  一直以來你的心是向著神
[00:05:16.000 --> 00:05:17.000]  親近神的時候
[00:05:17.000 --> 00:05:20.000]  我很相信你繼續「隨心而行」
[00:05:20.000 --> 00:05:22.000]  「隨你心而行」
