
[00:00:00.000 --> 00:00:05.800]  路加第十四章二十五到三十三節
[00:00:05.800 --> 00:00:09.800]  是一段結構非常之嚴謹
[00:00:09.800 --> 00:00:18.200]  而思想又是很深刻的一段經文
[00:00:18.200 --> 00:00:22.800]  第二十五節是一個引言
[00:00:22.800 --> 00:00:25.800]  然後那個訊息的中心
[00:00:25.800 --> 00:00:30.800]  就是在第二十六節
[00:00:30.800 --> 00:00:36.200]  就是講到作門徒的代價
[00:00:36.200 --> 00:00:38.200]  然後這個中心
[00:00:38.200 --> 00:00:40.800]  接著就有一個結論
[00:00:40.800 --> 00:00:44.400]  這個結論在第二十七節
[00:00:44.400 --> 00:00:46.000]  耶穌基督一定覺得
[00:00:46.000 --> 00:00:48.000]  祂這樣講了
[00:00:48.000 --> 00:00:52.400]  門徒是未能夠明白的
[00:00:52.400 --> 00:00:58.000]  於是祂就引用了兩個的比喻
[00:00:58.000 --> 00:01:02.800]  我們可以說是一個雙重比喻
[00:01:02.800 --> 00:01:09.200]  來去解釋祂所講的那個訊息中心
[00:01:09.200 --> 00:01:12.000]  一個蓋留的比喻
[00:01:12.000 --> 00:01:14.800]  就是二十八到三十節
[00:01:14.800 --> 00:01:17.200]  然後那個意思完全相同的
[00:01:17.200 --> 00:01:19.800]  就是這個打仗的比喻
[00:01:19.800 --> 00:01:23.800]  三十一到三十二節
[00:01:23.800 --> 00:01:26.600]  講完了這兩個比喻
[00:01:26.600 --> 00:01:29.400]  祂就有一個總結論
[00:01:29.400 --> 00:01:33.000]  這個總結論就在三十三節
[00:01:33.000 --> 00:01:36.600]  所以是非常之結構嚴謹
[00:01:36.600 --> 00:01:40.400]  但是那個思想是很深刻的
[00:01:40.400 --> 00:01:43.600]  這段聖經和《馬太福音》第十章
[00:01:43.600 --> 00:01:47.400]  三十七、三十八節是完全一樣的
[00:01:47.400 --> 00:01:51.400]  所以我們都可以參考這兩節聖經
[00:01:51.400 --> 00:01:53.800]  來解釋這一段
[00:01:53.800 --> 00:01:57.800]  我們先看一看那個引言
[00:01:57.800 --> 00:02:00.800]  第二十五節
[00:02:00.800 --> 00:02:06.400]  這裡說有極多的人和耶穌同行
[00:02:06.400 --> 00:02:08.800]  祂轉過來
[00:02:08.800 --> 00:02:12.800]  就對他們講了下面那一段的話
[00:02:12.800 --> 00:02:14.400]  我們試著了解一下
[00:02:14.400 --> 00:02:16.600]  這個引言是怎麼寫的
[00:02:16.600 --> 00:02:21.000]  然後我們看看祂對我們的意思是什麼
[00:02:21.000 --> 00:02:25.600]  同行走去哪裡?
[00:02:25.600 --> 00:02:29.400]  走去耶路撒冷
[00:02:29.400 --> 00:02:32.200]  誰和祂同行呢?
[00:02:32.200 --> 00:02:35.200]  有極多的人
[00:02:35.200 --> 00:02:37.400]  他們為什麼要和祂同行呢?
[00:02:37.400 --> 00:02:40.600]  這個是整個問題的關鍵
[00:02:40.600 --> 00:02:43.800]  他以為耶穌去耶路撒冷
[00:02:43.800 --> 00:02:48.200]  是要得權並得榮耀
[00:02:48.200 --> 00:02:51.800]  他們不知道耶穌是面向耶路撒冷
[00:02:51.800 --> 00:02:58.600]  事實上就是要去背負祂的十字架
