
[00:00:00.000 --> 00:00:02.840]  今天去到一個新的系列
[00:00:02.840 --> 00:00:06.120]  這個系列是叫做Salt and Light
[00:00:06.120 --> 00:00:07.680]  炎和光
[00:00:07.680 --> 00:00:10.120]  我想如果翻開這堂崇拜的日頂
[00:00:10.120 --> 00:00:11.480]  姐妹們應該一點都不陌生
[00:00:11.480 --> 00:00:13.280]  我們一直在說成長
[00:00:13.280 --> 00:00:16.760]  但下半年其實我們一直在說不同的處境
[00:00:16.760 --> 00:00:18.360]  一開始就在說自己
[00:00:18.360 --> 00:00:19.080]  Emotions
[00:00:19.080 --> 00:00:21.280]  接著說我們的原生家庭
[00:00:21.280 --> 00:00:23.200]  接著說我們的朋友圈子
[00:00:23.200 --> 00:00:24.920]  接著說我們的職場
[00:00:24.920 --> 00:00:26.800]  今天我們多走一步
[00:00:26.800 --> 00:00:28.840]  炎和光其實我想說什麼呢
[00:00:28.840 --> 00:00:34.240]  就是教會在社會的Social Involvement
[00:00:34.240 --> 00:00:36.960]  到底教會在這個社會裡面
[00:00:36.960 --> 00:00:40.280]  其實我們有沒有責任呢
[00:00:40.280 --> 00:00:41.720]  今天的講題叫做
[00:00:41.720 --> 00:00:43.920]  失味的炎 抖底的燈
[00:00:43.920 --> 00:00:46.840]  其實我不是打算罵任何東西
[00:00:46.840 --> 00:00:49.200]  不過我提醒一下我們自己
[00:00:49.200 --> 00:00:52.040]  當你看到炎和光
[00:00:52.040 --> 00:00:53.160]  或者燈
[00:00:53.160 --> 00:00:54.720]  抖底的燈
[00:00:54.720 --> 00:00:56.160]  你會想起的是
[00:00:56.160 --> 00:00:58.360]  《馬太福音》第五章的經文
[00:00:58.360 --> 00:01:00.280]  我希望你會想起
[00:01:00.280 --> 00:01:01.560]  或者可能很多人會想起
[00:01:01.560 --> 00:01:03.720]  耶穌曾經說過類似的話
[00:01:03.720 --> 00:01:04.680]  不要緊
[00:01:04.680 --> 00:01:06.680]  我們今天一起讀這段經文
[00:01:06.680 --> 00:01:10.280]  我們不如一起讀吧
[00:01:10.280 --> 00:01:11.520]  大家遷就一下我吧
[00:01:11.520 --> 00:01:13.920]  你知道我有障礙的
[00:01:13.920 --> 00:01:15.120]  我們一起讀
[00:01:15.120 --> 00:01:16.960]  《馬太福音》第五章十三節
[00:01:16.960 --> 00:01:19.000]  你們是地上的炎
[00:01:19.000 --> 00:01:20.640]  炎藥失了味
[00:01:20.640 --> 00:01:23.280]  怎能叫它再咸呢
[00:01:23.280 --> 00:01:24.560]  它不再有用
[00:01:24.560 --> 00:01:26.480]  只好被丟在外面
[00:01:26.480 --> 00:01:28.040]  任人踐踏
[00:01:28.040 --> 00:01:30.160]  你們是世上的光
