
[00:00:00.000 --> 00:00:03.000]  我們同心地禱告
[00:00:03.000 --> 00:00:07.000]  叉向上主 多謝祢賜下寶貴的救恩
[00:00:07.000 --> 00:00:11.000]  讓我們能夠蒙恩 成為天國的子民
[00:00:11.000 --> 00:00:17.000]  多謝祢賜下寶貴的話語 引導我們進入真理裏面
[00:00:17.000 --> 00:00:22.000]  多謝祢賜下寶貴的聖靈 讓我們尚有很多的教導
[00:00:22.000 --> 00:00:24.000]  求上主與我們同在
[00:00:24.000 --> 00:00:29.000]  當我們在很繁重 忙亂的生活節奏裏面
[00:00:29.000 --> 00:00:34.000]  我們常常回歸在上主創造的美善秩序裏面
[00:00:34.000 --> 00:00:37.000]  我們更加去警醒自己的生命
[00:00:37.000 --> 00:00:41.000]  我們能夠行事為人 與上主您蒙的恩相稱
[00:00:41.000 --> 00:00:43.000]  求上主令親自向我們每一個人說話
[00:00:43.000 --> 00:00:45.000]  願我們同在 聽我們禱告
[00:00:45.000 --> 00:00:50.000]  奉教和救主 耶穌基督 寶貴的聖名去求 阿們
[00:00:50.000 --> 00:00:54.000]  東武剛剛完結了 不知道大家有沒有看
[00:00:54.000 --> 00:00:57.000]  大家如何去界定一個好的運動員呢
[00:00:57.000 --> 00:01:01.000]  你是看他有多少的技巧運動得好不好
[00:01:01.000 --> 00:01:03.000]  看有多少的獎牌
[00:01:03.000 --> 00:01:06.000]  有兩個場景我印象很深刻
[00:01:06.000 --> 00:01:08.000]  在某一場賽事裏面
[00:01:08.000 --> 00:01:12.000]  兩個都是同一個國家隊同時晉身決賽
[00:01:12.000 --> 00:01:16.000]  兩個勢均力敵 都已經預了冠亞軍會囊括
[00:01:16.000 --> 00:01:20.000]  在賽事的中段的時候 兩個跟得很貼
[00:01:20.000 --> 00:01:23.000]  其中有一個為了要超越另外一個
[00:01:23.000 --> 00:01:25.000]  誰知兩個相撞
[00:01:25.000 --> 00:01:29.000]  他們一起推出了賽跑的跑道
[00:01:29.000 --> 00:01:31.000]  雙方都出局了
[00:01:31.000 --> 00:01:34.000]  我不敢定斷這是什麼意外
[00:01:34.000 --> 00:01:37.000]  但看回報道 原來他們以往都試過內訌
[00:01:37.000 --> 00:01:41.000]  兩人不只一次試過在運動場上相撞
[00:01:41.000 --> 00:01:45.000]  其中有一個試過將隊友推出了他的賽道
[00:01:45.000 --> 00:01:49.000]  被判犯規而取消他的成績
[00:01:49.000 --> 00:01:54.000]  另一個場景是三個人一組的對制賽
[00:01:54.000 --> 00:01:59.000]  三個都以最慢的成績作準
[00:01:59.000 --> 00:02:03.000]  在賽事裏頭兩個隊員
[00:02:03.000 --> 00:02:07.000]  最多三個比較靠近一起滑冰
[00:02:07.000 --> 00:02:09.000]  有兩個比較快一點
[00:02:09.000 --> 00:02:12.000]  開始有一點拋離了第三個
[00:02:12.000 --> 00:02:14.000]  差不多衝刺的時候
[00:02:14.000 --> 00:02:17.000]  兩個就更加加速地衝過去
[00:02:17.000 --> 00:02:19.000]  跟第三個就更加完全拋離
[00:02:19.000 --> 00:02:21.000]  相差十秒左右
[00:02:21.000 --> 00:02:23.000]  結果頭兩個很快衝過去
[00:02:23.000 --> 00:02:26.000]  第三個因為用第三個計數
[00:02:26.000 --> 00:02:28.000]  結果就進不了決賽
[00:02:28.000 --> 00:02:31.000]  在賽後頭最快那個就說
[00:02:31.000 --> 00:02:34.000]  其實我們兩個都流得很快
[00:02:34.000 --> 00:02:36.000]  是第三個追不上我們
[00:02:36.000 --> 00:02:39.000]  搞到我們進不了決賽
[00:02:39.000 --> 00:02:44.000]  在賽後很多網民在炮轟他
[00:02:44.000 --> 00:02:46.000]  說欺凌隊友不行
[00:02:46.000 --> 00:02:49.000]  據聞有超過六十個人聯署
[00:02:49.000 --> 00:02:52.000]  說要將他趕出國家隊
[00:02:52.000 --> 00:02:58.000]  在他個人的賽事裏拿到銀牌
[00:02:58.000 --> 00:03:00.000]  他知道自己失言
[00:03:00.000 --> 00:03:03.000]  他將國旗放在地上
