
[00:00:00.000 --> 00:00:03.000]  (主席)大英節目門,大家平安。
[00:00:03.000 --> 00:00:11.000]  嘩,真是好開心的,能夠在疫情期間,我們大家都可以在主裡面彼此相見。
[00:00:11.000 --> 00:00:16.000]  為了我們能夠在實體當中,我們一同的聚會,我們感謝贊美主。
[00:00:16.000 --> 00:00:22.000]  照樣的,我們都為在網上高,我們一起參加的肢體們,我們都獻上感恩。
[00:00:22.000 --> 00:00:26.000]  願主帶領我們,加力量給我們。
[00:00:26.000 --> 00:00:35.000]  今天早上和大家一同的,我們來思想這個題目,叫做「愛心永留,永恆團契」。
[00:00:35.000 --> 00:00:44.000]  在港島的裏面,教會都在傳閱一份我們共同在看的書本。
[00:00:44.000 --> 00:00:49.000]  那本書本叫做,應該是叫做「真愛四十天運動」。
[00:00:49.000 --> 00:00:52.000]  大家有沒有在看那本書的?
[00:00:52.000 --> 00:00:56.000]  即是我有,你沒有?
[00:00:56.000 --> 00:00:58.000]  不要緊的。
[00:00:58.000 --> 00:01:01.000]  那它大概是講甚麼呢?
[00:01:01.000 --> 00:01:06.000]  它原來有很多的運動,其中它很鼓勵我們。
[00:01:06.000 --> 00:01:14.000]  我們在當中,對於它的話語,我們每一方面都有所學習。
[00:01:14.000 --> 00:01:18.000]  而金會作者,應該翻譯成中文,是華爾克牧師。
[00:01:18.000 --> 00:01:23.000]  就提醒我們,我們要切實的彼此相愛。
[00:01:23.000 --> 00:01:26.000]  所以這裏有一個叫做「真愛四十天運動」。
[00:01:26.000 --> 00:01:30.000]  不過我們不要太過介懷,所謂四十天。
[00:01:30.000 --> 00:01:36.000]  即是你千萬不要以為,我們要彼此相愛呀,四十天而已。
[00:01:36.000 --> 00:01:41.000]  多麼難忍都好,四十天之後就可以返回原形了。
[00:01:41.000 --> 00:01:43.000]  它不是這樣的意思。
[00:01:43.000 --> 00:01:48.000]  其實論到四十天,在聖經當中有很多的技術的。
[00:01:48.000 --> 00:01:52.000]  例如,好像耶穌基督,祂在公開出來傳道的時候,
[00:01:52.000 --> 00:01:59.000]  祂承受魔鬼撒旦的試探,在曠野有四十天的時間。
[00:01:59.000 --> 00:02:02.000]  並且,有一件事不知道大家有沒有留心的。
[00:02:02.000 --> 00:02:07.000]  即使耶穌基督祂復活了,大家知不知道?
[00:02:07.000 --> 00:02:12.000]  祂復活了之後,祂原來不是立即升天的。
[00:02:12.000 --> 00:02:17.000]  祂原來還起呢?這個大地上高,大約有四十天的時間。
[00:02:17.000 --> 00:02:19.000]  你們知不知道這件事?
[00:02:19.000 --> 00:02:21.000]  為甚麼我們會知道呢?
[00:02:21.000 --> 00:02:28.000]  因為從福音書當中,我們發現到,哇!原來還有不少的工作。
[00:02:28.000 --> 00:02:31.000]  那裏都相當時間了。
[00:02:31.000 --> 00:02:36.000]  並且,能夠最清楚指示的是在《使徒行傳》第一章。
[00:02:36.000 --> 00:02:39.000]  祂在當中就很清楚講述了。
[00:02:39.000 --> 00:02:42.000]  祂原來主還在地上高,停留了有四十天的時間。
[00:02:42.000 --> 00:02:48.000]  而這四十天,我們發現到,哇!原來主耶穌基督做了很多的工作。
[00:02:48.000 --> 00:02:52.000]  我見到一件事,我們的主是那位勤勞的主來的。
[00:02:52.000 --> 00:02:57.000]  剛才多謝主席,多謝師母帶領我們的敬拜,
[00:02:57.000 --> 00:02:59.000]  以及經文的誦讀。
[00:02:59.000 --> 00:03:03.000]  輪到「真愛永留」。
[00:03:03.000 --> 00:03:06.000]  我們要在當中學習彼此相愛。
[00:03:06.000 --> 00:03:10.000]  這兩段的經文裏面,就提醒了我們一件事。
[00:03:10.000 --> 00:03:13.000]  是哪兩件事呢?
[00:03:13.000 --> 00:03:16.000]  為甚麼我們不可以真心的彼此相愛呢?
[00:03:16.000 --> 00:03:18.000]  在《肥肋秘書》裏面說的,
[00:03:18.000 --> 00:03:23.000]  祂說你們不要單顧自己的事,都要顧別人的事。
[00:03:23.000 --> 00:03:27.000]  你們當以基督耶穌的心為心。
[00:03:27.000 --> 00:03:30.000]  為甚麼信徒不能夠彼此相愛呢?
[00:03:30.000 --> 00:03:34.000]  作者就提出一個很主要的關鍵所在,
[00:03:34.000 --> 00:03:37.000]  是因為人的「自私」。
[00:03:37.000 --> 00:03:39.000]  但是這個「自私」呢?
[00:03:39.000 --> 00:03:44.000]  根據祂所引述的經文,在《以塞厚書》第五十六章第十一節,
[00:03:44.000 --> 00:03:45.000]  聖經說:
[00:03:45.000 --> 00:03:51.000]  「各人就偏行己路,各從各方求自己的利益。」
[00:03:51.000 --> 00:03:55.000]  是甚麼東西令人類的社會不得和諧?
[00:03:55.000 --> 00:03:59.000]  是甚麼事情令我們不能夠彼此的真心相愛呢?
[00:03:59.000 --> 00:04:02.000]  原來那個「自我忠心」,
[00:04:02.000 --> 00:04:07.000]  那個「自私」是一個很大的關鍵來的。
[00:04:07.000 --> 00:04:10.000]  人能夠在甚麼情況下才可以真心相愛呢?
[00:04:10.000 --> 00:04:14.000]  除非我們認定耶穌基督。
[00:04:14.000 --> 00:04:19.000]  大家不要單顧自己的事,都要顧別人的事。
[00:04:19.000 --> 00:04:20.000]  這個相當好。
[00:04:20.000 --> 00:04:22.000]  還重要的是甚麼呢?
[00:04:22.000 --> 00:04:26.000]  我們能不能夠以基督耶穌的心為心?
[00:04:26.000 --> 00:04:28.000]  這個就是關鍵的所在。
[00:04:28.000 --> 00:04:31.000]  第二段的經文是在《路加方》來的。
[00:04:31.000 --> 00:04:34.000]  這裡是主耶穌教導我們的。
[00:04:34.000 --> 00:04:38.000]  如果有人要跟從我的話,就當社己。
[00:04:38.000 --> 00:04:40.000]  所以作者提出的就是說,
[00:04:40.000 --> 00:04:43.000]  為甚麼我們不能夠真心相愛呢?
[00:04:43.000 --> 00:04:45.000]  是因為我們的自私。
[00:04:45.000 --> 00:04:47.000]  是因為我們的「自我忠心」。
[00:04:47.000 --> 00:04:52.000]  所以在今天,我和大家一同沿著這方面去思想的時候,
[00:04:52.000 --> 00:04:55.000]  亦都透過剛才所看的經文裏面,
[00:04:55.000 --> 00:04:57.000]  第一方面我們一同要來,
[00:04:57.000 --> 00:05:02.000]  大家學習一齊,我們要愛人如己。
[00:05:02.000 --> 00:05:06.000]  這個是主門徒的表現來的。
[00:05:06.000 --> 00:05:10.000]  大英姐妹們,請問,
[00:05:10.000 --> 00:05:15.000]  別人未信主的親朋好友,並且這個社區,
[00:05:15.000 --> 00:05:20.000]  怎樣才可以認得出我們是主的門徒?
[00:05:20.000 --> 00:05:23.000]  感謝贊美主在今天的講道完畢之後,
[00:05:23.000 --> 00:05:25.000]  我們會有主餐的時間。
[00:05:25.000 --> 00:05:28.000]  大英姐妹們,在甚麼情況下,
[00:05:28.000 --> 00:05:31.000]  人家可以認出我們就是主的門徒呢?
[00:05:31.000 --> 00:05:36.000]  根據「讓福音」,那裏是這樣說的,
[00:05:36.000 --> 00:05:40.000]  「讓福音」在第十三章三十五節,
[00:05:40.000 --> 00:05:44.000]  別人怎樣認出我們是主的門徒呢?
[00:05:44.000 --> 00:05:45.000]  主耶穌是這樣說的。
[00:05:45.000 --> 00:05:48.000]  試試我先講上半節,
[00:05:48.000 --> 00:05:50.000]  看看大家能否接下去。
