
[00:00:00.000 --> 00:00:01.660]  悲一般的時代
[00:00:01.660 --> 00:00:03.680]  悲一般的崇拜
[00:00:03.680 --> 00:00:06.720]  歡迎大家來到我們的週六崇拜
[00:00:06.720 --> 00:00:11.040]  在這裏先和大家說一聲母親節快樂
[00:00:11.040 --> 00:00:13.440]  加爾文John Calvin有一句名言
[00:00:13.440 --> 00:00:14.320]  他這麼說
[00:00:14.320 --> 00:00:17.920]  The church is the mother of all Christians
[00:00:17.920 --> 00:00:23.280]  他說教會是衆基督徒的母親
[00:00:23.280 --> 00:00:27.840]  所以在這裏我們不單止是爲地上的母親去感恩
[00:00:27.840 --> 00:00:34.040]  也爲着教會我們屬靈的母親去感謝
[00:00:34.040 --> 00:00:34.880]  也是禱告
[00:00:34.880 --> 00:00:39.600]  盼望很快大家都可以從頭母親的懷抱
[00:00:39.600 --> 00:00:46.000]  很快可以回到這裏一起做實體的崇拜
[00:00:46.000 --> 00:00:47.680]  由2018年1月開始
[00:00:47.680 --> 00:00:50.240]  我們一直在研讀《馬赫福音》
[00:00:50.240 --> 00:00:54.400]  到現在已經有超過兩年的時候
[00:00:54.400 --> 00:00:58.840]  我們講到系列的總題叫做《非凡的見證》
[00:00:58.840 --> 00:01:01.440]  不因爲馬赫是一個非凡的作者
[00:01:01.440 --> 00:01:06.360]  而是因爲主耶穌基督是一個非凡的救主
[00:01:06.360 --> 00:01:08.160]  《馬赫福音》是一本怎樣的書
[00:01:08.160 --> 00:01:11.960]  德國神學家Martin Tyler曾經這麼說
[00:01:11.960 --> 00:01:17.680]  他說《馬赫福音》就是一個耶穌受難復活故事前面
[00:01:17.680 --> 00:01:23.040]  再加了一個延長了的引穎
[00:01:23.040 --> 00:01:25.680]  《馬赫福音》是一篇熱情的故事
[00:01:25.680 --> 00:01:29.200]  與一個延長的引穎
[00:01:29.200 --> 00:01:34.680]  馬赫用了十章的聖經去講述耶穌三年的事工
[00:01:34.680 --> 00:01:36.480]  除了最後一個禮拜之外
[00:01:36.480 --> 00:01:38.600]  去到《馬赫福音》的第十一章
[00:01:38.600 --> 00:01:43.800]  我們正式進入了耶穌基督在地上最後的一週
[00:01:43.800 --> 00:01:49.640]  這一週一直帶我們去到《馬赫福音》第十六章
[00:01:49.640 --> 00:01:53.880]  《馬赫福音》第十一和十二章所記載的是
[00:01:53.880 --> 00:01:58.280]  聖殿爭霸裏面的七個回合
[00:01:58.280 --> 00:02:00.760]  之前我們已經講了頭四個回合
[00:02:00.760 --> 00:02:01.840]  分別是
[00:02:01.840 --> 00:02:03.520]  愛子的權柄
[00:02:03.520 --> 00:02:05.120]  邪惡的緣故
[00:02:05.120 --> 00:02:06.880]  凱撒的銀幣
[00:02:06.880 --> 00:02:07.960]  復活的上帝
[00:02:07.960 --> 00:02:11.200]  今天要講的是第五個回合
[00:02:11.200 --> 00:02:13.440]  講到的經文是《馬赫福音》第十二章
[00:02:13.440 --> 00:02:15.160]  第二十八至三十四節
[00:02:15.160 --> 00:02:20.720]  講到的題目是最大的教會
[00:02:20.720 --> 00:02:22.240]  講起最大的教會
[00:02:22.240 --> 00:02:24.160]  我相信大家都不會覺得陌生
[00:02:24.160 --> 00:02:26.640]  今天其實有很多很多的教會
[00:02:26.640 --> 00:02:30.320]  都自稱自己爲兩大的教會
[00:02:30.320 --> 00:02:33.240]  第一他說我們是大使命的教會
[00:02:33.240 --> 00:02:35.440]  我們是一個傳揚福音的教會
[00:02:35.440 --> 00:02:39.080]  第二我們是大解命的教會
[00:02:39.080 --> 00:02:41.240]  我們是一個愛神
[00:02:41.240 --> 00:02:47.400]  愛人服侍社區羣體的教會
[00:02:47.400 --> 00:02:51.880]  不過當我們來到聖殿爭霸第五回合的中間
[00:02:51.880 --> 00:02:53.600]  我們要問一個問題
[00:02:53.600 --> 00:02:55.720]  究竟在這個故事裏面
[00:02:55.720 --> 00:02:59.000]  耶穌是不是隻是想通過這個故事
[00:02:59.000 --> 00:03:01.680]  去催谷我們
[00:03:01.680 --> 00:03:06.640]  將我們所信的東西賦予實踐
[00:03:06.640 --> 00:03:10.640]  是不是耶穌的目的就是要Just do it
[00:03:10.640 --> 00:03:13.560]  耶穌講這個大使命的原因
[00:03:13.560 --> 00:03:16.560]  大解命的原因就是叫我們
[00:03:16.560 --> 00:03:19.600]  講多無謂行動最實際
[00:03:19.600 --> 00:03:20.760]  如果是這樣的話
[00:03:20.760 --> 00:03:22.200]  我這邊根本不需要講
[00:03:22.200 --> 00:03:26.880]  我們讀完聖經回家就可以行動了
[00:03:26.880 --> 00:03:28.360]  還是在故事當中
[00:03:28.360 --> 00:03:31.360]  其實在短短七節的聖經裏面
[00:03:31.360 --> 00:03:35.640]  包含着一些很深奧的天國奧祕
[00:03:35.640 --> 00:03:39.960]  耶穌邀請我們去抽絲剝繭
[00:03:39.960 --> 00:03:43.240]  邀請我們很敏銳地去識辨
[00:03:43.240 --> 00:03:46.600]  究竟祂要跟我們講的天國奧祕
[00:03:46.600 --> 00:03:51.240]  這個是我們今天要做的功夫
[00:03:51.240 --> 00:03:55.000]  我想帶你一節一節去看這七節的聖經
[00:03:55.000 --> 00:04:00.200]  但開始的時候我們先回到上個星期的故事
[00:04:00.200 --> 00:04:02.520]  《貓哭音》第十二章第十八節這樣講
[00:04:02.520 --> 00:04:05.960]  「殺都該人,來見耶穌」
[00:04:05.960 --> 00:04:08.160]  這個聖殿的車輪戰
[00:04:08.160 --> 00:04:09.840]  其實去到第四個回合
[00:04:09.840 --> 00:04:12.360]  如果你上個星期在這裏聽我講第四個回合
[00:04:12.360 --> 00:04:16.240]  其實都已經是塵埃落定了
[00:04:16.240 --> 00:04:19.680]  之前已經有六組人來過找耶穌
[00:04:19.680 --> 00:04:24.760]  包括祭司長、文士、長老、伯利塞人、希臘黨人
[00:04:24.760 --> 00:04:26.120]  殺都該人
[00:04:26.120 --> 00:04:27.600]  他們都先後出場
[00:04:27.600 --> 00:04:32.200]  也都是先後拜於耶穌的手下
[00:04:32.200 --> 00:04:33.000]  你可不可以想象
[00:04:33.000 --> 00:04:37.960]  如果你將這個聖殿的爭霸拍成一部電影
[00:04:37.960 --> 00:04:42.280]  去到這個時候其實都差不多可以結束了
[00:04:42.280 --> 00:04:45.880]  那些衆人見到所有六組的人都已經輸了
[00:04:45.880 --> 00:04:48.200]  他們鼓掌
[00:04:48.200 --> 00:04:49.920]  接着他們喝彩
[00:04:49.920 --> 00:04:52.680]  接着他們慢慢地離開聖殿
[00:04:52.680 --> 00:04:55.600]  因爲日落已近了
[00:04:55.600 --> 00:04:56.560]  在另外一方面
[00:04:56.560 --> 00:04:57.960]  你見到十二個門徒
[00:04:57.960 --> 00:05:00.240]  他們也都鬆了一口氣
[00:05:00.240 --> 00:05:02.120]  耶穌沒有輸過
[00:05:02.120 --> 00:05:04.320]  他們開始收拾他們的行裝
[00:05:04.320 --> 00:05:06.840]  準備歸家
[00:05:06.840 --> 00:05:08.600]  但這口氣還未完
[00:05:08.600 --> 00:05:09.400]  就在這個時候
[00:05:09.400 --> 00:05:12.080]  在老院有一個影子的出現
[00:05:12.080 --> 00:05:14.720]  這個人單槍匹馬
[00:05:14.720 --> 00:05:15.880]  他逆向人羣
[00:05:15.880 --> 00:05:17.080]  人是在走
[00:05:17.080 --> 00:05:18.080]  他就回來
[00:05:18.080 --> 00:05:20.640]  他迎向耶穌
[00:05:20.640 --> 00:05:25.960]  但我們進入第五輪的爭霸
[00:05:25.960 --> 00:05:28.040]  《茂普音》第十二章第二十八節這樣說
[00:05:28.040 --> 00:05:30.760]  有一個文士來
[00:05:30.760 --> 00:05:33.080]  聽見他們的辯論
