
[00:00:00.000 --> 00:00:03.000]  好,我們開始聽道之前
[00:00:03.000 --> 00:00:05.520]  我們一起去低頭祈禱
[00:00:05.520 --> 00:00:10.960]  主耶穌基督上帝願以祢臨在我們當中
[00:00:10.960 --> 00:00:13.160]  聖靈來指示我們
[00:00:13.160 --> 00:00:15.800]  若我們能夠明白神的話語
[00:00:15.800 --> 00:00:18.680]  亦都能夠拜在我們心中
[00:00:18.680 --> 00:00:20.880]  記在我們的腦中
[00:00:20.880 --> 00:00:22.080]  亦都幫助我們
[00:00:22.080 --> 00:00:23.800]  走在我們的生活上
[00:00:23.800 --> 00:00:25.760]  主求祢使用祢的僕人
[00:00:25.760 --> 00:00:27.280]  祢高沒他的口
[00:00:27.280 --> 00:00:30.240]  祢使用祂所準備的信息
[00:00:30.240 --> 00:00:31.760]  祢安靜我們的心
[00:00:31.760 --> 00:00:34.080]  避我們謙卑等候
[00:00:34.080 --> 00:00:37.200]  祢自己的王宇臨在我們心中
[00:00:37.200 --> 00:00:38.920]  奉主耶穌基督的聖名
[00:00:38.920 --> 00:00:41.000]  Amen
[00:00:41.000 --> 00:00:47.360]  今天是什麼日子?
[00:00:47.360 --> 00:00:48.240]  一定對的
[00:00:48.240 --> 00:00:50.600]  你答復活節一定對的
[00:00:50.600 --> 00:00:52.000]  今天是復活節
[00:00:52.000 --> 00:00:54.400]  明天是什麼日子?
[00:00:54.400 --> 00:00:55.520]  愚人節
[00:00:55.520 --> 00:00:56.800]  亦都對的
[00:00:56.800 --> 00:01:02.400]  但是這兩天有什麼關係?
[00:01:02.400 --> 00:01:06.400]  復活節和愚人節有什麼關係?
[00:01:06.400 --> 00:01:09.880]  沒有關係的
[00:01:09.880 --> 00:01:13.480]  都是節日來的
[00:01:13.480 --> 00:01:16.160]  你說好像和我們的信仰沒有什麼關係
[00:01:16.160 --> 00:01:18.160]  那你提來幹什麼呢?
[00:01:18.160 --> 00:01:23.280]  其實原來愚人節是和我們的信仰
[00:01:23.280 --> 00:01:29.040]  或者和基督教有關係的
[00:01:29.040 --> 00:01:34.160]  愚人節是開始於法國的
[00:01:34.160 --> 00:01:35.440]  為什麼說開始於法國呢?
[00:01:35.440 --> 00:01:37.960]  原來法國最初的時候
[00:01:37.960 --> 00:01:40.440]  愚人節是新年來的
[00:01:40.440 --> 00:01:43.200]  4月1日是新年來的
[00:01:43.200 --> 00:01:46.000]  在很早很早以前中世紀之前
[00:01:46.000 --> 00:01:49.280]  他們4月1日是慶祝的日子
[00:01:49.280 --> 00:01:51.560]  亦都是送禮物的日子
[00:01:51.560 --> 00:01:56.760]  所以4月1日最初對他們來說是新年來的
[00:01:56.760 --> 00:01:59.440]  直到中世紀的時候
[00:01:59.440 --> 00:02:04.560]  有人將這個月曆、日曆改
[00:02:04.560 --> 00:02:11.440]  改的時候就將它改為1月1日是慶祝新年
[00:02:11.440 --> 00:02:13.240]  亦都是一個送禮物的日子
[00:02:13.240 --> 00:02:15.320]  亦都是一個慶祝的日子
[00:02:15.320 --> 00:02:18.520]  但是一些保守派
[00:02:18.520 --> 00:02:21.880]  很守舊的人他們就接受不了
[00:02:21.880 --> 00:02:26.960]  他們就認為我們一向都是4月1日慶祝新年
[00:02:26.960 --> 00:02:29.880]  為什麼現在要改呢?
[00:02:29.880 --> 00:02:35.600]  其實這個新的曆法是叫做「隔離曆」
[00:02:35.600 --> 00:02:41.240]  是一個貴格理教皇的命改的
[00:02:41.240 --> 00:02:46.120]  是因為他是首創要用1月1日作為新年
[00:02:46.120 --> 00:02:49.360]  所以守舊的人就不能夠接受
[00:02:49.360 --> 00:02:52.960]  他們繼續要用4月1日來慶祝新年
[00:02:52.960 --> 00:02:57.760]  過新年來送禮物、來慶祝
[00:02:57.760 --> 00:02:59.280]  這些新派的
[00:02:59.280 --> 00:03:01.200]  即是改革派的人
[00:03:01.200 --> 00:03:03.560]  他們就覺得你們為什麼這麼固執
[00:03:03.560 --> 00:03:05.800]  一定要4月1日
[00:03:05.800 --> 00:03:07.920]  因此就作弄他們
[00:03:07.920 --> 00:03:09.280]  4月1日的時候
[00:03:09.280 --> 00:03:13.200]  就好像跟他們一起去慶祝新年一樣
[00:03:13.200 --> 00:03:14.600]  送禮物給他們
[00:03:14.600 --> 00:03:17.160]  但是那個禮物是假的
[00:03:17.160 --> 00:03:19.440]  或者搞一個派對
[00:03:19.440 --> 00:03:21.160]  邀請他們來
[00:03:21.160 --> 00:03:23.520]  特別是邀請這些守舊的人來
[00:03:23.520 --> 00:03:25.840]  但是當他們來到的時候才發覺到
[00:03:25.840 --> 00:03:27.720]  原來沒有的
[00:03:27.720 --> 00:03:30.240]  沒有這樣的一個派對
[00:03:30.240 --> 00:03:32.560]  所以就開始有一個
[00:03:32.560 --> 00:03:36.520]  用4月1日來作弄人的一種做法
[00:03:36.520 --> 00:03:40.480]  慢慢地這種作弄就越來越普及
[00:03:40.480 --> 00:03:46.440]  很多人就會用那一天特別的去將一些慶祝
[00:03:46.440 --> 00:03:48.840]  佈置到好像聖誕節一樣
[00:03:48.840 --> 00:03:50.240]  好像新年一樣
[00:03:50.240 --> 00:03:52.040]  然後當人們來到的時候
[00:03:52.040 --> 00:03:53.520]  4月1日來到的時候
[00:03:53.520 --> 00:03:55.680]  他們就說祝你聖誕快樂
[00:03:55.680 --> 00:03:58.560]  或者祝你新年進步之類的東西
[00:03:58.560 --> 00:04:01.960]  那個情況就完全很混淆
[00:04:01.960 --> 00:04:05.440]  4月1日到底是不是真的一個新年呢
[00:04:05.440 --> 00:04:09.200]  令到大家就開始很疑惑
