
[00:00:00.000 --> 00:00:05.000]  今天的題目是活出奉獻的人生
[00:00:05.000 --> 00:00:08.000]  我猜大家都不會否定
[00:00:08.000 --> 00:00:09.000]  現在香港復上
[00:00:09.000 --> 00:00:13.000]  或者很多地方你都看到人頭湧湧
[00:00:13.000 --> 00:00:18.000]  昨晚我們吃完飯就去了花墟買一些花
[00:00:18.000 --> 00:00:20.000]  就拿回教會
[00:00:20.000 --> 00:00:23.000]  我老婆就幫我插花
[00:00:23.000 --> 00:00:25.000]  很恩愛
[00:00:25.000 --> 00:00:27.000]  有一個場面我們看到
[00:00:27.000 --> 00:00:30.000]  教會附近以往八點九點都沒有燈
[00:00:30.000 --> 00:00:32.000]  現在還有很多人
[00:00:32.000 --> 00:00:33.000]  不單是這樣
[00:00:33.000 --> 00:00:35.000]  當我們現在上班
[00:00:35.000 --> 00:00:37.000]  特別是peak hours
[00:00:37.000 --> 00:00:40.000]  看到人越來越多
[00:00:40.000 --> 00:00:43.000]  早兩三個禮拜有一次上班的時候
[00:00:43.000 --> 00:00:47.000]  就在特別的轉站的位置
[00:00:47.000 --> 00:00:49.000]  轉車站位九龍塘
[00:00:49.000 --> 00:00:51.000]  一開地鐵門
[00:00:51.000 --> 00:00:52.000]  人們馬上衝出去了
[00:00:52.000 --> 00:00:54.000]  馬上跑跑跑跑跑跑跑到地鐵
[00:00:54.000 --> 00:00:57.000]  當時看到一個比較年輕的女生
[00:00:57.000 --> 00:00:58.000]  一跑出去的時候
[00:00:58.000 --> 00:00:59.000]  砰!
[00:00:59.000 --> 00:01:02.000]  輕輕撞到伯伯
[00:01:02.000 --> 00:01:03.000]  都不是很大力
[00:01:03.000 --> 00:01:04.000]  輕輕
[00:01:04.000 --> 00:01:06.000]  我馬上看看伯伯有沒有事
[00:01:06.000 --> 00:01:09.000]  但很快就知道伯伯沒事了
[00:01:09.000 --> 00:01:11.000]  原因是伯伯被人撞到之後
[00:01:11.000 --> 00:01:13.000]  馬上開始很有中氣地罵
[00:01:13.000 --> 00:01:15.000]  跑得這麼快
[00:01:15.000 --> 00:01:16.000]  趕著去哪
[00:01:16.000 --> 00:01:18.000]  趕著去投胎
[00:01:18.000 --> 00:01:20.000]  最終說趕著去投胎
[00:01:20.000 --> 00:01:24.000]  我馬上確保他很安全的時候
[00:01:24.000 --> 00:01:25.000]  我心馬上想了一句
[00:01:25.000 --> 00:01:27.000]  伯伯我們不會投胎的
[00:01:27.000 --> 00:01:29.000]  但不敢說
[00:01:29.000 --> 00:01:30.000]  心想而已
[00:01:30.000 --> 00:01:31.000]  但想多一句
[00:01:31.000 --> 00:01:33.000]  就算伯伯覺得會投胎
[00:01:33.000 --> 00:01:37.000]  其實上班是比去投胎還要趕
[00:01:37.000 --> 00:01:39.000]  你試試阻礙他們
[00:01:39.000 --> 00:01:41.000]  因為他們的目標就是不可以遲到
[00:01:41.000 --> 00:01:42.000]  還有香港人的目標就是
[00:01:42.000 --> 00:01:43.000]  最後一分鐘才起床
[00:01:43.000 --> 00:01:45.000]  然後又回去又不遲到
[00:01:45.000 --> 00:01:46.000]  很奇怪的事
[00:01:46.000 --> 00:01:48.000]  這就是我們的目標
[00:01:48.000 --> 00:01:51.000]  當然我們再想深一層
[00:01:51.000 --> 00:01:54.000]  究竟我們除了每天要上班
