
[00:00:00.000 --> 00:00:04.000]  今天我們又要繼續講我們的系列
[00:00:04.000 --> 00:00:08.540]  如何背起十字架來跟隨基督
[00:00:08.540 --> 00:00:13.520]  這個系列剛纔Larry長老都已經提醒了我們
[00:00:13.520 --> 00:00:17.000]  是和我們今年的主題息息相關
[00:00:17.000 --> 00:00:20.720]  如何背起十字架來跟隨基督
[00:00:20.720 --> 00:00:23.100]  如果你記得我上個星期跟大家講的
[00:00:23.100 --> 00:00:26.620]  是用一箇舊約的故事來做引言
[00:00:26.620 --> 00:00:28.260]  來做介紹
[00:00:28.260 --> 00:00:30.000]  新約實在是太直接了
[00:00:30.000 --> 00:00:31.660]  所以我一向都喜歡舊約
[00:00:31.660 --> 00:00:36.140]  但最終都要找一箇舊約的故事來做介紹
[00:00:36.140 --> 00:00:37.760]  講到以利沙
[00:00:37.760 --> 00:00:41.440]  他要學習如何成爲以利亞的門徒
[00:00:41.440 --> 00:00:45.260]  來學習我們如何成爲耶穌基督的門徒
[00:00:45.260 --> 00:00:47.700]  我們說以利亞走去以利沙那裏
[00:00:47.700 --> 00:00:49.680]  以利沙在耕田
[00:00:49.680 --> 00:00:51.880]  有十二對牛在他前面
[00:00:51.880 --> 00:00:54.440]  以利亞將他自己的外衣
[00:00:54.440 --> 00:00:58.640]  將他自己的披風搭在以利沙的身上
[00:00:58.640 --> 00:01:00.260]  以利沙就明白
[00:01:00.260 --> 00:01:05.400]  這是呼召他成爲以利亞門徒的一個舉動
[00:01:05.400 --> 00:01:06.460]  所以他怎樣
[00:01:06.460 --> 00:01:08.400]  他就和以利亞說
[00:01:08.400 --> 00:01:12.840]  你容許我回家和我的父母親親嘴
[00:01:12.840 --> 00:01:16.160]  然後我一定來跟隨你來侍奉你
[00:01:16.160 --> 00:01:19.000]  所以他回去之後就斬了兩隻牛
[00:01:19.000 --> 00:01:20.840]  煮了給很多人喫
[00:01:20.840 --> 00:01:25.420]  然後他就拋棄一切來跟隨以利亞
[00:01:25.420 --> 00:01:27.360]  以利亞還試驗他
[00:01:27.360 --> 00:01:29.760]  說我要去巴特里
[00:01:29.760 --> 00:01:31.360]  我要去耶利哥
[00:01:31.360 --> 00:01:33.680]  我要去約旦河
[00:01:33.680 --> 00:01:35.600]  你不需要跟我去
[00:01:35.600 --> 00:01:37.400]  但是以利沙都說
[00:01:37.400 --> 00:01:39.320]  我一定會跟你去
[00:01:39.320 --> 00:01:41.520]  你去哪裏我就去哪裏
[00:01:41.520 --> 00:01:45.360]  然後以利亞是被神接了去
[00:01:45.360 --> 00:01:47.500]  他的披風
[00:01:47.500 --> 00:01:50.080]  他的外衣掉下來
[00:01:50.080 --> 00:01:51.640]  以利沙就扔掉了
[00:01:51.640 --> 00:01:54.320]  同樣打到約旦河的水裏
[00:01:54.320 --> 00:01:56.240]  約旦河的水就分開了
[00:01:56.240 --> 00:01:57.840]  讓我們看到
[00:01:57.840 --> 00:02:01.520]  以利亞身上耶和華的靈
[00:02:01.520 --> 00:02:04.320]  已經在以利沙的身上
[00:02:04.320 --> 00:02:06.000]  我們基督徒也是一樣
[00:02:06.000 --> 00:02:08.600]  我們耶穌基督被接去之後
