
[00:00:00.000 --> 00:00:02.680]  親愛的天父 謝謝你的恩典
[00:00:02.680 --> 00:00:07.320]  是你的恩典讓我們在香港這個地方有了一個屬靈的家
[00:00:07.320 --> 00:00:11.360]  也是你的恩典讓我們一起來學習彼此相愛
[00:00:11.360 --> 00:00:14.800]  就求主你的靈今天大大的恩高我們
[00:00:14.800 --> 00:00:17.200]  與我們每一個人同在
[00:00:17.200 --> 00:00:21.800]  告訴我們什麼是愛 什麼是彼此相愛
[00:00:21.800 --> 00:00:26.480]  主耶穌 我們知道人人的心裏面都需要一份的愛
[00:00:26.480 --> 00:00:28.560]  而禰是那個最大的愛
[00:00:28.560 --> 00:00:30.840]  就求主你幫助我們
[00:00:30.840 --> 00:00:34.160]  真的是在這個家當中去學習
[00:00:34.160 --> 00:00:36.160]  不是如何的去愛自己
[00:00:36.160 --> 00:00:38.400]  而是如何的彼此相愛
[00:00:38.400 --> 00:00:40.280]  謝謝主 聽我們的禱告
[00:00:40.280 --> 00:00:43.320]  奉耶穌基督的名 阿們
[00:00:43.320 --> 00:00:45.600]  弟兄姊妹們平安
[00:00:45.600 --> 00:00:48.720]  今天呢我要跟大家分享一個題目
[00:00:48.720 --> 00:00:52.760]  神的家 一個彼此相愛的羣體
[00:00:52.760 --> 00:00:55.640]  首先呢我要問大家一個問題
[00:00:55.640 --> 00:00:59.440]  如果有人問你教會里最重要的是什麼東西
[00:00:59.440 --> 00:01:02.680]  你會怎麼回答呢
[00:01:02.680 --> 00:01:04.120]  當然最重要的是神啊
[00:01:04.120 --> 00:01:06.920]  這個我們都應該都會回答
[00:01:06.920 --> 00:01:08.120]  那除了神呢
[00:01:08.120 --> 00:01:13.520]  教會跟其他的團體不一樣的特質是什麼呢
[00:01:13.520 --> 00:01:15.600]  有人答出了今天的標準答
[00:01:15.600 --> 00:01:17.280]  彼此相愛 開心
[00:01:17.280 --> 00:01:20.360]  對 我會回答說就是
[00:01:20.360 --> 00:01:22.080]  就是愛
[00:01:22.080 --> 00:01:25.760]  那麼接下來呢我想問一下大家
[00:01:25.760 --> 00:01:29.520]  那麼我們怎麼能夠才能讓人一進到教會
[00:01:29.520 --> 00:01:37.640]  就能感受到這是一個彼此相愛的羣體呢
[00:01:37.640 --> 00:01:39.240]  對 就是這個問題
[00:01:39.240 --> 00:01:43.400]  什麼是彼此相愛
[00:01:43.400 --> 00:01:47.720]  是不是互相包容呢
[00:01:47.720 --> 00:01:51.480]  是不是彼此忍耐呢
[00:01:51.480 --> 00:01:54.280]  是不是沒有衝突呢
[00:01:54.280 --> 00:01:57.240]  就是一個彼此相愛的羣體就是
[00:01:57.240 --> 00:01:59.400]  我們之間不能夠有不同
[00:01:59.400 --> 00:02:01.040]  不能夠有衝突
[00:02:01.040 --> 00:02:05.000]  那這是不是一個才叫彼此相愛的羣體呢
[00:02:05.000 --> 00:02:06.600]  還是說
[00:02:06.600 --> 00:02:08.320]  你好我好大家好
[00:02:08.320 --> 00:02:10.080]  你愛我我愛你
[00:02:10.080 --> 00:02:13.160]  但是其實後面就是你不愛我我就不愛你
[00:02:13.160 --> 00:02:15.080]  你愛我我才愛你
[00:02:15.080 --> 00:02:20.120]  到底是這樣的一個羣體嗎
[00:02:20.120 --> 00:02:24.520]  我想如果我們要回答什麼是彼此相愛的羣體
[00:02:24.520 --> 00:02:28.600]  我們首先要回答什麼是愛
[00:02:28.600 --> 00:02:31.560]  到底什麼是愛呢
[00:02:31.560 --> 00:02:34.120]  如果你給愛一個定義
[00:02:34.120 --> 00:02:37.720]  一萬個人可能有一萬個答案
[00:02:37.720 --> 00:02:41.880]  我想我們每個人都懂得怎麼樣去愛
[00:02:41.880 --> 00:02:46.480]  我們每個人也都對愛有一份自己的認知
[00:02:46.480 --> 00:02:51.200]  可能在愛的國度當中我們每個人都是一個神學家
[00:02:51.200 --> 00:02:55.400]  可是我們究竟懂不懂得什麼叫彼此相愛
[00:02:55.400 --> 00:02:57.400]  什麼是愛呢
[00:02:57.400 --> 00:03:01.880]  今天呢我就要來給大家分享這樣的一個課題
[00:03:01.880 --> 00:03:04.360]  當初我預備這篇講章的時候呢
[00:03:04.360 --> 00:03:07.600]  我們目前是有一個講道系列了
[00:03:07.600 --> 00:03:09.160]  就是講神的家
[00:03:09.160 --> 00:03:11.600]  神的家一個怎樣怎樣的羣體
[00:03:11.600 --> 00:03:16.160]  那當時跟炮傳道在去討論的時候就講到是說
[00:03:16.160 --> 00:03:19.240]  我們希望我們在這邊的普通話崇拜的家
[00:03:19.240 --> 00:03:22.280]  能夠成爲一個彼此相愛的羣體
[00:03:22.280 --> 00:03:23.720]  那麼我就去想
[00:03:23.720 --> 00:03:28.160]  到底怎麼樣能夠成爲一個彼此相愛的羣體呢
[00:03:28.160 --> 00:03:30.720]  我想着想着我想了一個很好笑的答案
[00:03:30.720 --> 00:03:32.520]  先給大家分享一下
[00:03:32.520 --> 00:03:35.640]  我覺得如果一個彼此相愛的羣體
