
[00:00:00.000 --> 00:00:02.360]  各位兄弟姐妹好 平安
[00:00:02.360 --> 00:00:05.880]  我們今天會繼續去看這個希伯來書
[00:00:05.880 --> 00:00:08.920]  我們接下來是預備復活節
[00:00:08.920 --> 00:00:11.080]  網上都開始有些宣傳
[00:00:11.080 --> 00:00:13.640]  報名是白宮都出了
[00:00:13.640 --> 00:00:18.840]  華盛頓總統白宮都出了一個告示
[00:00:18.840 --> 00:00:21.680]  說如果大家想去在聖誕節期間
[00:00:21.680 --> 00:00:24.600]  去白宮滾雞蛋
[00:00:24.600 --> 00:00:27.040]  就在這裡慶祝聖誕 復活節
[00:00:27.040 --> 00:00:30.280]  這個傳統大約有一百五十年歷史
[00:00:30.280 --> 00:00:32.200]  如果大家想報名
[00:00:32.200 --> 00:00:36.440]  都可以搭飛機去慶祝復活節
[00:00:36.440 --> 00:00:41.000]  復活節期間教會都有些活動
[00:00:41.000 --> 00:00:42.480]  譬如說滾雞蛋
[00:00:42.480 --> 00:00:45.680]  或者其他的壽難日
[00:00:45.680 --> 00:00:48.680]  大概那天 Good Friday那一晚
[00:00:48.680 --> 00:00:53.520]  都會成為一個傳福音的機會
[00:00:53.520 --> 00:00:55.760]  我們是預備我們心去迎接復活節
[00:00:55.760 --> 00:00:59.880]  很多時我們都會藉著復活節期間去傳福音
[00:00:59.880 --> 00:01:03.360]  因為復活節是在基督徒的生命當中
[00:01:03.360 --> 00:01:07.320]  是一個很重要的紀念日子
[00:01:07.320 --> 00:01:08.800]  紀念主耶穌基督的大愛
[00:01:08.800 --> 00:01:11.000]  又是傳福音的好時機
[00:01:11.000 --> 00:01:14.680]  但是傳福音很多時會令我們氣餒
[00:01:14.680 --> 00:01:16.520]  為甚麼呢 有各種原因
[00:01:16.520 --> 00:01:20.840]  我剛剛在和一班牧師傳道
[00:01:20.840 --> 00:01:24.560]  牧師和一些宣教士聊天的時候
[00:01:24.560 --> 00:01:27.400]  就說其實主要可能有五大類
[00:01:27.400 --> 00:01:29.760]  令我們喪失信心和勇氣
[00:01:29.760 --> 00:01:32.720]  去繼續傳福音的時候
[00:01:32.720 --> 00:01:33.440]  為甚麼呢
[00:01:33.440 --> 00:01:37.440]  我們很多時會怕被人拒絕
[00:01:37.440 --> 00:01:40.280]  令我們真是灰心
[00:01:40.280 --> 00:01:42.920]  被人拒絕了一次兩次三次
[00:01:42.920 --> 00:01:44.520]  這樣就不想再去
[00:01:44.520 --> 00:01:47.840]  很多時會失望氣餒的時候
[00:01:47.840 --> 00:01:49.360]  第二就說沒有回應
[00:01:49.360 --> 00:01:52.520]  明明跟他說了一次兩次三次
[00:01:52.520 --> 00:01:54.000]  都沒有反應的
[00:01:54.000 --> 00:01:57.720]  那是不是又是不行呢
[00:01:57.720 --> 00:01:59.480]  第三個可能性就說
[00:01:59.480 --> 00:02:01.280]  這些事情我很差勁
[00:02:01.280 --> 00:02:03.040]  不是我的恩賜又怎樣
[00:02:03.040 --> 00:02:03.880]  都不是我的範例
[00:02:03.880 --> 00:02:05.680]  我全身都好像
