
[00:00:00.000 --> 00:00:03.180]  各位弟兄姊妹,各位朋友,平安
[00:00:03.180 --> 00:00:05.760]  想起那日子
[00:00:05.760 --> 00:00:08.200]  不知道你想起哪個日子呢?
[00:00:08.200 --> 00:00:10.320]  在
[00:00:10.320 --> 00:00:13.160]  過去這一年疫情當中
[00:00:13.160 --> 00:00:15.840]  合唱團會不會在想
[00:00:15.840 --> 00:00:19.880]  哪個日子我們可以連歌和表演呢?
[00:00:19.880 --> 00:00:23.320]  會眾又會不會在想
[00:00:23.320 --> 00:00:25.740]  究竟哪個日子我們可以聽到
[00:00:25.740 --> 00:00:28.700]  合唱團來獻詩呢?
[00:00:29.240 --> 00:00:33.120]  在疫情當中我們對於那一天有很多想像
[00:00:33.120 --> 00:00:37.080]  更加多人,無論大人小朋友都在想像那一天
[00:00:37.080 --> 00:00:40.040]  何時才可以去旅行呢?
[00:00:40.040 --> 00:00:43.020]  很多人都很期待
[00:00:43.020 --> 00:00:46.680]  不過對於父母來說
[00:00:46.680 --> 00:00:49.160]  想像的日子可能更加多
[00:00:49.160 --> 00:00:52.840]  例如當懷孕的時候
[00:00:52.840 --> 00:00:56.640]  就在想像寶寶出生那一天是怎樣的呢?
[00:00:56.640 --> 00:00:59.000]  當寶寶出生之後
[00:00:59.000 --> 00:01:02.280]  晚上在餵椰奶的時候就在想像
[00:01:02.280 --> 00:01:05.440]  哪一天可以不用餵椰奶呢?
[00:01:05.440 --> 00:01:09.000]  當寶寶懂得走懂得走的時候就在想像
[00:01:09.000 --> 00:01:10.840]  第一天上學是怎樣的呢?
[00:01:10.840 --> 00:01:12.440]  會不會哭呢?
[00:01:12.440 --> 00:01:16.000]  再大一點的時候就在想像
[00:01:16.000 --> 00:01:19.520]  在這裡舉行畢業禮的時候會是怎樣的呢?
[00:01:19.520 --> 00:01:21.800]  出來工作之後
[00:01:21.800 --> 00:01:23.680]  還有更加多想像的
[00:01:23.680 --> 00:01:26.640]  中學的時候你們的父母跟你們說
[00:01:26.640 --> 00:01:28.240]  不要那麼快拍拖
[00:01:28.800 --> 00:01:30.040]  到了讀大學的時候
[00:01:30.040 --> 00:01:31.680]  你們的父母可能跟你們說
[00:01:31.680 --> 00:01:34.120]  女兒還沒拍拖嗎?
[00:01:34.120 --> 00:01:38.440]  在想像成家立室的日子
[00:01:38.440 --> 00:01:43.200]  然後就在想像農孫遺落的日子
[00:01:43.200 --> 00:01:48.000]  我們在想像很多日子
[00:01:48.000 --> 00:01:49.840]  我們在等很多日子
[00:01:49.840 --> 00:01:51.760]  我們在盼望很多日子
[00:01:51.760 --> 00:01:55.360]  不過不是很多日子
[00:01:55.360 --> 00:01:57.720]  或者不是全部日子都是你想的
[00:01:57.720 --> 00:02:00.880]  有時候有些日子是我們想逃避的
[00:02:00.880 --> 00:02:02.680]  我們不想它快點來
[00:02:02.680 --> 00:02:04.320]  例如上班的人
[00:02:04.320 --> 00:02:06.080]  就不是很喜歡星期一
[00:02:06.080 --> 00:02:10.160]  上學的人
[00:02:10.160 --> 00:02:12.240]  就不是很喜歡假期團結
[00:02:12.240 --> 00:02:15.080]  開學之後
[00:02:15.080 --> 00:02:17.680]  就不是很想考試那天來
[00:02:17.680 --> 00:02:19.360]  最好遲一點吧
[00:02:19.360 --> 00:02:23.280]  我們長大之後
[00:02:23.280 --> 00:02:24.920]  到了某些年紀
[00:02:24.920 --> 00:02:27.360]  我們不想衰老那天
[00:02:27.360 --> 00:02:28.360]  那麼快來
[00:02:28.360 --> 00:02:32.920]  有些日子我們不想它那麼快來
[00:02:32.920 --> 00:02:35.240]  有些日子我們很想它快點來
[00:02:35.240 --> 00:02:37.440]  這一切
[00:02:37.440 --> 00:02:39.280]  其實都反映著
[00:02:39.280 --> 00:02:41.080]  我們期望著什麼
[00:02:41.080 --> 00:02:42.680]  我們期待著什麼
[00:02:42.680 --> 00:02:45.240]  也都反映著
[00:02:45.240 --> 00:02:48.640]  其實我們處身在什麼處境當中
[00:02:48.640 --> 00:02:53.920]  在聖經裡面提到那日子
[00:02:53.920 --> 00:02:56.920]  剛才讀經的時候也讀過那日子
[00:02:56.920 --> 00:02:59.080]  通常都是和
[00:02:59.080 --> 00:03:01.320]  在舊約裡面和耶和華拉在一起
[00:03:01.320 --> 00:03:02.960]  耶和華的那日子
[00:03:02.960 --> 00:03:05.280]  或者耶和華的日子
[00:03:05.280 --> 00:03:06.640]  在新約裡面
[00:03:06.640 --> 00:03:09.280]  就會和耶穌基督拉在一起
[00:03:09.280 --> 00:03:11.960]  主的日子
[00:03:11.960 --> 00:03:16.920]  那個日子似乎和上主有關
[00:03:16.920 --> 00:03:20.120]  今天我們透過這幾段經課
[00:03:20.120 --> 00:03:22.240]  來思考一下
[00:03:22.240 --> 00:03:23.960]  究竟那日子
[00:03:23.960 --> 00:03:26.280]  可以有什麼想像呢
[00:03:26.280 --> 00:03:30.120]  它和我們的處境和我們的期望有什麼關係呢
[00:03:30.120 --> 00:03:33.440]  和我們的信仰生活又有什麼關係呢
[00:03:33.440 --> 00:03:35.240]  第一段經課
[00:03:35.240 --> 00:03:36.520]  我想和大家一起看
[00:03:36.520 --> 00:03:40.400]  詩篇第七十篇
[00:03:40.400 --> 00:03:42.400]  詩篇七十篇一至五節
[00:03:42.400 --> 00:03:48.480]  第一節說
[00:03:48.480 --> 00:03:51.280]  「神啊,求祢快快答救我」
[00:03:51.280 --> 00:03:56.080]  「耶和華啊,求祢速速幫助我」
[00:03:56.080 --> 00:03:57.040]  最後結束的時候
[00:03:57.040 --> 00:03:57.680]  他說
[00:03:57.680 --> 00:04:01.720]  「神啊,求祢速速到我這裡來」
[00:04:01.720 --> 00:04:06.000]  「不要膽言」
[00:04:06.000 --> 00:04:10.480]  詩人渴望那個日子快點來到
[00:04:10.480 --> 00:04:12.000]  為什麼呢?
[00:04:12.000 --> 00:04:14.520]  他處身在什麼狀況
[00:04:14.520 --> 00:04:16.520]  他處身在什麼環境
[00:04:16.520 --> 00:04:21.600]  以致他這麼渴望那個日子快點來呢?
[00:04:21.600 --> 00:04:23.360]  你看看第二節
[00:04:23.360 --> 00:04:23.680]  他說
