
[00:00:00.000 --> 00:00:04.000]  我相信我們沒有一個人真的想遇到困難
[00:00:04.000 --> 00:00:06.000]  我們都希望安安樂樂
[00:00:06.000 --> 00:00:08.000]  無事無幹地生活
[00:00:08.000 --> 00:00:10.000]  而當我們遇到困難的時候
[00:00:10.000 --> 00:00:13.000]  我們都不自覺有一種想法
[00:00:13.000 --> 00:00:15.000]  就是想辦法去逃避
[00:00:15.000 --> 00:00:17.000]  盡量避免要去面對
[00:00:17.000 --> 00:00:20.000]  但是在人生是一定會有困難的
[00:00:20.000 --> 00:00:21.000]  正確的做法
[00:00:21.000 --> 00:00:23.000]  是我們要學習去避開困難
[00:00:23.000 --> 00:00:25.000]  我們要學習去面對困難
[00:00:25.000 --> 00:00:27.000]  我們要學習去面對困難
[00:00:27.000 --> 00:00:30.000]  而不是一直在逃避
[00:00:30.000 --> 00:00:32.000]  我們可以藉著困難來學習
[00:00:32.000 --> 00:00:35.000]  透過困難去看見上帝在當中的作為
[00:00:35.000 --> 00:00:37.000]  看到上帝很多時候
[00:00:37.000 --> 00:00:39.000]  有一些我們意想不到
[00:00:39.000 --> 00:00:42.000]  出人意外的平安在當中賜給我們
[00:00:42.000 --> 00:00:43.000]  如果是這樣
[00:00:43.000 --> 00:00:45.000]  這些困難就不會再是就坐
[00:00:45.000 --> 00:00:47.000]  反而是祝福
[00:00:47.000 --> 00:00:48.000]  而經過了困難
[00:00:48.000 --> 00:00:50.000]  當我們回頭看的時候
[00:00:50.000 --> 00:00:51.000]  我們會感恩
[00:00:51.000 --> 00:00:52.000]  我們會感恩
[00:00:52.000 --> 00:00:53.000]  我們會感恩
[00:00:53.000 --> 00:00:54.000]  我們會感恩
[00:00:54.000 --> 00:00:57.000]  當我們回頭看的時候
[00:00:57.000 --> 00:00:58.000]  我們會感恩
[00:00:58.000 --> 00:01:01.000]  我們對上帝的信心也會多了很多
[00:01:01.000 --> 00:01:03.000]  而且我們開始學懂
[00:01:03.000 --> 00:01:06.000]  生活在持久的盼望裡面
[00:01:06.000 --> 00:01:09.000]  帖撒羅尼加後書一章四節說
[00:01:09.000 --> 00:01:11.000]  我們在神的各教會裡
[00:01:11.000 --> 00:01:12.000]  為你們誇口
[00:01:12.000 --> 00:01:14.000]  都因你們在所受的一切
[00:01:14.000 --> 00:01:16.000]  逼迫、患難中
[00:01:16.000 --> 00:01:19.000]  營救、傳、忍耐和信心
[00:01:19.000 --> 00:01:23.000]  我希望大家都能夠有這份忍耐和信心
[00:01:24.000 --> 00:01:26.000]  我希望大家都能夠有這份忍耐和信心
[00:01:26.000 --> 00:01:28.000]  我希望大家都能夠有這份忍耐和信心
[00:01:28.000 --> 00:01:30.000]  我希望大家都能夠有這份忍耐和信心
[00:01:30.000 --> 00:01:32.000]  我希望大家都能夠有這份忍耐和信心
